ກປ.ອອນໄລ - ເນື່ອງໃນໂອກາດ “ວັນເພື່ອຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນ ວັນທີ 10 ສິງຫາ, ທ່ານ ຫງວຽນຊວນຟຸກ ປະທານປະເທດຫວຽດນາມ ໄດ້ສົ່ງຈົດໝາຍເຖິງຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນຢູ່ ຫວຽດນາມ.	Việt Nam ký và phê chuẩn Công ước Cấm vũ khí hạt nhân và Công ước Cấm vũ khí hạt nhân (TPNW).
ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານເນື້ອໃນຈົດໝາຍຂອງທ່ານປະທານປະເທດດັ່ງລຸ່ມນີ້:	Nguyễn Trọng Kiên, Đại sứ Việt Nam tại Áo vừa trao giấy ủy quyền cho Hiệp ước Cấm thử nghiệm toàn diện hạt nhân (CTBTO).
ເນື່ອງໃນໂອກາດ “ວັນເພື່ອຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນ ວັນທີ 10 ສິງຫາ, ດ້ວຍຄວາມຮັກແພງທີ່ສະໜິດສະໜົມຂ້າພະເຈົ້າຂໍສະແດງຄວາມນັບຖື, ແບ່ງປັນ ແລະສົ່ງຄໍາຢື້ຢາມຖາມຂ່າວຢ່າງສຸດຊຶ້ງທີ່ສຸດມາຍັງຜູ້ຖືກເຄາະຮ້າຍ ແລະຄອບຄົວຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນໃນທ່ົວປະເທດ.	Robert Floyd Điều phối viên của tổ chức này.
ທ່ານ ຫງວຽນຊວນຟຸກ ປະທານປະເທດຫວຽດນາມ.	Đại sứ Việt Nam tại Áo Nguyễn Trọng Kiên (thứ hai từ trái sang) làm việc với Po.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Robert Floyd.
ຜ່ານ 60 ປີ, ນັບແຕ່ເມື່ອໄພພິບັດຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນ ເກີດຂຶ້ນຢູ່ຫວຽດນາມ (10-8-1961/10-8-2021), ແຕ່ຄວາມເສຍຫາຍ, ເຈັບປວດເຊິ່ງໄພພິບັດນີ້ກໍ່ຂຶ້ນໃນທົ່ວປະເທດເຮົາຍັງຮ້າຍແຮງ, ດ້ວຍຜົນຮ້າຍ, ຜົນຕາມມາໜັກໜ່ວງ, ມີຜົນສະທ້ອນໃຫ້ຫຼາຍລຸ້ນຄົນ.	Ảnh: vov.vn.
ໃນຊຸມປີຜ່ານມາ, ພັກ, ລັດ ແລະປະຊາຊົນໄດ້ເອົາໃຈໃສ່ທີ່ສຸດ, ແບ່ງປັນ, ເຫັນອົກເຫັນໃຈ, ປາດຖະໜາຢາກໜູນຊ່ວຍຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນຜ່ານຜ່າຄວາມເຈັບປວດ, ຄວາມຫຍຸ້ງຍາກ, ມານະພະຍາຍາມບືນຕົວຂຶ້ນໃນການດຳລົງຊີວິດ.	Phát biểu ý kiến về tác phẩm, ông Nguyễn Trọng Kiên nhấn mạnh Việt Nam đánh giá cao vai trò của Hiệp ước Cấm thử hạt nhân toàn diện (CTBT) trong việc đảm bảo ổn định và giảm nguy cơ xảy ra khủng hoảng hạt nhân ở khu vực và trên thế giới.
ໃນຂະນະນັ້ນ, ຂ້າພະເຈົ້າຂໍຊົມເຊີຍເປັນພິເສດສະມາຄົມຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນຫວຽດນາມ ໄດ້ມີຄວາມມານະພະຍາຍາມ, ຢຶດໝັ້ນ, ເຄື່ອນໄຫວຢ່າງມີປະສິດທິຜົນຢ່າງບໍ່ຢຸດຢັ້ງ, ເປັນແກ່ນສານໃນວຽກງານແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນ ຢ່າງແທ້ຈິງ, ເປັນຜູ້ຕາງໜ້າຕໍ່ສູ້ຮຽກຮ້ອງຄວາມຍຸຕິທໍາ, ຄວາມສະເໝີພາບໃຫ້ຜູ້ຖືກເຄາະຮ້າຍ.	Việt Nam ký hiệp ước năm 1996 và phê chuẩn vào năm 2006.
ຂ້າພະເຈົ້ານິຍົມນັບຖື ແລະຊົມເຊີຍຜູ້ຖືກເຄາະຮ້າຍ ແລະຄອບຄົວຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນ ທີ່ໄດ້ມານະພະຍາຍາມຜ່ານຜ່າຜົນຕາມມາ, ຄວາມເຈັບປວດ, ເຊື່ອມຕົວເຂົ້າການດຳລົງຊີວິດແບບຍືນຍົງ.	Robert Floyd ca ngợi vai trò của Việt Nam trong việc góp phần ngăn chặn phát triển vũ khí hạt nhân
ຄວາມເຫັນອົກເຫັນໃຈຢ່າງເລິກເຊິ່ງກໍ່ຄືການໜູນຊ່ວຍທີ່ແທດຈິງຈາກບັນດາອົງການຈັດຕັ້ງ, ຜູ້ໃຈບຸນໃຈກຸສົນທີ່ຢູ່ພາຍໃນ ແລະຕ່າງປະເທດ, ເພື່ອນມິດສາກົນ, ທີ່ສະຫງວນໃຫ້ຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນຫວຽດນາມ ນັ້ນກໍ່ແມ່ນຮູບພາບການກະທຳທີ່ດີງາມ, ສູງສົ່ງ ແລະເປັນໜ້າເຄົາລົບນັບຖື.	Ở cấp độ quốc tế, Việt Nam đã ký và phê chuẩn Công ước toàn diện về vũ khí hạt nhân và Hiệp ước không phổ biến vũ khí hạt nhân (TPNW).
ຂ້າພະເຈົ້າຫວັງວ່າ ອົງຄະນະພັກ, ອໍານາດການປົກຄອງ, ອົງການຈັດຕັ້ງມະຫາຊົນ, ອົງການຈັດຕັ້ງ, ສ່ວນບຸກຄົນ, ພໍ່ແມ່ປະຊາຊົນເຮົາທີ່ຢູ່ພາຍໃນ ແລະຕ່າງປະເທດ ຈົ່ງສືບຕໍ່ເສີມຂະຫຍາຍມູນເຊື້ອ “ຮັກແພງກັນ ທີ່ດີງາມຂອງຊາດເຮົາ, ຊ່ວຍເຫຼືອ ແລະສະໜັບສະໜູນວຽກງານແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຂອງໄພພິບັດທາດພິດສີສົ້ມ/ດີໂອຊີນໃຫ້ຫຼາຍກວ່າອີກ, ເບິ່ງແຍງດູແລຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ/ດີໂອຊີນ, ໂດຍສະເພາະແມ່ນໃນໄລຍະທົ່ວປະເທດກໍາລັງມານະພະຍາຍາມຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍ, ຍູ້ພະຍາດໂຄວິດ-19 ໃຫ້ຖອຍໄປ.	Trong khu vực ASEAN, Việt Nam là một trong những quốc gia đi đầu trong việc xây dựng và thực hiện Công ước không phổ biến vũ khí hạt nhân ở Đông Nam Á (SEANFWZ).
