ກປ.ອອນໄລ - ດ້ວຍຄໍາຂວັນ “ຮູບເງົາ - ເຊື່ອມໂຍງ ແລະພັດທະນາແບບຍືນຍົງ.	KP Online - Với phương châm “Phim - Hội nhập và Phát triển bền vững.
ງານປະກວດຮູບເງົາສາກົນຮ່າໂນ້ຍ ຄັ້ງທີ V ໂດຍກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວຫວຽດນາມ ສົມທົບກັບຄະນະກໍາມະການປະຊາຊົນນະຄອນຮ່າໂນ້ຍ ຈັດຕັ້ງພິທີໄຂໃນຕອນຄໍ່າວັນທີ 27 ຕຸລາ ຢູ່ຮ່າໂນ້ຍ.	Liên hoan phim Quốc tế Hà Nội lần thứ V do Bộ Văn hóa, Thể thao và Du lịch Việt Nam phối hợp với Ủy ban Nhân dân Thành phố Hà Nội phối hợp tổ chức sẽ được tổ chức tại Hà Nội vào ngày 27/10.
ລາຍການສະແດງສິລະປະທີ່ພິທີໄຂງານປະກວດຮູບເງົາ.	Các chương trình nghệ thuật tại lễ khai mạc cuộc thi điện ảnh.
ພາບ: ແຄ໋ງຮ່ວຽນ.	Ảnh: Khang Huuyen
ງານປະກວດຮູບເງົາສາກົນຮ່າໂນ້ຍ ເພື່ອແນໃສ່ເຊີດຊູຄວາມເກັ່ງກ້າສາມາດກ່ຽວກັບສິລະປະຮູບເງົາ, ມຸ່ງໄປເຖິງຄຸນຄ່າວັດທະນະທໍາມະນຸດ ແລະຈິດໃຈຮ່ວມມືສະໜິດສະໜົມນຳກັນ.	Liên hoan phim Quốc tế Hà Nội nhằm phát huy tài năng nghệ thuật của nền điện ảnh, hướng đến các giá trị văn hóa nhân văn và tinh thần hợp tác chặt chẽ.
ທ່ານ ຫງວຽນງັອກຖ້ຽນ, ລັດຖະມົນຕີກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວຫວຽດນາມ ຕີຄ້ອງໄຂງານປະກວດຮູບເງົາ.	Nguyễn Ngọc Thiện, Bộ trưởng Bộ Văn hóa, Thể thao và Du lịch Việt Nam khai mạc cuộc thi làm phim.
ພາບ: ແຄ໋ງຮ່ວຽນ.	Ảnh: Khang Huuyen
ເຂົ້າຮ່ວມງານປະກວດຮູບເງົາໃນຄັ້ງນີ້ມີຫຼາຍຮູບເງົາດີເດັ່ນຂອງເກືອບ 50 ປະເທດ ແລະເຂດແຄ້ວນ, ໃນນັ້ນຫວຽດນາມມີຮູບເງົາປະເພດຕ່າງໆກວ່າ 40 ເລື່ອງ.	Tham dự cuộc thi điện ảnh lần này có nhiều bộ phim xuất sắc đến từ gần 50 quốc gia và vùng lãnh thổ, trong đó Việt Nam có hơn 40 phim thuộc nhiều thể loại.
ຜ່ານການສາຍຮູບເງົາເປັນເວລາ 5 ວັນ, ຜູ້ຊົມຈະມີໂອກາດຊອກຮູ້ວັດທະນະທໍາທີ່ເປັນເອກະລັກສະເພາະຂອງຫຼາຍປະເທດ.	Thông qua suất chiếu kéo dài 5 ngày, người xem sẽ có cơ hội tìm hiểu những nét văn hóa đặc sắc của nhiều quốc gia.
ນັກສິລະປິນ, ນັກສະແດງ ທີ່ງານປະກວດຮູບເງົາ.ພາບ: ແຄ໋ງຮ່ວຽນ.	Các nghệ sĩ, diễn viên tại liên hoan phim Ảnh: Khang Huyền
ງານປະກວດຮູບເງົາສາກົນຮ່າໂນ້ຍ ຄັ້ງທີ V ປີ 2018 ຈະແມ່ນເວທີປາໄສດຶງດູດຄວາມສົນໃຈຂອງມະຫາຊົນ ແລະສື່ມວນຊົນ.	Liên hoan phim Quốc tế Hà Nội lần thứ V năm 2018 sẽ là diễn đàn thu hút sự quan tâm của công chúng và giới truyền thông.
ນີ້ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ຮູບເງົາຫວຽດນາມ ເປີດກວ້າງຕະຫຼາດໄປຍັງພາກພື້ນ ແລະໂລກ, ນໍາຮູບເງົາຫວຽດນາມເຊື່ອມໂຍງເຂົ້າກັບຕະຫຼາດຮູບເງົາສາກົນ, ນີ້ຍັງແມ່ນໂອກາດເພື່ອໂຄສະນາເຜີຍແຜ່ຮູບພາບປະເທດຫວຽດນາມ ແລະນະຄອນຮ່າໂນ້ຍແຫ່ງມີຄວາມປອດໄພ, ສະໜິດສະໜົມ ແລະຮັກແພງແຂກຄົນ.	Đây là cơ hội để phim Việt Nam mở cửa thị trường ra khu vực và thế giới, đưa phim Việt Nam hội nhập thị trường điện ảnh quốc tế.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
