ປະຊາຄົມສາກົນ ຄວນເຄົາລົບປະຕິບັດຫຼັກການຂອງກົດບັດ ສປຊ ແລະກົດໝາຍສາກົນ.	Cộng đồng quốc tế cần tôn trọng các nguyên tắc của Hiến chương Liên hợp quốc và luật pháp quốc tế.
ພ້ອມທັງຮຽກຮ້ອງທັງສາມປະເທດປະກອບສ່ວນຈົນສຸດຄວາມສາມາດຂອງຕົນໃຫ້ແກ່ພື້ນຖານຫຼາຍຝ່າຍ ເພື່ອເພີ່ມທະວີການຮ່ວມມື ແລະຮ່ວມກັນປະກອບສ່ວນຫຼາຍກວ່າອີກເຂົ້າໃນການແກ້ໄຂບັນດາບັນຫາທີ່ຮ້ອນເຮັ່ງຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Ông cũng kêu gọi ba nước nỗ lực hết mình trên cơ sở đa phương để tăng cường hợp tác và cùng nhau đóng góp nhiều hơn nữa vào việc giải quyết các vấn đề nóng ở khu vực và trên thế giới.
ວັນທີ 27 ກຸມພາ, ບັນດາປະເທດ ລັດເຊຍ, ຈີນ ແລະ ອິນເດຍ ເຫັນດີເພີ່ມທະວີການສົມທົບ ແລະຮ່ວມມືກັນ, ເດັດດ່ຽວຮັກສາລັດທິຫຼາຍຝ່າຍ ແລະພ້ອມກັນຕ້ານການກໍ່ການຮ້າຍ.	Ngày 27/2, Nga, Trung Quốc và Ấn Độ nhất trí tăng cường hợp tác và liên kết, kiên quyết duy trì chủ nghĩa đa phương và cùng chống khủng bố.
ຂໍ້ຕົກລົງດັ່ງກ່າວບັນລຸໄດ້ໃນກອງປະຊຸມລັດຖະມົນຕີສາມຝ່າຍຄັ້ງທີ 16 ຢູ່ແຂວງຢູເຈິນ, ຈຽນແຈ໋ງ ປະເທດຈີນ ດ້ວຍການເຂົ້າຮ່ວມຂອງທ່ານ ຫວາງອີ້ ລັດຖະມົນຕີການຕ່າງປະເທດ ຈີນ, ທ່ານ Sergei Lavrov ລັດຖະມົນຕີການຕ່າງປະເທດລັດເຊຍ ແລະຄູ່ຕໍາແໜ່ງ ອິນເດຍ Sushma Swaraj.	Thỏa thuận đạt được tại Hội nghị Bộ trưởng ba bên lần thứ 16 ở Yuzhen, tỉnh Kiến Xương, Trung Quốc, với sự tham dự của Bộ trưởng Ngoại giao Trung Quốc Hoàng Nghị, Bộ trưởng Ngoại giao Nga Sergei Lavrov và người đồng cấp Ấn Độ Sushma Swaraj.
ລັດຖະມົນຕີການຕ່າງປະເທດ 3 ປະເທດ ລັດເຊຍ - ອິນເດຍ - ຈີນ ທີ່ New Delhi.	Ngoại trưởng ba nước Nga, Ấn Độ và Trung Quốc đang ở New Delhi.
ແຫຼ່ງ: AFP.	Nguồn: AFP.
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ຫວາງອີ້ ລັດຖະມົນຕີການຕ່າງປະເທດຈີນ ໃຫ້ຮູ້ວ່າ ຈີນ, ລັດເຊຍ ແລະອິນເດຍ ຄວນເພີ່ມທະວີການຮ່ວມມື ແລະເຫັນດີເຫັນພ້ອມເພື່ອພ້ອມກັນຊຸກຍູ້ສ້າງສັນຕິພາບ ແລະສະຖຽນລະພາບຢູ່ໃນໂລກ.	Phát biểu tại cuộc họp, Bộ trưởng Ngoại giao Trung Quốc Hoàng Nghị cho rằng Trung Quốc, Nga và Ấn Độ cần tăng cường hợp tác và đồng thuận để cùng thúc đẩy hòa bình và ổn định trên thế giới.
ທ່ານ ຫວາງອີ້ ເນັ້ນໜັກວ່າ ຄວນຄັດຄ້ານລັດທິຝ່າຍດ່ຽວ ແລະລັດທິອາລັກຂາ ຢ່າງເດັດດ່ຽວ, ສືບຕໍ່ຊຸກຍູ້ສິດເສລີ ແລະສ້າງເງື່ອນໄຂໃຫ້ແກ່ດ້ານການຄ້າ ແລະການລົງທຶນ ແລະຊຸກຍູ້ການສ້າງພື້ນເສດຖະກິດໂລກເປີດ.	Huang Yi nhấn mạnh cần kiên quyết phản đối chủ nghĩa đơn phương và chủ nghĩa bảo hộ, tiếp tục thúc đẩy tự do và tạo điều kiện thuận lợi cho thương mại và đầu tư, thúc đẩy thiết lập nền kinh tế thế giới mở.
ສ່ວນທ່ານ Sergei Lavrov ແລະ Sushma Swaraj ຖືວ່າ ປະຊາຄົມສາກົນຄວນເຄົາລົບປະຕິບັດຫຼັກການຂອງກົດບັດ ສປຊ ແລະກົດໝາຍສາກົນ.	Sergei Lavrov và Sushma Swaraj cho rằng cộng đồng quốc tế nên tôn trọng các nguyên tắc của Hiến chương Liên hợp quốc và luật pháp quốc tế.
ພ້ອມທັງຮຽກຮ້ອງທັງສາມປະເທດປະກອບສ່ວນຈົນສຸດຄວາມສາມາດຂອງຕົນໃຫ້ແກ່ພື້ນຖານຫຼາຍຝ່າຍ ເພື່ອເພີ່ມທະວີການຮ່ວມມື ແລະຮ່ວມກັນປະກອບສ່ວນຫຼາຍກວ່າອີກເຂົ້າໃນການແກ້ໄຂບັນດາບັນຫາທີ່ຮ້ອນເຮັ່ງຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Ông cũng kêu gọi ba nước nỗ lực hết mình trên cơ sở đa phương để tăng cường hợp tác và cùng nhau đóng góp nhiều hơn nữa vào việc giải quyết các vấn đề nóng ở khu vực và trên thế giới.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
