ກປ.ອອນໄລ - ທ່ານພົນໂທ ຟານວັນຢາງ ຕີລາຄາສູງໝາກຜົນການພົບປະເຈລະຈາ;	Trung tướng Phan Văn Giang biểu dương kết quả hội đàm;
ເນັ້ນໜັກວ່າ, ການພົວພັນຫວຽດນາມ ແລະສ.ເກົາຫຼີ ໃນຊຸມປີມໍ່ໆມານີ້ມີບາດກ້າວພັດທະນາຢ່າງວ່ອງໄວ, ແຂງແຮງໃນຫຼາຍຂົງເຂດ, ໃນນັ້ນມີການພົວພັນດ້ານປ້ອງກັນຊາດ...	Ông nhấn mạnh, quan hệ Việt Nam-Hàn Quốc trong thời gian qua đã phát triển nhanh chóng và mạnh mẽ trên nhiều lĩnh vực, trong đó có quan hệ quốc phòng.
ຕອນເຊົ້າວັນທີ 30 ພະຈິກ, ທີ່ສໍານັກງານກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ, ທ່ານພົນໂທ ຟານວັນຢາງ, ກໍາມະການສູນກາງພັກ, ຄະນະປະຈໍາຄະນະພັກການທະຫານສູນກາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ຕ້ອນຮັບຄະນະຜູ້ແທນກອງບັນຊາການທະຫານບົກ ສ.ເກົາຫຼີ ໂດຍທ່ານພົນເອກ Kim Yong Woo, ຫົວໜ້າເສນາທິການທະຫານບົກເປັນຫົວໜ້າຄະນະ, ພວມຢ້ຽມຢາມຫວຽດນາມ, ແຕ່ວັນທີ 29 ພະຈິກຫາວັນທີ 1 ທັນວາ.	Sáng 30/11, Trung tướng Phan Văn Giang, Ủy viên Trung ương Đảng Cộng sản Việt Nam, Phó Tổng Tham mưu trưởng Quân đội nhân dân Việt Nam, Phó Tổng Tham mưu trưởng Nguyễn Tấn Dũng đã tiếp đoàn. từ Quân đội Hàn Quốc.
ທ່ານພົນໂທ ຟານວັນຢາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ ຕ້ອນຮັບທ່ານພົນເອກ Kim Yong Woo, ຫົວໜ້າເສນາທິການທະຫານບົກ ສ.ເກົາຫຼີ.	Trung tướng Phan Văn Giang, Tổng Tham mưu trưởng QĐND Việt Nam tiếp Thượng tướng Kim Yong Woo, Tổng Tham mưu trưởng Đại Hàn Dân Quốc.
ພາບ: ຫງວຽນຮວ່າ	Ảnh: Nguyễn Hòa
ທ່ານພົນເອກ Kim Yong Woo ແຈ້ງໃຫ້ທ່ານພົນໂທ ຟານວັນຢາງ ຮັບຊາບກ່ຽວກັບໝາກຜົນການພົບປະເຈລະຈາກັບທ່ານພົນໂທ ຫງວຽນເຟືອງນາມ, ຮອງຫົວໜ້າກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ, ທ່ານພົນເອກ Kim Yong Woo ສະແດງຄວາມປາດຖະໜາວ່າ ການນໍາກະຊວງປ້ອງກັນປະເທດສອງປະເທດສືບຕໍ່ເອົາ ໃຈໃສ່, ສ້າງເງື່ອນໄຂເພື່ອໃຫ້ກໍາລັງທະຫານບົກຂອງກອງທັບສອງປະເທດສືບຕໍ່ຍູ້ແຮງການຮ່ວມມືໃນບັນດາຂົງເຂດເຊິ່ງສອງຝ່າຍໄດ້ຕົກລົງກັນ ແລະໄດ້ລົງນາມ.	Đại tướng Kim Yong Woo thông báo với Trung tướng Phan Văn Giang về kết quả hội đàm với Trung tướng Nguyễn Phương Nam, Phó Tổng Tham mưu trưởng QĐND Việt Nam.
ບັນຍາກາດທີ່ການພົບປະເຈລະຈາ.	Bầu không khí tại các cuộc đàm phán.
ພາບ: ຫງວຽນຮວ່າ	Ảnh: Nguyễn Hòa
ທ່ານພົນໂທ ຟານວັນຢາງ ຕີລາຄາສູງໝາກຜົນການພົບປະເຈລະຈາ;	Trung tướng Phan Văn Giang biểu dương kết quả hội đàm;
ເນັ້ນໜັກວ່າ, ການພົວພັນຫວຽດນາມ ແລະສ.ເກົາຫຼີ ໃນຊຸມປີມໍ່ໆມານີ້ມີບາດກ້າວພັດທະນາຢ່າງວ່ອງໄວ, ແຂງແຮງໃນຫຼາຍຂົງເຂດ, ໃນນັ້ນມີການພົວພັນດ້ານປ້ອງກັນຊາດ;	Nhấn mạnh quan hệ Việt Nam-Hàn Quốc trong thời gian qua đã phát triển nhanh chóng và mạnh mẽ trên nhiều lĩnh vực, trong đó có quan hệ quốc phòng;
ທ່ານພົນໂທ ຟານວັນຢາງ ເຊື່ອໝັ້ນວ່າ ໝາກຜົນການຢ້ຽມຢາມຈະປະກອບສ່ວນສ້າງກໍາລັງໜູນໃໝ່ເພື່ອເພີ່ມທະວີສາຍພົວພັນມິດຕະພາບ, ຄວາມເຂົ້າອົກເຂົ້າໃຈ, ຄວາມໄວ້ເນື້ອເຊື່ອໃຈເຊິ່ງກັນ ແລະກັນລະຫວ່າງກອງທັບສອງປະເທດ.	Trung tướng Phan Văn Giang tin tưởng kết quả chuyến thăm sẽ góp phần xây dựng nguyện vọng tăng cường quan hệ hữu nghị, hiểu biết và tin cậy lẫn nhau giữa quân đội hai nước.
ການນໍາກົມໃຫຍ່ເສນາທິການກອງທັບປະຊາຊົນຫວຽດນາມ ພ້ອມກັບກອງບັນຊາການທະຫານບົກ ສ.ເກົາຫຼີ.	Lãnh đạo Bộ Tổng Tham mưu Quân đội nhân dân Việt Nam cùng Bộ Tư lệnh Lục quân Hàn Quốc.
ພາບ: ຫງວຽນຮວ່າ	Ảnh: Nguyễn Hòa
ໃນໄລຍະຈະມາເຖິງສອງຝ່າຍຄວນສືບຕໍ່ເພີ່ມທະວີການພົວພັນໃນບັນດາຂົງເຂດລະອຽດຄື, ແລກປ່ຽນຄະນະຜູ້ແທນທຸກຂັ້ນ;	Trong thời gian tới, hai bên cần tiếp tục tăng cường quan hệ trên các lĩnh vực: trao đổi đoàn các cấp;
ພົບປະແລກປ່ຽນນາຍທະຫານໜຸ່ມ;	Gặp gỡ, trao đổi với các sĩ quan trẻ;
ສຶກສາ - ບໍາລຸງສ້າງ;	Giáo dục - đào tạo;
ເປີດກວ້າງການຮ່ວມມືທະການບົກ, ທະຫານເຮືອ, ຕໍາຫຼວດທະເລ;	Mở rộng quan hệ hợp tác giữa Quân đội, Hải quân và Cảnh sát biển;
ເຕັກໂນໂລຢີ - ຂໍ້ມູນຂ່າວສານ;	Công nghệ thông tin;
ແບ່ງປັນບົດຮຽນໃນການເຄື່ອນໄຫວຮັກສາສັນຕິພາບຂອງສະຫະປະຊາຊາດ;	Chia sẻ bài học kinh nghiệm từ hoạt động gìn giữ hòa bình của Liên hợp quốc;
ອຸດສາຫະກໍາປ້ອງກັນຊາດ;	Ngành công nghiệp quốc phòng;
ແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກສົງຄາມ.	Giải quyết hậu quả của chiến tranh.
ແປໂດຍ: ກວຽດເຕີມ.	Dịch bởi: Việt Tâm.
