ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 7 ເມສາ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ມີບົດກ່າວປາໄສທີ່ກອງປະຊຸມປຶກສາຫາລືຄົບຄະນະສະມັດຊາໃຫຍ່ສະຫະພັນລັດຖະສະພາສາກົນຄັ້ງທີ 140 (IPU-140).	Đánh giá - Sheet ngày 7 tháng 4, Nguyễn Nguyễn Thin Nguyễn Phú Trọng Hội nghị trên 140 (IPU-140).
ກ່າວຄຳເຫັນທີ່ວາລະກອງປະຊຸມປຶກສາຫາລືຄົບຄະນະ IPU-140, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ເນັ້ນໜັກວ່າ, ການສຶກສາປະກອບສ່ວນຊຸກຍູ້ການເຈລະຈາ, ຍົກສູງຄວາມເຂົ້າອົກເຂົ້າໃຈເຊິ່ງກັນ ແລະກັນ, ສະກັດກັ້ນລັດທິຫົວຮຸນແຮງ - ໜໍ່ແໜງຂອງແນວຄິດຄວາມຮຸນແຮງ.	Nói bình luận tại cuộc họp của IPU-140, Nguyễn Nguyễn Tấn Sang, củng cố bạo lực - xử lý bạo lực.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຢັ້ງຢືນວ່າ, ສະພາແຫ່ງຊາດຫວຽດນາມ ຊົມເຊີຍທຸກຄວາມມານະພະຍາຍາມຂອງ IPU ໃນເລື່ອງຊຸກຍູ້ບັນດາລັດຖະສະພາສະມາຊິກສະຫງວນບຸລິມະສິດໃຫ້ການສຶກສາ, ສະແດງອອກຜ່ານມະຕິຕ່າງໆ ຂອງສະມັດຊາໃຫຍ່ IPU ປີ 1993, ປີ 2001 ແລະປີ 2017.	Nguyễn Minh Minh nói Nguyễn Nguyễn Sinh đã kết án Thủ tướng Chính phủ IPU Dự trữ IPU 1993 và 2017.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ກ່າວຄຳເຫັນທີ່ວາລະກອງປະຊຸມຄົບຄະນະສະມັດຊາໃຫຍ່ IPU-140.	Nguyễn Thin Nguyễn Thập Nguyễn Thạch Senhong Nguyễn Tấn Dũng, Bộ truyền thông lớn của Việt Nam IPU-140.
ພາບ: ຈ໊ຽນຖັ໊ງ.	Ảnh: VNA AGENDUM
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໃຫ້ຮູ້ວ່າ, ໃນວິວັດການພັດທະນາປະເທດຊາດ, ເຊື່ອມໂຍງເຂົ້າກັບສາກົນ, ຫວຽດນາມຍາມໃດກໍ່ຖືບຸລິມະສິດແກ່ການພັດທະນາແບບຍືນຍົງ, ຍົກສູງການສຶກສາແມ່ນລັດຖະນະໂຍບາຍແຖວໜ້າ, ປະກອບສ່ວນຍົກສູງລະດັບຄວາມຮູ້ຂອງປະຊາຊົນ, ສ້າງແຫຼ່ງຊັບພະຍາກອນມະນຸດທີ່ມີລະດັບສູງ.	Nguyễn Mini Kim Biết, thông tin, phát triển quốc tế, thảo luận về mức độ phát triển công cộng, tạo ra mức độ kiến thức của con người cao.
ສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ຮັບຮອງ ແລະປັບປຸງເອກະສານທາງກົດໝາຍສຳຄັນຫຼາຍສະບັບ, ຄື: ລັດຖະທຳມະນູນ, ກົດໝາຍວ່າດ້ວຍການສຶກສາມະຫາວິທະຍາໄລ, ກົດໝາຍວ່າດ້ວຍການສຶກສາວິຊາຊີບ ແລະເພີ່ມທະວີການຕິດຕາມກວດກາແນໃສ່ຍົກສູງຄຸນນະພາບການປ່ຽນແປງໃໝ່ການສຶກສາຢູ່ຫວຽດນາມ.	Nghị viện Việt Nam đã thông qua nhiều luật chính, như: luật hiến pháp, nghiên cứu giáo dục, giải trí luật tại Việt Nam.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຖ່າຍຮູບເປັນທີ່ລະນຶກພ້ອມກັບບັນດາຫົວໜ້າຄະນະທີ່ເຂົ້າຮ່ວມ IPU-140.	Nguyễn trong Quốc hội Nguyễn Thị Nguyên Trọng
ພາບ: ຈ໊ຽນຖັ໊ງ.	Ảnh: VNA AGENDUM
ເພື່ອເພີ່ມທະວີບົດບາດຂອງສະພາແຫ່ງຊາດໃນເລື່ອງຊຸກຍູ້ການສຶກສາເພື່ອສັນຕິພາບ, ສະຖຽນລະພາບ ແລະອຳນາດນິຕິບັນຍັດ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ສະເໜີ 5 ກຸ່ມມາດຕະການ: ປະຊາຄົມສາກົນສືບຕໍ່ປັບປຸງສະພາບແວດລ້ອມແຫ່ງສັນຕິພາບ, ສະຖຽນລະພາບໃຫ້ແກ່ການພັດທະນາແບບຍືນຍົງ, ເອົາໃຈໃສ່ເປັນສຳຄັນການສຶກສາຮອບດ້ານໃຫ້ແກ່ປະຊາຊົນທຸກຄົນ, ຍູ້ແຮງການສຶກສາວິຊາຊີບ;	Để tăng vai trò của Quốc hội trong nghiên cứu giáo dục, ổn định, ổn định, cá nhân hóa cho tất cả mọi người, thúc đẩy giáo dục chuyên nghiệp;
ເສີມຂະຫຍາຍບົດບາດຂອງບັນດາລັດຖະສະພາ, ຕິດຕາມກວດກາການປະຕິບັດ ແລະໃຫ້ສັດຕະຍາບັນງົບປະມານເໝາະສົມກັບບັນດາໂຄງການປະຕິຮູບ, ປ່ຽນແປງໃໝ່ການສຶກສາ-ກໍ່ສ້າງແບບຍືນຍົງ;	Tăng cường vai trò của Nghị viện, Giám sát và Hành động phù hợp với ngân sách, các chương trình cải cách, giáo dục;
