ກປ.ອອນໄລ - ກອງປະຊຸມໃຫຍ່ກໍາມະບານຫວຽດນາມ ຄັ້ງທີ XII ໄດ້ດໍາເນີນໃນວັນທີ 24 ກັນຍາ, ທີ່ນະຄອນຫຼວງຮ່າໂນ້ຍ.	Đại hội Công đoàn Việt Nam lần thứ XII được tổ chức ngày 24/9 tại Hà Nội.
ນີ້ແມ່ນເຫດການການເມືອງສຳຄັນ, ເປັນຂີດໝາຍບາດກ້າວພັດທະນາໃໝ່ຂອງຂະບວນການກຳມະກອນ ແລະການເຄື່ອນໄຫວຂອງກຳມະບານ;	Đây là sự kiện chính trị quan trọng, đánh dấu bước phát triển mới của phong trào CNVCLĐ và phong trào công đoàn;
ຢືນຢັນເຖິງບົດບາດ, ທີ່ຕັ້ງຂອງຊົນຊັ້ນກຳມະບານ, ອົງການຈັດຕັ້ງກຳມະບານຫວຽດນາມ ໃນໄລຍະໃໝ່.	Khẳng định lại vai trò, vị trí của CĐCS và tổ chức Công đoàn Việt Nam trong thời kỳ mới.
ຜ່ານກອງປະຊຸມໃຫຍ່ 11 ຄັ້ງ, ມາຮອດປະຈຸບັນ, ອົງການຈັດຕັ້ງກຳມະບານ ແລະກຳລັງສະມາຊິກກຳມະບານ, ກຳມະກອນລັດຖະກອນ, ຊາວຜູ້ອອກແຮງງານໃນທົ່ວປະເທດໄດ້ເຕີບໃຫຍ່ເຂັ້ມແຂງຢ່າງບໍ່ຢຸດຢັ້ງ, ພິເສດ, ຄວາມສາມັກຄີ, ຄວາມມານະພະຍາຍາມ, ຄວາມຕັດສິນໃຈ ແລະຈິດໃຈອອກແຮງງານຢ່າງຫ້າວຫັນຂອງສະມາຊິກກຳມະບານ, ກຳມະກອນລັດຖະກອນ, ຊາວຜູ້ອອກແຮງງານໃນອາຍຸການຜ່ານມາປະກອບສ່ວນສຳຄັນເຂົ້າໃນຜົນງານລວມຂອງປະເທດ, ສ້າງເປັນທ່ວງທ່າ ແລະກຳລັງໝັ້ນຄົງທີ່ມີອິດທິພົນຊື່ສຽງຂອງຫວຽດນາມໃນເວທີສາກົນ.	Trải qua 11 lần Đại hội, đến nay, Ban tổ chức và là thành viên của các công đoàn, công nhân, viên chức, lao động cả nước ngày càng phát triển vững mạnh, đoàn kết đặc biệt, hiểu biết và nỗ lực, quyết tâm cao và tinh thần lao động tích cực của công đoàn viên, người lao động, đội ngũ cán bộ công chức, người lao động thời gian qua đã góp phần quan trọng vào sự thành công của đất nước, tạo đà và ảnh hưởng vững chắc đến uy tín của Việt Nam trên trường quốc tế.
ບັນຍາກາດທີ່ກອງປະຊຸມໃຫຍ່ກຳມະບານຫວຽດນາມ ຄັ້ງທີ XII.	Khí thế của Đại hội Đảng lần thứ XII
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ສິ່ງທີ່ເປັນໜ້າຮັບຮູ້ໃນການເຄື່ອນໄຫວຂອງອົງການຈັດຕັ້ງກຳມະບານແມ່ນໄດ້ນຳພາຍົກສູງຂອບຂະໜາດ, ພູມປັນຍາຂອງສະມາຊິກກຳມະບານ, ກຳມະກອນລັດຖະກອນ, ຊາວຜູ້ອອກແຮງງານຫວຽດນາມ.	Điều dễ nhận thấy trong hoạt động của tổ chức Công đoàn là nâng tầm bản lĩnh, trí tuệ của đoàn viên, công chức và người lao động Việt Nam.
ກຳມະກອນ ແລະຊາວຜູ້ອອກແຮງງານຫວຽດນາມ ຢັ້ງຢືນໄດ້ຄຸນນະທາດ, ພູມປັນຍາ, ປະສິດທິຜົນການອອກແຮງງານທຳການຜະລິດ, ສ້າງເປັນພື້ນຖານໝັ້ນຄົງເຂັ້ມແຂງໃຫ້ຂະແໜງອຸດສາຫະກຳຂອງຫວຽດນາມພັດທະນາ;	Công nhân, lao động Việt Nam chứng nhận phẩm chất, trí tuệ, hiệu quả lao động sản xuất, làm nền tảng vững chắc cho sự phát triển của ngành công nghiệp Việt Nam;
ພ້ອມທັງສ້າງເງື່ອນໄຂສະດວກໃຫ້ແກ່ການຮຽກຮ້ອງການລົງທຶນ, ຊຸກຍູ້ການຜະລິດ, ເປີດກວ້າງຄວາມສາມາດບົ່ມຊ້ອນ, ທ່າແຮງໃນການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຢ່າງເລິກເຊິ່ງກວ້າງຂວາງໃຫ້ຫວຽດນາມ.	Đồng thời tạo điều kiện thuận lợi để Việt Nam thu hút đầu tư, thúc đẩy sản xuất, mở rộng tiềm lực và hội nhập quốc tế sâu rộng.
ກອງປະຊຸມໃຫຍ່ກຳມະບານຫວຽດນາມ ຄັ້ງທີ XII ແມ່ນກາລະໂອກາດເພື່ອໃຫ້ສະຫະພັນໃຫຍ່ແຮງງານຫວຽດນາມ ແລະອົງການຈັດຕັ້ງກຳມະບານຕີລາຄາຄືນໝາກຜົນການຊີ້ນຳ, ນຳພາ, ການຈັດຕັ້ງຂະບວນການກຳມະກອນ, ການເຄື່ອນໄຫວກຳມະບານ, ການເຂົ້າຮ່ວມພາລະກິດປ່ຽນແປງໃໝ່ຂອງປະເທດ;	Đại hội Công đoàn Việt Nam lần thứ XX là dịp để Tổng Liên đoàn Việt Nam và các tổ chức công đoàn đánh giá lại kết quả công tác lãnh đạo, chỉ đạo, tổ chức quá trình lao động, hoạt động công đoàn và sự tham gia của đất nước. nhiệm vụ chuyển đổi.
ສັງລວມຄຳເຫັນປະກອບຂອງພະນັກງານ, ລັດຖະກອນ, ພາລະກອນ, ກຳມະກອນ ແລະອົງການຈັດຕັ້ງກຳມະບານກັບພັກ, ລັດ, ລັດຖະບານ...	Tổng hợp các ý kiến đóng góp của cán bộ, công chức, viên chức, người lao động và tổ chức Công đoàn với Đảng, Nhà nước, Chính phủ ...
