ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 14 ເມສາ 2017, ທີ່ສໍານັກງານປະທານປະເທດຫວຽດນາມ, ທ່ານປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ໄດ້ມີການຕ້ອນຮັບທ່ານ Jeffrey R.	Chiều 14/4/2017, tại Văn phòng Chủ tịch nước, Chủ tịch nước Trần Đại Quang đã tiếp ông Jeffrey R.
Immelt, ປະທານກຸ່ມບໍລິສັດ General Electric (GE) ຂອງສະຫະລັດ ອາເມລິກາ, ທີ່ພວມຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ ຫວຽດນາມ.	Immelt, Chủ tịch Tập đoàn General Electric (GE) của Hoa Kỳ đang có chuyến thăm và làm việc tại Việt Nam.
ທ່ານປະທານປະເທດຫວຽດນາມ ເຈິ່ນດ້າຍກວາງ ແລກປ່ຽນກັບທ່ານ Jeffrey R.	Chủ tịch nước Việt Nam Trần Đại Quang trao đổi với Jeffrey R.
Immelt.	Bất tử.
ພາບ: ສໍານັກຂ່າວສານ ຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ທ່ານປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ຕີລາຄາສູງຕໍ່ເລື່ອງ GE ໄດ້ ແລະພວມເຄື່ອນໄຫວຢ່າງຕັ້ງໜ້າ, ສືບຕໍ່ມີແຜນການເປີດກວ້າງການລົງທຶນຕາມທິດທຳມາຫາກິນຍາວນານ ແລະມີສະຖຽນລະພາບຢູ່ ຫວຽດນາມ.	(VOVworld) - Chủ tịch nước Trần Đại Quang khen ngợi GE đang tích cực theo đuổi kế hoạch mở rộng đầu tư dài hạn tại Việt Nam.
GE ໄດ້ມີການປະກອບສ່ວນຢ່າງແທດຈິງໃຫ້ແກ່ການພັດທະນາການພົວພັນດ້ານເສດຖະກິດ, ການຄ້າ ແລະການລົງທຶນສອງຝ່າຍ, ປະກອບສ່ວນຊຸກຍູ້ການພົວພັນຄູ່ຮ່ວມມືຮອບດ້ານລະຫວ່າງ ຫວຽດນາມ-ອາເມລິກາ.	GE đã có những đóng góp đáng kể trong việc phát triển quan hệ kinh tế, thương mại và đầu tư song phương, góp phần thúc đẩy quan hệ đối tác toàn diện giữa Việt Nam và Hoa Kỳ.
ທ່ານປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ໄດ້ເນັ້ນໜັກວ່າ: ຫວຽດນາມ ພວມສຸມໃສ່ປ່ຽນໃໝ່ໃນທຸກຂົງເຂດ, ຍູ້ແຮງການປະຕິຮູບ, ຫັນປ່ຽນຮູບແບບການເຕີບໂຕ, ສ້າງກຳລັງໜູນໃໝ່ ເພື່ອພັດທະນາເສດຖະກິດ-ສັງຄົມ, ເຊື່ອມໂຍງເສດຖະກິດເຂົ້າກັບສາກົນ ແລະສ້າງຄວາມສະດວກໃຫ້ການເຄື່ອນໄຫວຂອງບັນດານັກລົງທຶນຕ່າງປະເທດ, ໃນນັ້ນມີວິສາຫະກິດຈາກອາເມລິກາ.	(VOVworld) - Chủ tịch nước Trần Đại Quang nhấn mạnh Việt Nam đang tập trung cải cách trên tất cả các lĩnh vực, đẩy mạnh cải cách, chuyển đổi mô hình tăng trưởng, tạo động lực phát triển kinh tế - xã hội, hội nhập kinh tế quốc tế và tạo thuận lợi cho hoạt động của các nhà đầu tư nước ngoài.
ເມື່ອເຕື້ອງເຖິງອະນາຄົດພັດທະນາຂອງການພົວພັນລະຫວ່າງ ຫວຽດນາມ-ອາເມລິກາ, ທ່ານປະທານປະເທດເຊື່ອໝັ້ນວ່າ, ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ ແລະການລົງທຶນໃນໄລຍະຈະມາເຖິງສືບຕໍ່ເປັນກຳລັງໜູນຂອງການພົວພັນສອງຝ່າຍ.	Về sự phát triển trong tương lai của quan hệ Việt Nam - Hoa Kỳ, Chủ tịch nước Trương Tấn Sang tin tưởng hợp tác kinh tế, thương mại và đầu tư trong thời gian tới sẽ tiếp tục là động lực của quan hệ hai nước.
ຄວາມສາມາດບົ່ມຊ້ອນການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ ແລະການລົງທຶນລະຫວ່າງສອງປະເທດຍັງໃຫຍ່ຫຼວງຢູ່.	Tiềm năng hợp tác kinh tế, thương mại và đầu tư giữa hai nước là rất lớn.
ຫວຽດນາມ ຊົມເຊີຍການກໍານົດທິດເປີດກວ້າງການລົງທຶນຂອງກຸ່ມບໍລິສັດ GE ຢູ່ ຫວຽດນາມ ກ່ຽວກັບພະລັງງານ, ການບິນ, ເຄື່ອງອຸປະກອນສາທາລະນະສຸກ.	Việt Nam khen ngợi Tập đoàn GE đầu tư vào Việt Nam trong lĩnh vực năng lượng, hàng không và thiết bị y tế
ນີ້ກໍ່ແມ່ນບັນດາຂົງເຂດ ຊຶ່ງ ຫວຽດນາມ ພວມສົ່ງເສີມບັນດານັກລົງທຶນຢູ່ພາຍໃນ ແລະຕ່າງປະເທດ.	Đây là những lĩnh vực mà Việt Nam đang khuyến khích các nhà đầu tư trong và ngoài nước.
ທ່ານປະທານປະເທດ ເຈິ່ນດ້າຍກວາງ ໃຫ້ຮູ້ວ່າ: ເລື່ອງ ຫວຽດນາມ ແລະອາເມລິກາ ສ້າງພື້ນຖານການພົວພັນໜັກແໜ້ນພໍສົມຄວນໄດ້ສ້າງກາລະໂອກາດ ເພື່ອໃຫ້ບັນດາວິສາຫະກິດ ອາເມລິກາ ເພີ່ມທະວີການເຄື່ອນໄຫວທຳມາຫາກິນຢູ່ ຫວຽດນາມ.	(VOVworld) - Chủ tịch nước Trần Đại Quang cho rằng Việt Nam và Hoa Kỳ đã tạo dựng được đầy đủ cơ sở để gắn bó hơn, tạo cơ hội cho các doanh nghiệp Hoa Kỳ tăng cường hoạt động kinh doanh tại Việt Nam.
