ວັນ ທີ 26 ຕຸລາ, ສ.	26 tháng 10 năm
ເກົາຫລີ-ຈີນ ເລີ່ ມ ເຈລະຈາ ຄັ້ງ ທີ 9 ເພື່ອ ຊຸກ ຍູ້ ການ ພົວພັນ ດ້ານການ ບໍລິການ ແລະການ ລົງທຶນ ໃນ ກອບ ສັນຍາ ການ ຄ້າ ເສລີ (FTA) ລະຫວ່າງສອງ ຝ່າຍ ໂດຍ ມີ ຜົນ ບັງຄັບ ໃນ ໄລຍະ 5 ປີຜ່ານມາ.	Hàn Quốc và Trung Quốc đã bắt đầu vòng đàm phán thứ chín nhằm thúc đẩy dịch vụ và đầu tư trong Hiệp định Thương mại Tự do (FTA) giữa hai bên, có hiệu lực trong 5 năm qua.
ພາບປະກອບຄັດຈາກ: kpl.gov.la.	Hình minh họa: kpl.gov.la.
ຕາມກະຊວງ ການ ຄ້າ, ອຸດ ສາ ຫະກຳ ແລະພະລັງງານ ສ.	Theo Bộ Thương mại, Công nghiệp và Năng lượng.
ເກົາ ຫລີ (MTIE) ໃຫ້ ຮູ້ ວ່າ ບັນດາເຈົ້າ ໜ້າ ທ່ີ ການ ຄ້າ ປະ ເທດ ນີ້ ແລະຈີນ ຈະ ຈັດ ກອງ ປະຊຸມ ທາງ ວິ ດີ ໂອ ຈົນ ເຖິງ ວັນ ທີ 30 ເດືອນ ຕຸລາ.	Hàn Quốc (MTIE) đã thông báo rằng các nhà lãnh đạo thương mại nước này và Trung Quốc sẽ tổ chức một cuộc họp video cho đến ngày 30/10.
ສ.	ส.
ເກົາຫລີ ແລະຈີນ ໄດ້ ຜັນ ຂະຫຍາຍ FTA ຂອງສອງ ຝ່າຍ ເມື່ອ ເດືອນທັນວາ 2015 ແລະເລີ່ ມ ເຈລະຈາ ເປີດ ກວ້າງ ຂໍ ້ຕົກລົງດັ່ງກ່າວ ໃນ ປີ 2018.	Hàn Quốc và Trung Quốc đã khởi động một FTA song phương vào tháng 12 năm 2015 và bắt đầu đàm phán để mở ra hiệp định vào năm 2018.
ປັດຈຸບັນ, ຈີນ ຍັງ ເປັນ ຄູ່ ຮ່ວມ ມື ການ ຄ້າ ຂະໜາດ ໃຫຍ່ ສຸດ ຂອງ ສ.	Hiện nay, Trung Quốc vẫn là đối tác thương mại lớn nhất của Hàn Quốc.
ເກົາຫລີ ເຖິງ ແມ່ນ ວ່າ ປີ 2019, ມູນ ຄ່າ ການ ສົ່ງ ອອກ ຂອງ ສ.	Hàn Quốc ngay cả trong năm 2019, giá trị xuất khẩu của Hàn Quốc.
ເກົາຫລີ ໄປ ຍັງ ຈີນ ລວມມີ 136 ຕື້ ໂດ ລາ ສະຫະລັດ, ຫລຸດ ລົງ 16% ເມື່ອ ທຽບ ໃສ່ ໄລຍະ ດຽວ ກັນ ເມື່ອ ປີຜ່ານມາ ທ່າມກາງສະພາບຄວາມ ເຄັ່ງ ຕຶງດ້ານ ການ ຄ້າ ລະຫວ່າງ ສ.	Hàn Quốc đến Trung Quốc đạt tổng trị giá 136 tỷ USD, giảm 16% so với cùng kỳ năm ngoái trong bối cảnh căng thẳng thương mại giữa hai nước.
ອາ ເມລິ ກາ ແລະຈີນ ຍັງ ສືບ ຕໍ່ເພີ່ມ ຂຶ້ນ ແລະລາຄາ ຈີນ ໄດ້ຫລຸດ ລົງ.	Hoa Kỳ và Trung Quốc tiếp tục tăng và giá Trung Quốc đã giảm.
ເນື້ອໃນ: ຂປລ.	Nội dung:
