ກປ.ອອນໄລ - ວັນທີ 4 ກໍລະກົດ, ທີ່ເຊີແນວ (ສະວິດ), ໃນຂອບເຂດກອງປະຊຸມ ຊຸດທີ 41 ຂອງສະພາສິດທິມະນຸດ ສປຊ ໄດ້ດໍາເນີນວາລະປະຊຸມຮັບຮອງເອົາບົດລາຍງານແຫ່ງຊາດຂອງຫວຽດນາມ ຕາມກົນໄກທົບທວນປະຈຳໄລຍະ (UPR) ໄລຍະ 3.	Luke ngày 4 tháng 7, Geneva, 41, 41 cơ chế đánh giá quyền quốc gia của Giai đoạn 10.
ຄະນະຫວຽດນາມ ນໍາໂດຍທ່ານ ເລຮວ່າຍຈຸງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໄດ້ເຂົ້າຮ່ວມວາລະປະຊຸມ.	Bộ trưởng Ngoại giao Việt Nam tham dự cuộc họp.
ທີ່ວາລະປະຊຸມ, ທ່ານ ເລຮວ່າຍຈຸງ ໄດ້ແຈ້ງໃຫ້ສະພາສິດທິມະນຸດ ສປຊ ຊາບກ່ຽວກັບເລື່ອງຫວຽດນາມ ຕົກລົງຮັບຮອງ 241 ໃນຈໍານວນ 291 ຂໍ້ສະເໜີແນະເຊິ່ງບັນດາປະເທດໄດ້ຍົກອອກມາ, ບັນລຸເກືອບ 83%, ລວມມີບັນດາເນື້ອໃນສໍາຄັນ, ຮອບດ້ານຂອງວຽກງານຮັບປະກັນສິດຂອງມະນຸດ...	Trong đó cuộc họp của Hoa Kỳ được thông báo về Việt Nam, 291 đề xuất, bao gồm cả những lời chỉ trích của nó, xung quanh công việc của nhân quyền ...
ຄະນະຫວຽດນາມກໍ່ໄດ້ອະທິບາຍເລື່ອງບໍ່ຕົກລົງຮັບຮອງບາງຂໍ້ສະເໜີແນະທີ່ຍັງບໍ່ທັນສອດຄ່ອງກັບນະໂຍບາຍ, ກົດໝາຍ ແລະເງື່ອນໄຂຕົວຈິງຂອງຫວຽດນາມ.	Hội đồng Việt Nam mô tả sự không đối với các dịch vụ tái xuất hiện không phù hợp với chính sách và sự thật của Việt Nam.
ທ່ານ ເລຮວ່າຍຈຸງ ຮອງລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດຫວຽດນາມ ເປັນຫົວໜ້າຄະນະເຂົ້າຮ່ວມວາລະປະຊຸມ.	Phó Bộ trưởng Ngoại giao Việt Nam đối ngoại của đối ngoại Việt Nam
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ຕາງໜ້າບັນດາປະເທດ ແລະຫຼາຍອົງການຈັດຕັ້ງສາກົນ, ອົງການຈັດຕັ້ງບໍ່ຂຶ້ນກັບລັດຖະບານ ໄດ້ກ່າວຄໍາຊົມເຊີຍຕໍ່ຄວາມມານະພະຍາຍາມໃນການຮັບປະກັນສິດຂອງມະນຸດຢູ່ຫວຽດນາມ;	Thay mặt các quốc gia và nhiều tổ chức quốc tế hơn, chính phủ không phụ thuộc vào Chính phủ để đảm bảo nhân quyền ở Việt Nam;
ຮັບຮູ້ບັນດາຜົນງານຂອງຫວຽດນາມໃນການປະຕິຮູບດ້ານຕຸລາການ, ປະຕິຮູບກົດໝາຍກ່ຽວກັບສິດຂອງມະນຸດ, ມານະພະຍາຍາມຍົກສູງຊີວິດການເປັນຢູ່ໃຫ້ແກ່ປະຊາຊົນ, ຮັບປະກັນຊີວິດສັງຄົມ, ຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ຮັບປະກັນສິດເສລີ, ການເຫຼື້ອມໃສສາສະໜາ...	Công nhận hiệu suất của Việt Nam trong cải cách tư pháp, nguồn gốc của quyền của mình, đảm bảo sự thay đổi về khí hậu, đảm bảo sự chuyển đổi của khí hậu
ສິ້ນສຸດວາລະປະຊຸມ, ສະພາສິດທິມະນຸດ ສປຊ ໄດ້ເຫັນດີເປັນເອກະພາບກັນຕົກລົງຮັບຮອງເອົາໝາກຜົນບົດລາຍງານ UPR ໄລຍະ 3 ຂອງຫວຽດນາມ.	Các hội nghị của Liên Hợp Quốc, Hội đồng Russe của Liên Hợp Quốc đã thuyết phục, Thỏa thuận Rismis của Liên Hợp Quốc đồng ý với Bộ trưởng Bộ trưởng Việt Nam chiếm đóng.
ຫວຽດນາມ ຈະກ້າວເຂົ້າສູ່ໄລຍະປະຕິບັດ ແລະທົວທວນຄືນບົດລາຍງານໃຫ້ແກ່ໄລຍະຕໍ່ໄປ ເຊິ່ງຄາດວ່າຈະເລີ່ມຕົ້ນແຕ່ປີ 2023.	Việt Nam sẽ chuyển sang hoạt động và thuật ngữ tiếp theo, thuật ngữ tiếp theo dự kiến từ năm 2023.
ໂດຍ: ຮວ່າງເຈື່ອງ.	Đăng bởi: HOANG TRUONG Ban.
