ກປ.ອອນໄລ - ຄວາມສວຍງາມ, ຄວາມສຸພາບອ່ອນໂຍນ ແລະຄວາມເຊື່ອໝັ້ນຕົນເອງແມ່ນສິ່ງທີ່ໄດ້ເຫັນເມື່ອກັບນາງ.	KPR Online - Vẻ đẹp, sự lịch thiệp và tự tin là những gì cô ấy nhìn thấy ở mình.
ແຕ່ໃນວຽກງານ, ນາງຍັງໄດ້ຮັບການຕີລາຄາສູງຈາກເພື່ອນຮ່ວມອາຊີບ ຍ້ອນຄວາມດຸໝັ່ນຂະຫຍັນພຽນ, ມີຫົວຄິດປະດິດສ້າງ, ເຕັມໄປດ້ວຍພະລັງ ແລະຄຸນນະທາດຜ່ານຜ່າຄວາມຫຍຸ້ງຍາກ.	Nhưng trong công việc, chị cũng được đồng nghiệp đánh giá cao về đức tính cần cù, sáng tạo, nghị lực và phẩm chất vượt qua nghịch cảnh.
ນັ້ນແມ່ນນາງ ຫງວຽນເຈິ່ນງອັກລິງ, ຫົວໜ້າສູນວິໄຈຂໍ້ມູນໃຫຍ່-BDA (Big Data Analytics), ສັງກັດສູນຊ໊ອບແວ Viettel 2 (VTSoft2), ກຸ່ມບໍລິສັດໂທລະຄົມມະນາຄົມກອງທັບ (Viettel).	Đó là Nguyễn Trần Ackling, Trưởng phòng Phân tích Dữ liệu lớn, trực thuộc Viettel 2 (VTSoft2), Tập đoàn Viễn thông Quân đội (Viettel).
ນາງ ງອັກລິງ ກໍ່ແມ່ນ 1 ໃນຈໍານວນ 100 ແມ່ຍິງດີເດັ່ນທົ່ວປະເທດ ທີ່ໄດ້ຮັບການຍ້ອງຍໍ ແລະເຊີດຊູໃນຂອບເຂດກອງປະຊຸມໃຫຍ່ຜູ້ແທນແມ່ຍິງທົ່ວປະເທດ ຄັ້ງທີ XII.	Ng Ackling là một trong 100 Phụ nữ tiêu biểu của Quốc gia được công nhận và vinh danh trong khuôn khổ Đại hội Phụ nữ toàn quốc lần thứ XII.
ຈາກການສະແຫວງຫາຄວາມເມົາມົວ	Từ việc theo đuổi cơn say
ຍາກທີ່ຈະວາດພາບແມ່ຍິງໜຸ່ມຄົນໜຶ່ງອາຍຸ 30 ປີໄດ້ຄືນາງ ລິງ, ຊໍ້າພັດແມ່ນຫົວໜ້າຂອງ 1 ໃນ 7 ສູນສັງກັດ VTSoft2, ຮັບຜິດຊອບກ່ຽວກັບຫຼາຍໂຄງການໃນຂົງເຂດ Big Data ແລະກໍ່ມີຄົນຈໍານວນບໍ່ຫຼາຍຮູ້ວ່າ, ເພື່ອປະສົບຜົນສໍາເລັດທໍາອິດນັ້ນ, ນາງ ລິງ ໄດ້ມີຄວາມໃຝ່ຝັນຢາກກາຍເປັນນັກສ້າງໂປຼແກຼມ ເມື່ອອາຍຸ 12 ປີ.	Khó có thể tưởng tượng một phụ nữ trẻ ngoài 30 tuổi như Ling, Samphat lại là lãnh đạo của một trong bảy chi nhánh VTSoft2, chịu trách nhiệm về nhiều dự án trong lĩnh vực Dữ liệu lớn, và ít ai biết rằng, để thành công ngay từ đầu. thời gian, Ling mơ ước trở thành một đứa trẻ 12 tuổi.
ຕັດສິນໃຈຕ້ອງປະຕິບັດໃຫ້ໄດ້ຄວາມໃຝ່ຝັນນັ້ນນາງ ລິງ ໄດ້ວາງເປົ້າໝາຍຢ່າງລະອຽດໃຫ້ແກ່ຕົນເອງ.	Quyết tâm theo đuổi ước mơ đó, Ling đã đặt mục tiêu rõ ràng cho bản thân.
ທໍາອິດນັ້ນແມ່ນຕ້ອງຮຽນ.	Đầu tiên là học.
ຮຽນວັດທະນະທໍາໃຫ້ດີເພື່ອເສັງເຂົ້າມະຫາວິທະຍາໄລ ແລະຮຽນຄອມພິວເຕີ, ເຖິງວ່າເງື່ອນໄຂກ່ຽວກັບອຸປະກອນ, ເຕັກໂນໂລຢີຄາວນັ້ນຍັງຂາດເຂີນກໍ່ຕາມ.	Được học văn hóa tốt để vào đại học và tin học dù trang thiết bị, công nghệ vẫn chưa đủ.
ພາບຈາກນາງ ຫງວຽນເຈິ່ນງອັກລິງ.	Ảnh: Nguyễn Trần Ackling
ປີ 2010, ຫຼັງຈາກຮຽນຈົບຈາກມະຫາວິທະຍາໄລແຫ່ງຊາດຮ່າໂນ້ຍ ດ້ວຍໃບປະກາດສະນີຍະບັດປະເພດເກັ່ງ, ນາງ ລິງ ເລີ່ມຕົ້ນເຮັດວຽກຢູ່ສູນຊ໊ອບແວໂທລະຄົມມະນາຄົມ Viettel.	Năm 2010, sau khi tốt nghiệp cử nhân Đại học Quốc gia Hà Nội, Ling bắt đầu làm việc tại Trung tâm Phần mềm Viễn thông Viettel.
ນາງ ເລົ່າສູ່ຟັງວ່າ, “ຂ້າພະເຈົ້າມີອ້າຍເຮັດວຽກຢູ່ Viettel ສະນັ້ນ, ກ່ອນຈະຈົບມະຫາວິທະຍາໄລ, ຂ້າພະເຈົ້າ ໄດ້ຮູ້ເຖິງນໍ້າໃຈ ແລະວັດທະນະທໍາເຮັດວຽກຢູ່ທີ່ນີ້.	"Tôi có anh trai làm việc tại Viettel nên trước khi tốt nghiệp đại học, tôi đã tìm hiểu kỹ tinh thần và văn hóa làm việc ở đây", cô nói.
ເກືອບຄືວ່າມີຈິດໃຈ ເລີ່ມທຸລະກິດຍາມໃດກໍ່ຍືນຍົງຄົງຕົວຢູ່ Viettel ໄດ້ເຮັດໃຫ້ຂ້າພະເຈົ້າມີຄວາມປາດຖະໜາຢາກກາຍເປັນພະນັກງານຂອງ Viettel ດ້ວຍຄວາມນຶກຄິດທີ່ວ່າສະພາບແວດລ້ອມແຫ່ງການເຮັດວຽກຢູ່ທີ່ນີ້ຈະຊ່ວຍໃຫ້ຂ້າພະເຈົ້າເຕີບໃຫຍ່.	Tinh thần khởi nghiệp bền vững tại Viettel đã khiến tôi khao khát trở thành nhân viên Viettel với suy nghĩ rằng môi trường làm việc ở đây sẽ giúp tôi phát triển.
ສິ່ງທົດສອບເພື່ອປະສົບຜົນສໍາເລັດ	Những điều cần kiểm tra để thành công
