ກປ.ອອນໄລ - ວັນທີ 31 ມັງກອນ, ງານບຸນສີສັນສວນໝາກໄມ້ທີ່ກວ້າງໃຫຍ່ຍາມລະດູບານໃໝ່ປີ 2018 ໄດ້ໄຂຂຶ້ນຢ່າງເປັນທາງການ.	KPR Online - Ngày 31/1, lễ hội vườn xuân rộng lớn sắc màu đón xuân mới 2018 chính thức khai mạc.
ນີ້ແມ່ນການເຄື່ອນໄຫວເປັນປະຈໍາປີໃນໂອກາດຍາມລະດູບານໃໝ່ວຽນມາ ໂດຍຫໍພິພິທະພັນນະຄອນ ເກີ່ນເທີ ຈັດຕັ້ງ.	Đây là hoạt động thường niên trong Lễ hội Xuân do Bảo tàng Cần Thơ tổ chức.
ບັນດາການເຄື່ອນໄຫວຂອງງານບຸນລວມມີ: ແນະນໍາອາຊີບຫັດຖະກໍາທີ່ເປັນມູນເຊື້ອຄື: ຖັກສານ, ຕໍ່າສາດ, ແກະຄວັດສະຫຼັກ, ອາຫານການກິນທີ່ເປັນເອກະລັກສະເພາະຂອງຊາດຫວຽດນາມ ເຊິ່ງບັນດານັກສິລະປິນຢູ່ເຂດສວນໝາກໄມ້ທີ່ກວ້າງໃຫຍ່ໄດ້ສະແດງໃນມື້ເປີດ.	Các hoạt động lễ hội bao gồm: Giới thiệu các nghề thủ công truyền thống như dệt vải, chạm khắc, ẩm thực độc đáo của Việt Nam được các nghệ nhân trình diễn tại khu vườn gỗ rộng lớn trong ngày khai mạc.
ຈຸດທີ່ເປັນເອກະລັກສະເພາະຂອງງານບຸນປີນີ້ຍັງມີລາຍການວາດພາບຕະຫຼາດບ້ານນາ ດ້ວຍບັນດາປະເພດສິນຄ້າພື້ນເມືອງ ແລະອາຊີບຕັດຫຍິບຊຸດເສື້ອຍາວທີ່ເປັນປະເພນີ.	Điểm nhấn của lễ hội năm nay là phiên chợ Bản Ná trưng bày các sản phẩm truyền thống và nghề may truyền thống.
ການສະແດງສິລະປະຂຽນຕົວໜັງສືຈີນ.	Triển lãm nghệ thuật thư pháp Trung Quốc.
ພາບ: ຖຸ໋ຍອານ	Ảnh: Thùy An / VNP
ນັກສິລະປິນເຮັດເຂົ້າໜົມພື້ນເມືອງ.	Các nghệ nhân làm bánh bao truyền thống.
ພາບ: ຖຸ໋ຍອານ	Ảnh: Thùy An / VNP
ເມື່ອເຂົ້າຮ່ວມລາຍການ, ນັກທ່ອງທ່ຽວບໍ່ພຽງແຕ່ໄດ້ຊົມບັນດາຜະລິດຕະພັນກ່ຽວກັບຮູບພາບບຸນປີໃໝ່ປະຈຳຊາດແບບຊົນນະບົດຢູ່ເຂດສວນໝາກໄມ້ທີ່ກວ້າງໃຫຍ່ເທົ່ານັ້ນ, ຫາກຍັງໄດ້ພົບປະ, ແລກປ່ຽນກັບບັນດານັກສິລະປິນທີ່ມາຈາກບັນດາໝູ່ບ້ານອາຊີບຫັດຖະກໍາທີ່ເປັນມູນເຊື້ອຢູ່ນະຄອນ ເກີ່ນເທີ ອີກດ້ວຍ.	Khi tham gia chương trình, du khách không chỉ được tận mắt chiêm ngưỡng những sản vật của ngày Tết cổ truyền vùng quê mà còn được gặp gỡ, giao lưu với các nghệ nhân đến từ các làng nghề thủ công truyền thống tại Cần Thơ.
ນອກຈາກນັ້ນ, ນັກທ່ອງທ່ຽວຍັງໄດ້ຊົມການສະແດງສິລະປະຂຽນຕົວໜັງສືຈີນ, ຮັບຟັງບັນດາການຂັບເດີນກາຕ່າຍຕື, ລິເກ...	Ngoài ra, du khách còn được xem biểu diễn thư pháp Trung Hoa, nghe đờn ca tài tử, Liga ...
ແລະເຂົ້າຮ່ວມບັນດາລະຫຼີ້ນພື້ນເມືອງ.	Và tham gia các trò chơi truyền thống.
ລາຍການດັ່ງກ່າວຈະດໍາເນີນຮອດວັນທີ 4 ກຸມພາ ຈຶ່ງອັດລົງ.	Chương trình kéo dài đến hết ngày 4 tháng 2 và kết thúc.
ສະເພາະຮ້ານວາງສະແດງ “ຂຽນຕົວໜັງສືຈີນວັນລະດູບານໃໝ່ ຈະດໍາເນີນຮອດວັນທີ 5 ບຸນປີໃໝ່ປີຈໍ (ໄລ່ຕາມຈັນທະປະຕິທິນ).	Các nhà trưng bày độc quyền "Văn tự Trung Quốc" Ngày xuân mới "kéo dài đến ngày mùng 5 Tết (theo âm lịch).
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
