ກປ.ອອນໄລ - ວັນຊາດທີ 2 ກັນຍາ ປີນີ້ແມ່ນວັນພິເສດທີ່ສຸດ, ຍ້ອນວ່າແມ່ນວັນລະນຶກເຖິງປະທານ ໂຮ່ຈີມິນ ມໍລະນະກຳ ຄົບຮອບ 50 ປີແລະ 50 ປີແຫ່ງວັນທົ່ວພັກ, ທົ່ວປວງຊົນ, ທົ່ວກອງທັບປະຕິບັດຄໍາພິໄນກໍາຂອງປະທານ ໂຮ່ຈີມິນ.	Ngày nước ngoài, ngày 2 tháng 9, vì 50 năm của CRIMMA tại nhà cộng sản và 50 năm đăng ký
ໃນໄລຍະ 50 ປີຜ່ານມາ, ພິໄນກໍາຂອງລຸງໂຮ່ ໄດ້ຮັບການປະຕິບັດຢ່າງມານະພະຍາຍາມ, ບຸກທະລຸ ແລະເຂັ້ມງວດຈາກທົ່ວພັກ, ທົ່ວປວງຊົນ, ທົ່ວກອງທັບ.	Trong hơn 50 năm qua, Bác Hồ đã được thực hành, và đồng ý từ bữa tiệc, trong suốt Quân đội.
ພວກເຮົາປະຕິບັດພາລະກິດປົດປ່ອຍປະເທດຊາດ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບໄດ້ຢ່າງສຳເລັດ ແລະສະຫງ່າງາມ.	Chúng tôi hoàn thành nhiệm vụ tự do của quốc gia, quốc gia hoàn chỉnh và thanh lịch.
ໃນສູນທອນພົດທີ່ພິທີແຫ່ງຊາດ 50 ປີແຫ່ງວັນປະຕິບັດຄໍາພິໄນກໍາຂອງປະທານ ໂຮ່ຈີມິນ ແລະລະນຶກເຖິງວັນມໍລະນະກຳຂອງເພິ່ນ ຄົບຮອບ 50 ປີ, ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຊີ້ແຈ້ງວ່າ: “ພວກເຮົາມີຄວາມເອກອ້າງທະນົງໃຈ ແລະມີຄວາມເຊື່ອໝັ້ນລາຍງານຕໍ່ລຸງວ່າ, ພາຍໃຕ້ການນໍາພາຂອງພັກ, ປະຊາຊົນພວກເຮົາໄດ້ສ້າງສາປະເທດຊາດໃຫ້ສວຍງາມກວ່າເກົ່າທົບສິບເທື່ອ ແລະ “ນັບມື້ນັບສະຫງ່າຜ່າເຜີຍກວ່າ, ໃຫຍ່ງາມກວ່າ ຄືດັ່ງຄວາມຄາດຫວັງຂອງເພິ່ນ.	Trong những vụ ám sát Celeterational quốc gia 50 tuổi, "Lãnh đạo của Việt Nam, thế giới, chúng tôi đã tạo ra một Nguyễn Phú Tân năm tuổi.
ສິ່ງດັ່ງກ່າວນັ້ນຍິ່ງເປັນການປັບປຸງຄວາມເຊື່ອໝັ້ນຂອງພວກເຮົາທີ່ມີຕໍ່ໄຊຊະນະຂອງກິດຈະການປ່ຽນໃໝ່, ສ້າງລັດທິສັງຄົມນິຍົມໃຫ້ປະສົບຜົນສໍາເລັດຕື່ມອີກ.	Đây là sự kết án tốt hơn, niềm tin của chúng tôi về niềm tin của chúng tôi đối với chiến thắng của các hoạt động, chuyển đổi, chủ nghĩa xã hội sẽ thành công hơn.
ປະທານ ໂຮ່ຈີມິນ.	Chủ tịch Hồ Chí Minh.
ພາບສາລະຄະດີ	Gặp gỡ
ຫວຽດນາມ ກໍາລັງໄປລັດໜ້າການປະຕິວັດອຸດສາຫະກໍາ 4.0 - ການປະຕິວັດວິທະຍາສາດ, ເຕັກໂນໂລຢີໃໝ່ທີ່ສຸດຂອງໂລກ.	Việt Nam sẽ đến trạng thái Cách mạng của Cách mạng Công nghiệp 4.0 - Cuộc cách mạng công nghệ mới nhất thế giới.
ເຖິງວ່າຍັງມີຄວາມຫຍຸ້ງຍາກ, ສິ່ງທ້າທາຍຫຼາຍຢ່າງກໍ່ຕາມ, ແຕ່ທ່ວງທ່າ ແລະກໍາລັງແຮງຂອງປະເທດຊາດໃນປະຈຸບັນນີ້ໄດ້ເຮັດໃຫ້ພວກເຮົາມີຄວາມເຊື່ອໝັ້ນຕົນເອງດ້ວຍຄວາມປາດຖະໜາຢາກສ້າງສາປະເທດຫວຽດນາມ ໃຫ້ມີຄວາມເຂັ້ມແຂງແຮງກ້າໃນປີ 2045 - ຂີດໝາຍສະເຫຼີມສະຫຼອງ 100 ປີແຫ່ງວັນສະຖາປະນາປະເທດ.	Mặc dù có nhiều khó khăn, nhiều thách thức, mỗi thách thức nhất để xây dựng một năm của Việt Nam, đất nước của đất nước.
ນັບແຕ່ເມື່ອສ້າງຕັ້ງ, ການນໍາພາຂອງພັກແມ່ນປັດໄຈຕັດສິນຊີ້ຂາດກັບທຸກໄຊຊະນະຂອງການປະຕິວັດຫວຽດນາມ.	Kể từ khi thiết lập, sự lãnh đạo của Đảng là một yếu tố quyết định với tất cả chiến thắng của cuộc cách mạng Việt Nam.
ໃນຄໍາພິໄນກໍາຂອງປະທານ ໂຮ່ຈີມິນ, ບັນຫາກໍ່ສ້າງພັກໄດ້ເວົ້າເຖິງກ່ອນໝູ່ໝົດ.	Trong Tổng thống Hồ Chí Minh, các cuộc đàm phán cứu hộ đảng đã hoàn toàn được nói.
