ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 25 ພະຈິກ, ທີ່ແຂວງຢາລາຍ ສສ.	KPR Online - Chiều 25/11, tại tỉnh Yalai.
ຫວຽດນາມ, ກອງບັນຊາການພົນລະພາກຫຼວງ 15 ແລະຄະນະຊີ້ນໍາການກໍ່ສ້າງ, ພັດທະນາຮາກຖານການເມືອງ 3 ຈຸດສຸມແຂວງໄຊສົມບູນ, ສປປ.ລາວ ໄດ້ຈັດກອງປະຊຸມສະຫຼຸບການເຄື່ອນໄຫວແຮກສ່ຽວລະຫວ່າງສອງຝ່າຍ.	Việt Nam, Bộ Tư lệnh Công dân 15 và Ban Chỉ đạo xây dựng và phát triển 3 cơ sở chính trị tỉnh Xaysomboun, CHDCND Lào, đã tổ chức cuộc họp tổng kết những hoạt động đầu tiên giữa hai bên.
ທ່ານພັນເອກພິເສດ ຮວ່າງວັນສີ໊, ຜູ້ບັນຊາການພົນລະພາກຫຼວງ 15 ແລະທ່ານພົນຕີ ວົງຄໍາ ພົມມະກອນ, ຫົວໜ້າກົມໃຫຍ່ພະລາທິການກອງທັບປະຊາຊົນລາວ, ຫົວໜ້າຄະນະຊີ້ນໍາການກໍ່ສ້າງ, ພັດທະນາຮາກຖານການເມືອງ 3 ຈຸດສຸມແຂວງໄຊສົມບູນ ເປັນປະທານຮ່ວມກອງປະຊຸມ.	Đại tá đặc biệt Hoàng Vansi, Tư lệnh Cục 15 dân sự Hoàng gia và Thiếu tướng Vongkham Phommakon, Tổng cục trưởng Quân đội nhân dân Lào, Trưởng Ban chỉ đạo xây dựng và phát triển 3 đầu mối chính trị tỉnh Xaysomboun, đồng chủ trì gặp gỡ.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ຫງວຽນແອັງເຊີນ.	Ảnh: Nguyễn Anh Sơn
ກອງປະຊຸມ ໄດ້ຕີລາຄາສູງຄວາມໝາຍ ແລະໝາກຜົນພາຍຫຼັງ 1 ປີແຫ່ງການປະຕິບັດບົດບັນທຶກວ່າດ້ວຍການແຮກສ່ຽວລະຫວ່າງພົນລະພາກຫຼວງ 15 ກັບຄະນະຊີ້ນໍາການກໍ່ສ້າງ, ພັດທະນາຮາກຖານການເມືອງ 3 ຈຸດສຸມແຂວງໄຊສົມບູນ.	Hội nghị biểu dương những thành tích, kết quả đạt được sau một năm thực hiện Bản ghi nhớ giữa 15 Công dân với Ban Chỉ đạo xây dựng và phát triển 3 cơ sở chính trị tỉnh Xaysomboun.
ສອງຝ່າຍໄດ້ແຈ້ງໃຫ້ກັນຊາບກ່ຽວກັບສະພາບການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ການປ້ອງກັນຊາດ - ປ້ອງກັນຄວາມສະຫງົບຢ່າງເປັນປະຈໍາ;	Hai bên thông báo cho nhau về tình hình phát triển kinh tế - xã hội, quốc phòng, an ninh thường xuyên;
ສ້າງເງື່ອນໄຂສະດວກ ແລະໜູນຊ່ວຍກັນປະຕິບັດບັນດາໂຄງການໃນບໍລິເວນແຂວງໄຊສົມບູນ...	Tạo điều kiện thuận lợi và hỗ trợ nhau triển khai các dự án trên địa bàn tỉnh Xaysomboun ...
ສອງຝ່າຍເຊັນບົດບັນທຶກ, ແຜນການເຄື່ອນໄຫວປີ 2020.	Hai bên đã ký biên bản ghi nhớ, kế hoạch hành động đến năm 2020.
ພາບ: ຫງວຽນແອັງເຊີນ.	Ảnh: Nguyễn Anh Sơn
ການເຄື່ອນໄຫວແຮກສ່ຽວໄດ້ປະກອບສ່ວນປະຕິບັດວຽກງານກໍ່ສ້າງ, ພັດທະນາຮາກຖານການເມືອງ 3 ຈຸດສຸມແຂວງໄຊສົມບູນ ເປັນຢ່າງດີ.	Chuyến thăm đầu tiên đã góp phần xây dựng và phát triển ba trọng điểm chính trị tại tỉnh Xaysomboun.
