ກປ.ອອນໄລ - ການຮ່ວມມືດ້ານປ້ອງກັນຊາດ ຫວຽດນາມ-ສະຫະພັນລັດເຊຍ ກໍາລັງພັດທະນາຢ່າງຂະຫຍັນຂັນເຄື່ອນທີ່ສຸດ.	KPR Online - Hợp tác quốc phòng Việt-Nga đang phát triển nhanh chóng.
ພິເສດ, ໃນຂອບເຂດປີຫວຽດນາມ ຢູ່ລັດເຊຍ ແລະປີລັດເຊຍ ຢູ່ຫວຽດນາມ 2019-2020 ມີກວ່າ 100 ກິດຈະກຳເຄື່ອນໄຫວ, ນັ້ນແມ່ນປະລິມານການເຄື່ອນໄຫວທີ່ບໍ່ເຄີຍມີມາກ່ອນໃນການພົວພັນດ້ານປ້ອງກັນຊາດລະຫວ່າງສອງປະເທດ.	Đặc biệt, trong Năm Việt Nam tại Nga và Năm Nga tại Việt Nam 2019-2020, đã có hơn 100 hoạt động, là số lượng hoạt động chưa từng có trong quan hệ quốc phòng giữa hai nước.
ທ່ານພັນເອກ Roman Boitsov, ທີ່ປຶກສາທູດປ້ອງກັນຊາດລັດເຊຍ ປະຈໍາ ຫວຽດນາມ ໄດ້ເນັ້ນໜັກຄືແນວນັ້ນໃນການຕອບສໍາພາດຕໍ່ນັກຂ່າວໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ.	Đại tá Roman Boitsov, cố vấn quốc phòng Nga tại Việt Nam, đưa ra nhận định trong cuộc phỏng vấn với QĐND Việt Nam.
ນັກຂ່າວ: ທ່ານຕີລາຄາຄືແນວໃດກ່ຽວກັບການພັດທະນາທີ່ຂະຫຍັນຂັນເຄື່ອນໃນການພົວພັນດ້ານປ້ອງກັນຊາດລັດເຊຍ-ຫວຽດນາມ, ໂດຍສະເພາະໃນປີຫວຽດນາມ ຢູ່ລັດເຊຍ ແລະປີລັດເຊຍ ຢູ່ຫວຽດນາມ 2019-2020?	Nhà báo: Ông đánh giá thế nào về sự phát triển năng động của quan hệ quốc phòng Nga-Việt, đặc biệt là Việt Nam tại Nga và Nga Việt Nam 2019-2020?
ທ່ານພັນເອກ Roman Boitsov: ຂ້າພະເຈົ້າຕີລາຄາສູງຕໍ່ການພັດທະນາໃນການພົວພັນດ້ານປ້ອງກັນຊາດລະຫວ່າງລັດເຊຍ-ຫວຽດນາມ ໃນໄລຍະມໍ່ໆມານີ້.	Đại tá Roman Boitsov: Tôi đánh giá cao sự phát triển gần đây của quan hệ quốc phòng giữa Nga và Việt Nam.
ໃນສອງປີ 2019 ແລະ 2020, ສອງປະເທດດໍາເນີນການສະເຫຼີມສະຫຼອງ 25 ປີແຫ່ງວັນເຊັນສົນທິສັນຍາກ່ຽວກັບບັນດາຫຼັກການໂດຍພື້ນຖານຂອງການພົວພັນມິດຕະພາບລະຫວ່າງ ຫວຽດນາມ-ລັດເຊຍ (16-6-1994 / 16-6-2019), 70 ປີແຫ່ງວັນສ້າງຕັ້ງການພົວພັນທາງການທູດ (30-1-1950 / 30-1-2020), ສະເຫຼີມສະຫຼອງ 75 ປີແຫ່ງວັນສ້າງຕັ້ງກອງທັບປະຊາຊົນຫວຽດນາມ (22-12-1944 / 22-12-2019) ແລະໄຊຊະນະໃນສົງຄາມປົກປັກຮັກສາປະເທດຊາດທີ່ຍິ່ງໃຫຍ່ (9-5-1945 / 9-5-2020).	Trong hai năm 2019 và 2020, hai nước sẽ kỷ niệm 25 năm ký Hiệp ước về những nguyên tắc cơ bản của quan hệ hữu nghị Việt-Nga (16-6-1994 / 16-6-2019), kỷ niệm 70 năm Ngày thành lập ngành ngoại giao. quan hệ (30-1-1950 / 30-1-2020), kỷ niệm 75 năm Ngày thành lập Quân đội nhân dân Việt Nam 22-12-2019) và chiến thắng trong cuộc Chiến tranh vệ quốc vĩ đại (9-5-1945 / 9-5- Năm 2020).
ພ້ອມກັນນັ້ນ, ບັນດາອົງການທະຫານກໍ່ຖືປີນີ້ແມ່ນປີ “ບຸກທະລຸ ຍ້ອນວ່າຂໍ້ຕົກລົງທີ່ບັນລຸຢູ່ຂັ້ນສູງສຸດສ່ວນຫຼາຍໄດ້ປະຕິບັດຢ່າງມີປະສິດທິຜົນ.	Đồng thời, quân đội coi năm nay là năm "đột phá" vì hầu hết các thỏa thuận đạt được ở các cấp cao nhất đều được thực hiện hiệu quả.
ແຜນການຮ່ວມມືດ້ານການທະຫານສອງຝ່າຍໃນປີ 2019 ລວມມີກວ່າ 50 ກິດຈະກຳເຄື່ອນໄຫວ ແລະໃນປີ 2020 ຄາດຄະເນມີກວ່າ 60 ກິດຈະກຳເຄື່ອນໄຫວ.	Các kế hoạch hợp tác quân sự song phương trong năm 2019 bao gồm hơn 50 hoạt động, và đến năm 2020 dự kiến sẽ có hơn 60 hoạt động.
ສໍາລັບປີ 2020, ບັນດາແຜນການຍັງມີລັກສະນະເຕັມໄປດ້ວຍຄວາມຫວັງ ຍ້ອນວ່າປີນີ້ຫວຽດນາມ ເປັນປະທານອາຊຽນ ແລະເປັນປະທານຈັດຕັ້ງກອງປະຊຸມລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນເປີດກວ້າງ (ADMM+).	Đối với năm 2020, các kế hoạch vẫn còn đầy hy vọng, vì năm nay Việt Nam sẽ chủ trì ASEAN và chủ trì Hội nghị Bộ trưởng Quốc phòng ASEAN mở rộng (ADMM +).
ພວກຂ້າພະເຈົ້າຕັ້ງຄວາມຫວັງຕໍ່ການພົບປະລະຫວ່າງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ແລະລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດລັດເຊຍຢູ່ມົດສະກູ ແລະຢູ່ຮ່າໂນ້ຍ.	Chúng tôi mong đợi các cuộc gặp giữa các Bộ trưởng Quốc phòng Việt Nam và Nga tại Matxcova và Hà Nội.
ໃນປີ 2019, ສອງຝ່າຍບັນລຸໄດ້ບັນດາຜົນງານໃໝ່ໃນຂົງເຂດບໍາລຸງສ້າງພະນັກງານ.	Năm 2019, hai bên đã đạt được những thành tựu nổi bật trong lĩnh vực đào tạo nhân sự.
