ກປ.ອອນໄລ - ໃນຂອບເຂດການຢ້ຽມຢາມສະຫະພັນລັດເຊຍ ຢ່າງເປັນທາງການ, ຕອນບ່າຍວັນທີ 22 ພຶດສະພາ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ມີການພົບປະເຈລະຈາກັບທ່ານ Dmitry A.	Thủ tướng Nguyễn Xuân Phúc tiếp người đồng cấp Nga Dmitry A.
Medvedev ນາຍົກລັດຖະມົນຕີສະຫະພັນລັດເຊຍ.	Thủ tướng Liên bang Nga Medvedev.
ທີ່ການພົບປະເຈລະຈາ, ນາຍົກລັດຖະມົນຕີສອງທ່ານໄດ້ແລກປ່ຽນບັນດາທິດທາງ ແລະມາດຕະການແນໃສ່ເພີ່ມທະວີການພົວພັນຮ່ວມມືທີ່ຍັງມີຄວາມສາມາດບົ່ມຊ້ອນຫຼາຍຢູ່ລະຫວ່າງສອງປະເທດ ໃນບັນດາຂົງເຂດໃຫ້ຫຼາຍກວ່າອີກ, ຢັ້ງຢືນວ່າພະລັງງານແມ່ນໜຶ່ງໃນບັນດາເສົາຄໍ້າສໍາຄັນຂອງການຮ່ວມມື ຫວຽດນາມ-ລັດເຊຍ.	Tại cuộc gặp, hai Thủ tướng đã trao đổi về các phương thức, biện pháp nhằm nâng cao hơn nữa tiềm năng hợp tác giữa hai nước trên các lĩnh vực, khẳng định năng lượng là một trong những trụ cột của hợp tác Việt - Nga.
ສອງຝ່າຍເຫັນດີເປັນເອກະພາບຊຸກຍູ້ວິສາຫະກິດນໍ້າມັນອາຍແກັສສອງປະເທດຮ່ວມມືສໍາຫຼວດ ແລະຂຸດຄົ້ນນໍ້າມັນອາຍແກັສຢູ່ເຂດໄຫຼ່ທະວີບຫວຽດນາມ ແລະຢູ່ລັດເຊຍ.	Hai bên nhất trí khuyến khích các doanh nghiệp dầu khí hai nước cùng thăm dò, khai thác dầu khí ngoài khơi Việt Nam và tại Nga.
ການນໍາສອງທ່ານກໍ່ເຫັນດີເປັນເອກະພາບຊຸກຍູ້ການຜັນຂະຫຍາຍການກໍ່ສ້າງສູນຄົ້ນຄວ້າວິທະຍາສາດ ແລະເຕັກໂນໂລຢີນິວເຄຼຍຢູ່ຫວຽດນາມ.	Hai nhà lãnh đạo nhất trí ủng hộ việc thành lập trung tâm nghiên cứu khoa học và công nghệ hạt nhân tại Việt Nam.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະທ່ານ Dmitry A.	Thủ tướng Nguyễn Xuân Phúc và Thủ tướng Dmitry A.
Medvedev ນາຍົກລັດຖະມົນຕີສະຫະພັນລັດເຊຍ.	Thủ tướng Liên bang Nga Medvedev.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ນາຍົກລັດຖະມົນຕີສອງທ່ານຕີລາຄາສູງການຮ່ວມມືໃນຂົງເຂດປ້ອງກັນຊາດ-ປ້ອງກັນຄວາມສະຫງົບ ບັນລຸໄດ້ໝາກຜົນສໍາຄັນຫຼາຍຢ່າງ;	Hai Thủ tướng biểu dương quan hệ hợp tác trong lĩnh vực quốc phòng - an ninh đạt nhiều kết quả quan trọng;
ເຫັນດີເປັນເອກະສັນສືບຕໍ່ເປີດກວ້າງການຮ່ວມມືໃນຂົງເຂດຕ່າງໆທີ່ມີຄວາມສາມາດບົ່ມຊ້ອນຫຼາຍຢ່າງ ຄື: ວິທະຍາສາດ-ເຕັກໂນໂລຢີ, ການສຶກສາ-ກໍ່ສ້າງ, ວັດທະນະທໍາ, ກິລາ, ການທ່ອງທ່ຽວ.	Nhất trí tiếp tục mở rộng hợp tác trên các lĩnh vực có nhiều tiềm năng: khoa học và công nghệ, giáo dục, xây dựng, văn hóa, thể thao, du lịch.
ການນໍາສອງທ່ານໄດ້ແລກປ່ຽນບັນດາບັນຫາສາກົນ ແລະພາກພື້ນທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ, ໃນນັ້ນມີການຮັກສາສັນຕິພາບ, ສະຖຽນລະພາບ, ຮັບປະກັນຄວາມສະຫງົບປອດໄພ, ຄວາມເສລີໃນການເດີນທະເລ ແລະການບິນຢູ່ອາຊີ-ປາຊີຟິກ, ໃນນັ້ນມີທະເລຕາເວັນອອກ.	Hai nhà lãnh đạo đã trao đổi về các vấn đề quốc tế và khu vực cùng quan tâm, bao gồm duy trì hòa bình, ổn định, bảo đảm an ninh, tự do hàng hải và hàng không ở châu Á - Thái Bình Dương, trong đó có Biển Đông.
