ກປ.ອອນໄລ - ວັນທີ 19 ພະຈິກ, ທີ່ກອງປະຊຸມຂ່າວນັດສາມັນຂອງກະຊວງການຕ່າງປະເທດ, ຕອບຄໍາຖາມຂອງນັກຂ່າວທີ່ກ່ຽວຂ້ອງເຖິງການພົວພັນຫວຽດນາມ-ກໍາປູເຈຍ, ທ່ານນາງ ເລທິທູຮັ່ງ ໂຄສົກກະຊວງການຕ່າງປະເທດຫວຽດນາມ ໃຫ້ຮູ້ວ່າ, ຫວຽດນາມ ຍາມໃດກໍ່ຖືເປັນສໍາຄັນ ແລະສະຫງວນບຸລິມະສິດສູງໃຫ້ແກ່ການພົວພັນຖານບ້ານໃກ້ເຮືອນຄຽງອັນດີງາມ, ມິດຕະພາບທີ່ເປັນມູນເຊື້ອ, ການຮ່ວມມືຮອບດ້ານ, ຍືນຍົງຍາວນານກັບກໍາປູເຈຍ;	Phát biểu của Người phát ngôn Bộ Ngoại giao Nguyễn Tấn Dũng về quan hệ Việt Nam-Campuchia
ປາດຖະໜາຢາກນໍາການພົວພັນສອງປະເທດໃຫ້ນັບມື້ນັບແທດຈິງ, ມີປະສິດທິຜົນເພື່ອຜົນປະໂຫຍດຂອງປະຊາຊົນສອງປະເທດ.	Đồng chí mong muốn quan hệ hai nước ngày càng đi vào thực chất, hiệu quả vì lợi ích của nhân dân hai nước.
ການພົວພັນສອງປະເທດພັດທະນາຢ່າງຕັ້ງໜ້າໃນໄລຍະຜ່ານມາ.	Quan hệ giữa hai nước trong thời gian qua đã phát triển ổn định.
ກ່ອນທີ່ເກີດພະຍາດໂຄວິດ-19, ສອງຝ່າຍໄດ້ແລກປ່ຽນຄະນະຜູ້ແທນຂັ້ນສູງຫຼາຍຄະນະ, ສົມທົບກັນສະເຫຼີມສະຫຼອງ 43 ປີ “ເສັ້ນທາງມຸ່ງໄປເຖິງການໂຄ່ນລົ້ມລະບອບດັບສູນເຊື້ອຊາດ Pol Pot ...	Trước sự kiện Kovich-19 bùng nổ, hai bên đã trao đổi đoàn cấp cao nhân kỷ niệm 43 năm "Đường tới lật đổ chế độ Pol Pot ..."
ການນໍາສອງປະເທດກໍ່ສົນທະນາທາງໂທລະສັບເປັນປະຈຳເພື່ອແລກປ່ຽນບັນດາມາດຕະການປ້ອງກັນ, ຕ້ານພະຍາດໂຄວິດ-19, ຮັກສາການແລກປ່ຽນການຄ້າຢູ່ເຂດຊາຍແດນ.	Hai nhà lãnh đạo cũng thường xuyên có các cuộc điện đàm để thảo luận về các biện pháp ngăn chặn, kiểm soát Kovi-19 và duy trì thương mại ở biên giới.
ບັນດາຜົນງານສໍາຄັນໃນການຮ່ວມມືສອງຝ່າຍໄດ້ສະແດງອອກຢ່າງລະອຽດໃນຫຼາຍຂົງເຂດ.	Những thành tựu đáng kể trong hợp tác song phương đã được ghi nhận trên nhiều lĩnh vực.
ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ການລົງທຶນສືບຕໍ່ໄດ້ຮັບການຮັກສາ.	Hợp tác kinh tế, thương mại và đầu tư tiếp tục được duy trì.
ທ່ານນາງ ເລທິທູຮັ່ງ ໂຄສົກກະຊວງການຕ່າງປະເທດຫວຽດນາມ.	Người phát ngôn Bộ Ngoại giao Lê Thị Thu Hằng
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ປີ 2018 ແລະ 2019, ສອງຝ່າຍໄດ້ລົງນາມໃນເອກະສານຮ່ວມມື 21 ສະບັບ, ໃນນັ້ນມີສົນທິສັນຍາເພີ່ມເຕີມສົນທິສັນຍາວາງແຜນກໍານົດຊາຍແດນແຫ່ງຊາດປີ 1985 ແລະສົນທິສັນຍາເພີ່ມເຕີມປີ 2005;	Trong hai năm 2018 và 2019, hai bên đã ký kết 21 văn kiện hợp tác, trong đó có các hiệp ước bổ sung, Công ước phân định biên giới quốc gia năm 1985 và Hiệp ước bổ sung năm 2005;
ອະນຸສັນຍາຂີດເສັ້ນຊາຍແດນ, ປັກຫລັກໝາຍຊາຍແດນທາງບົກ, ຮັບຮູ້ຜົນງານວຽກງານຂີດເສັ້ນຊາຍແດນ, ປັກຫລັກໝາຍຊາຍແດນທາງບົກມາຮອດປະຈຸບັນໄດ້ສໍາເລັດ 84% ແລ້ວ ແລະດໍາເນີນການມອບ-ຮັບແຜນທີ່ພູມີປະເທດຊາຍແດນທາງບົກຫວຽດນາມ-ກໍາປູເຈຍ ໃນເດືອນສິງຫາ 2020 ຜ່ານມາ.	Nghị định thư phân giới, cắm mốc biên giới đất liền, công nhận công tác phân giới, cắm mốc biên giới trên đất liền đến nay đã hoàn thành 84% và giao, nhận bản đồ biên giới trên đất liền Việt Nam - Campuchia vào tháng 8/2020.
ຕໍ່ໜ້າການຜັນແປຢ່າງສັບສົນຂອງພະຍາດໂຄວິດ-19, ລັດຖະບານ, ບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນຂອງຫວຽດນາມ ໄດ້ໜູນຊ່ວຍບັນດາອຸປະກອນການແພດ ເພື່ອແນໃສ່ແບ່ງປັນຄວາມຫຍຸ້ງຍາກກັບກໍາປູເຈຍ, ພ້ອມທັງສືບຕໍ່ຊຸກຍູ້ການຮ່ວມມືໃນບັນດາຂົງເຂດ, ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນໃນກົນໄກຫຼາຍຝ່າຍຢູ່ບັນດາເວທີປາໄສພາກພື້ນ ແລະສາກົນໃນການແກ້ໄຂບັນດາບັນຫາລວມຂອງພາກພື້ນ.	Trước diễn biến phức tạp của Quito-19, Chính phủ Việt Nam, các bộ, ban, ngành, địa phương đã hỗ trợ trang thiết bị y tế nhằm chia sẻ khó khăn với Campuchia, cũng như tiếp tục thúc đẩy hợp tác khu vực, liên kết vùng và các cơ chế đa phương, khu vực đa phương.
ໂດຍ: ທະນາພອນ.	Theo: Thanaphone.
