ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 21 ຕຸລາ, ຢູ່ຮ່າໂນ້ຍ ໄດ້ດໍາເນີນກອງປະຊຸມສະຫຼຸບເວທີປາໄສເສດຖະກິດໂລກກ່ຽວກັບອາຊຽນ 2018 (WEF ASEAN 2018).	Chiều 21/10, Diễn đàn Kinh tế Thế giới về ASEAN 2018 (WEF ASEAN 2018) được tổ chức tại Hà Nội.
ເຂົ້າຮ່ວມກອງປະຊຸມມີທ່ານ ຫງວຽນຊວນຟຸກ, ນາຍົກລັດຖະມົນຕີ, ທ່ານ ຟ້າມບິ່ງມິງ, ຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ພ້ອມກັບການນຳບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນ, ບັນດາສະມາຊິກໃນຄະນະຈັດຕັ້ງ WEF ASEAN 2018...	Hội nghị có sự tham dự của ông Nguyễn Xuân Phúc, Thủ tướng Chính phủ, ông Phạm Bình Minh, Phó Thủ tướng Chính phủ, Bộ trưởng Bộ Ngoại giao, cùng lãnh đạo các bộ, ban, ngành, địa phương và các thành viên Ban tổ chức WEF ASEAN 2018. ..
ທ່ານ ບຸ່ຍແທງເຊີນ, ຮອງລັດຖະມົນຕີຜູ້ປະຈໍາການກະຊວງການຕ່າງປະເທດ, ຫົວໜ້າຄະນະຈັດຕັ້ງ WEF ASEAN 2018 ໃຫ້ຮູ້ວ່າ, ກອງປະຊຸມ WEF ASEAN 2018 ແມ່ນກອງປະຊຸມປະສົບຜົນສໍາເລັດທີ່ສຸດໃນ 27 ປີທີ່ WEF ຈັດຕັ້ງກອງປະຊຸມຢູ່ພາກພື້ນ.	Thứ trưởng Bộ Ngoại giao Bùi Thanh Sơn, Trưởng Ban Tổ chức WEF ASEAN 2018 cho biết, WEF ASEAN 2018 là hội nghị thành công nhất trong 27 năm WEF đăng cai tổ chức hội nghị khu vực.
ທ່ານ ບຸ່ຍແທງເຊີນ ເນັ້ນໜັກວ່າ, WEF ASEAN 2018 ໄດ້ສ້າງຂີດໝາຍຂອງຫວຽດນາມ ກ່ຽວກັບທັງເນື້ອໃນ, ການຈັດຕັ້ງ ແລະການບໍລິຫານກອງປະຊຸມ, ປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການຢັ້ງຢືນ ແລະຍົກສູງທີ່ຕັ້ງ ແລະອິດທິພົນຊື່ສຽງຂອງຫວຽດນາມ ໃນອາຊຽນ, ພາກພື້ນ ແລະໃນໂລກກວ່າອີກ.	Ông Bùi Thanh Sơn nhấn mạnh, WEF ASEAN 2018 đã thiết lập chương trình nghị sự của Việt Nam về nội dung, tổ chức và điều hành hội nghị, góp phần quan trọng vào việc khẳng định và nâng cao vị thế, ảnh hưởng của Việt Nam trong ASEAN, khu vực và trên thế giới.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu chỉ đạo buổi gặp mặt.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່າວຄໍາເຫັນສະຫຼຸບກອງປະຊຸມ, ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າ, WEF ASEAN 2018 ໄດ້ປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມໃນທຸກດ້ານນັບທັງຫົວຂໍ້, ເນື້ອໃນ, ການໂຄສະນາ-ວັດທະນະທໍາ ແລະການຕ້ອນຮັບແຂກ, ພະລາທິການ, ຄວາມໝັ້ນຄົງ ແລະສາທາລະນະສຸກ...	Kết luận cuộc họp, ông Nguyễn Xuân Phúc khẳng định WEF ASEAN 2018 đã thành công tốt đẹp trên tất cả các phương diện, bao gồm chủ đề, nội dung, tuyên truyền văn hóa, hiếu khách, chính quyền, an ninh, y tế ...
ນໍາຫວຽດນາມກາຍເປັນຈຸດສຸມເອົາໃຈໃສ່ຂອງພາກພື້ນ ແລະໂລກ;	Đưa Việt Nam trở thành tâm điểm của khu vực và toàn cầu;
ຢ້ັງຢືນກໍາລັງຄວາມສາມາດເປັນເຈົ້າການປະກອບສ່ວນກໍ່ສ້າງ, ສ້າງບັນດາລະບອບລະບຽບການຫຼາຍຝ່າຍໃຫ້ເປັນຮູບປະທຳ ກໍ່ຄື ຄຸນນະທາດ ແລະພູມປັນຍາຂອງຫວຽດນາມ ໃນການສະເໜີແນວຄວາມຄິດ, ຂໍ້ລິເລີ່ມໃນການຈັດຕັ້ງ, ບໍລິຫານກອງປະຊຸມ, ປະກອບສ່ວນຍົກສູງທີ່ຕັ້ງ ແລະອິດທິພົນຊື່ສຽງຂອງຫວຽດນາມກວ່າອີກ;	Khẳng định khả năng đóng góp xây dựng, xây dựng thể chế đa phương về hình thức, cũng như phẩm chất, trí tuệ của Việt Nam trong việc trình bày ý tưởng, sáng kiến trong tổ chức, điều hành hội nghị, góp phần nâng cao vị thế và ảnh hưởng của Việt Nam;
ປະກອບສ່ວນເຂົ້າໃນການປະຕິບັດແຜນນະໂຍບາຍຂອງພັກກ່ຽວກັບການຍົກລະດັບ ແລະຍົກສູງປະສິດທິຜົນ, ຄຸນນະພາບວຽກງານພົວພັນຕ່າງປະເທດຫຼາຍຝ່າຍ.	Góp phần thực hiện chủ trương của Đảng về nâng cấp và nâng cao hiệu quả, chất lượng hoạt động đối ngoại đa phương.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີ ມອບໃບຍ້ອງຍໍໃຫ້ແກ່ບັນດາໝູ່ຄະນະທີ່ມີຜົນງານດີເດັ່ນ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc tặng bằng khen cho các đoàn tiêu biểu.
