ກປ.ອອນໄລ - ແຕ່ວັນທີ 5-6 ກຸມພາ, ບັນດາລັດຖະມົນຕີການຕ່າງປະເທດບັນດາປະເທດ ອາຊຽນ ໄດ້ຈັດຕັ້ງກອງປະຊຸມວົງແຄບຢູ່ ສິງກະໂປ.	KPR Online - Từ ngày 5-6 / 2, các Bộ trưởng Ngoại giao ASEAN đã họp kín tại Singapore.
ນີ້ແມ່ນກອງປະຊຸມຂັ້ນລັດຖະມົນຕີການຕ່າງປະເທດທໍາອິດຂອງອາຊຽນ ໂດຍ ສິງກະໂປ ເປັນເຈົ້າພາບໃນປີ 2018, ເປັນປີທີ 3 ໃນການຜັນຂະຫຍາຍປະຊາຄົມອາຊຽນ.	Đây là Hội nghị Bộ trưởng Ngoại giao ASEAN đầu tiên do Singapore đăng cai tổ chức trong năm 2018, năm thứ ba liên tiếp Cộng đồng ASEAN được tổ chức.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີກະຊວງການຕ່າງປະເທດ ຟ້າມບິ່ງມິງ ໄດ້ນໍາໜ້າຄະນະຜູ້ແທນຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມ.	Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao Phạm Bình Minh dẫn đầu đoàn Việt Nam.
ບັນດາລັດຖະມົນຕີໄດ້ສະແດງຄວາມເຫັນດີເປັນເອກະພາບສູງກັບຫົວຂໍ້ ອາຊຽນ ປີ 2018 ແມ່ນສ້າງ “ອາຊຽນ ສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງ ແລະມີຫົວຄິດປະດິດສ້າງ , ເນັ້ນໜັກວ່າ ຄວນຍົກສູງລັກສະນະສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງໃນທຸກດ້ານຂອງພາກພື້ນ, ລວມທັງຢູ່ໃນບັນດາເນື້ອໃນການເມືອງ-ຄວາມໝັ້ນຄົງ ແລະການຮ່ວມມືດ້ານເສດຖະກິດ-ການຄ້າເພື່ອແນໃສ່ຍົກສູງນ້ຳໃຈສາມັກຄີ ແລະບົດບາດໃຈກາງຂອງອາຊຽນ.	Các Bộ trưởng nhất trí về chủ đề của ASEAN 2018: “Xây dựng một ASEAN tự chủ và đổi mới”, nhấn mạnh sự cần thiết phải nâng cao tự lực về mọi mặt của khu vực, bao gồm cả các lĩnh vực chính trị, an ninh và hợp tác kinh tế.
ບັນດາຜູ້ແທນເຂົ້າຮ່ວມກອງປະຊຸມວົງແຄບບັນດາລັດຖະມົນຕີການຕ່າງປະເທດ ອາຊຽນ ຖ່າຍຮູບເປັນທີ່ລະນຶກ.	Các đại biểu tham dự Hội nghị Bộ trưởng Ngoại giao ASEAN phiên họp chụp ảnh lưu niệm.
ພາບ: vov.vn.	Ảnh: vov.vn.
ທີ່ກອງປະຊຸມ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດ ຟ້າມບິ່ງມິງ ກ່າວຄໍາເຫັນຊົມເຊີຍ ສິງກະໂປ ໃນຖານະເປັນເຈົ້າພາບ ອາຊຽນ ປີ 2018, ສະແດງຄວາມເຫັນດີເປັນເອກະພາບສູງຕໍ່ຫົວຂໍ້ ແລະຈຸດສຸມຮ່ວມມືອາຊຽນ ໂດຍ ສິງກະໂປ ສະເໜີ, ໃຫ້ຄໍາໝັ້ນສັນຍາວ່າຈະສົມທົບກັນຢ່າງແໜ້ນແຟ້ນເພື່ອຮັບປະກັນຜົນສໍາເລັດຂອງອາຊຽນ ໃນປີ 2018.	Tại buổi tiếp, Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao Phạm Bình Minh biểu dương Singapore là nước chủ nhà của ASEAN năm 2018, bày tỏ nhất trí về chủ đề và trọng tâm hợp tác ASEAN của Singapore, đồng thời cam kết cùng ASEAN đạt được mục tiêu ASEAN 2018 Hội nghị thượng đỉnh.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດ ຟ້າມບິ່ງມິງ ຊີ້ແຈ້ງວ່າການສ້າງຄວາມເຂັ້ມແຂງດ້ວຍຕົນເອງຢູ່ພາກພື້ນຕ້ອງໄດ້ຮັບການເສີມຂະຫຍາຍໃນທຸກແງ່ມູມ, ທັງທາງດ້ານການເມືອງ-ເສດຖະກິດ, ຈາກນັ້ນສ້າງກໍາລັງໜູນໃໝ່ໃຫ້ແກ່ອາຊຽນ.	Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao Phạm Bình Minh nhấn mạnh, phải tăng cường tự cường ở khu vực về mọi mặt, cả về chính trị và kinh tế, sau đó mới tạo lực cho ASEAN.
ຄຽງຂ້າງນັ້ນ, ທ່ານຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດ ຟ້າມບິ່ງມິງ ເນັ້ນໜັກວ່າ, ອາຊຽນ ຄວນເຊີດຊູບັນດາຄຸນຄ່າ ແລະຫຼັກການພື້ນຖານ, ປັບປຸງຄວາມສາມັກຄີ ແລະຄວາມເປັນເອກະພາບຂອງປະຊາຄົມ, ຢືນຢັນທັດສະນະເຫັນດີເປັນເອກະພາບຂອງອາຊຽນໃນບັນດາບັນຫາທີ່ມີຄວາມສົນໃຈ ແລະຜົນປະໂຫຍດລວມຂອງພາກພື້ນ.	Đồng thời, Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao Phạm Bình Minh nhấn mạnh ASEAN cần đề cao các giá trị và nguyên tắc cơ bản, nâng cao tính thống nhất và đoàn kết của cộng đồng, khẳng định quan điểm nhất trí của ASEAN đối với các vấn đề khu vực và lợi ích chung. .
ບັນຍາກາດທີ່ກອງປະຊຸມວົງແຄບບັນດາລັດຖະມົນຕີການຕ່າງປະເທດ ອາຊຽນ.	Bầu không khí tại Hội nghị Bộ trưởng Ngoại giao ASEAN
ພາບ: vov.vn.	Ảnh: vov.vn.
ທ່ານຮອງນາຍົກລັດຖະມົນຕີ, ລັດຖະມົນຕີການຕ່າງປະເທດ ຟ້າມບິ່ງມິງ ສະເໜີບັນດາປະເທດຢຶດໝັ້ນກັບບັນດາທັດສະນະຂອງອາຊຽນ ກ່ຽວກັບບັນດາບັນຫາພາກພື້ນ ແລະສາກົນທີ່ຕ່າງຝ່າຍຕ່າງມີຄວາມສົນໃຈ, ໃນນັ້ນມີບັນດາເນື້ອໃນກ່ຽວກັບທະເລຕາເວັນອອກ.	Phó Thủ tướng, Bộ trưởng Bộ Ngoại giao Phạm Bình Minh Kiện bám sát quan điểm của các nước ASEAN về các vấn đề khu vực và quốc tế cùng quan tâm, trong đó có Biển Đông.
ຕາມນັ້ນແລ້ວ, ບັນດາປະເທດຄວນຮັບຮູ້ຢ່າງຄົບຖ້ວນກ່ຽວກັບສັນຕິພາບ, ສະຖຽນລະພາບ, ຄວາມໝັ້ນຄົງ, ຄວາມປອດໄພໃນການເດີນທະເລ ແລະການບິນຢູ່ທະເລຕາເວັນອອກ, ຮັກສາບັນດາຄໍາໝັ້ນສັນຍາກ່ຽວກັບການແກ້ໄຂບັນດາການຂັດແຍ້ງກັນໂດຍສັນຕິວິທີ, ເຄົາລົບກົດໝາຍສາກົນ, ໃນນັ້ນມີ UNCLOS 1982.	Theo đó, các nước cần công nhận đầy đủ hòa bình, ổn định, an ninh, an ninh hàng hải và hàng không ở Biển Đông và tuân thủ các cam kết giải quyết tranh chấp một cách hòa bình, phù hợp với luật pháp quốc tế, trong đó có UNCLOS 1982.
ໃນວິວັດທະນາການສ້າງ COC, ບັນດາປະເທດຄວນປະຕິບັດຖະແຫຼງການກ່ຽວກັບການປະພຶດຂອງບັນດາຝ່າຍຢູ່ທະເລຕາເວັນອອກ (DOC) ຢ່າງຄົບຖ້ວນ ແລະຍູ້ແຮງການປະຕິບັດບັນດາມາດຕະການສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ.	Trong quá trình thành lập COC, các nước cần thực hiện đầy đủ Tuyên bố về ứng xử của các bên ở Biển Đông (DOC) và đẩy nhanh việc thực hiện các biện pháp xây dựng lòng tin.
