ນີ້ແມ່ນການເຄື່ອນໄຫວດ້ານການທະຫານ, ການປ້ອງກັນຊາດຢູ່ຫ່າງໄກປະເທດຊາດ, ຢູ່ບັນດາບໍລິເວນທຸລະກັນດານ, ຫຍຸ້ງຍາກ, ລຳບາກກາກກຳ, ຊ້ຳບໍ່ໜຳມີຄວາມອັນຕະລາຍອີກດ້ວຍ.	Đây là một cuộc hành quân, phòng thủ ở xa Tổ quốc, ở nơi hoang vu, khó khăn, gian khổ, hiểm nguy.
ເລື່ອງກຳລັງຮັກສາສັນຕິພາບ ສປຊ ຂອງພວກເຮົາໄດ້ຜັນຂະຫຍາຍຢູ່ທັງສອງຮູບການບຸກຄົນ ແລະກົມກອງສະແດງໃຫ້ເຫັນວ່າຫວຽດນາມ ເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ ສປຊ ນັບມື້ນັບຕັ້ງໜ້າ, ເປັນເຈົ້າການ ແລະໃນລະດັບສູງ.	Câu chuyện về lực lượng gìn giữ hòa bình Liên hợp quốc của chúng ta đã phát triển ở cả bối cảnh cá nhân và bộ phận, cho thấy Việt Nam đã từng ngày tham gia vào các hoạt động gìn giữ hòa bình của Liên hợp quốc, với tư cách là người đi đầu và ở cấp cao.
ນັກຂ່າວ: ບົນພື້ນຖານບັນດາໝາກຜົນທີ່ບັນລຸໄດ້, ຂໍທ່ານຮອງລັດຖະມົນຕີ ໃຫ້ຮູ້ໃນໄລຍະຈະມາເຖິງ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດມີແຜນການ ແລະມາດຕະການໃດແດ່ເພື່ອຊຸກຍູ້ການເຂົ້າຮ່ວມ ແລະປະກອບສ່ວນຂອງຫວຽດນາມ ໃຫ້ແກ່ການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ ສປຊ?	PV: Trên cơ sở những kết quả đạt được, thưa Thứ trưởng, Quân ủy Trung ương, Bộ Quốc phòng có kế hoạch, biện pháp gì để khuyến khích sự tham gia, đóng góp của Việt Nam vào hoạt động gìn giữ hòa bình của Liên hợp quốc?
ທ່ານພົນໂທ ຮວ່າງຊວນຈ໊ຽນ: ເລື່ອງກອງທັບສືບຕໍ່ຍູ້ແຮງການເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ ສປຊ ແມ່ນການກະທຳທີ່ແທດຈິງ, ປະກອບສ່ວນຊາບຊຶມ ແລະປະຕິບັດຕາມມະຕິກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດ ຄັ້ງທີ XIII ຂອງພັກ, ໃນນັ້ນກໍານົດການຊຸກຍູ້ການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຢ່າງຮອບດ້ານ, ເລິກເຊິ່ງກວ້າງຂວາງ, ມີໄຫວພິບ ເພື່ອຜົນປະໂຫຍດແຫ່ງຊາດ-ຊົນຊາດ, ຮັບປະກັນເອກະລາດ, ເປັນເຈົ້າຕົນເອງ.	Trung tướng Hoàng Xuân Chiến: Việc quân đội tiếp tục tham gia gìn giữ hòa bình Liên hợp quốc là hành động thiết thực, góp phần triển khai, thực hiện nghị quyết Đại hội đại biểu toàn quốc lần thứ 13 của Đảng.
ໃນໄລຍະຈະມາເຖິງ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດຈະສຸມໃສ່ຊີ້ນຳນຳພາເພື່ອສືບຕໍ່ປັບປຸງຂອບກົດໝາຍໃຫ້ແກ່ການເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ ສປຊ;	Sắp tới, Quân ủy Trung ương, Bộ Quốc phòng tập trung lãnh đạo hoàn thiện hơn nữa khuôn khổ tham gia gìn giữ hòa bình của Liên hợp quốc;
ສືບຕໍ່ກໍ່ສ້າງກຳລັງຮັກສາສັນຕິພາບ ສປຊ ຂອງຫວຽດນາມ ໃຫ້ນັບມື້ນັບເຕີບໃຫຍ່ເຂ້ັມແຂງ, ຕອບສະໜອງຄວາມຮຽກຮ້ອງຂອງໜ້າທີ່ເຊື່ອມໂຍງເຂົ້າກັບສາກົນ, ການພົວພັນຕ່າງປະເທດດ້ານປ້ອງກັນຊາດ;	Tiếp tục xây dựng lực lượng gìn giữ hòa bình Liên hợp quốc của Việt Nam ngày càng lớn mạnh, đáp ứng yêu cầu hội nhập quốc tế, đối ngoại trong lĩnh vực quốc phòng;
ກໍ່ສ້າງຖັນແຖວພະນັກງານເຂົ້າຮ່ວມການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ ສປຊ “ທັງມີຄຸນສົມບັດທັງມີຄຸນວຸດທິ ;	Xây dựng đội ngũ cán bộ tham gia hoạt động gìn giữ hòa bình của Liên hợp quốc “vừa có trình độ, vừa có trình độ;
ກໍ່ສ້າງກົມຮັກສາສັນຕິພາບຫວຽດນາມ ກາຍເປັນສູນປະສານງານແຫ່ງຊາດກ່ຽວກັບການເຄື່ອນໄຫວຮັກສາສັນຕິພາບ ສປຊ ຂອງຫວຽດນາມ, ສູນຍົກສູງກຳລັງຄວາມສາມາດຮັກສາສັນຕິພາບ ສປຊ ຂອງພາກພື້ນ ແລະໃນໂລກ;	Thành lập Cục hoạt động gìn giữ hòa bình Việt Nam trở thành cơ quan đầu mối quốc gia về hoạt động gìn giữ hòa bình của Việt Nam, trung tâm tăng cường năng lực gìn giữ hòa bình của Liên hợp quốc khu vực và toàn cầu;
ຄົ້ນຄວ້າຄວາມສາມາດເປີດກວ້າງຂອບເຂດ, ຂອບຂະໜາດ, ຂົງເຂດ, ກຳລັງຜັນຂະຫຍາຍເຂົ້າຮ່ວມການເຄື່ອນໄຫວຢູ່ບັນດາທ້ອງຖິ່ນຂອງຄະນະປະຕິບັດງານ ຄືລະບຸໄວ້ໃນມະຕິສະບັບເລກທີ 130/2020/QH14 ຂອງສະພາແຫ່ງຊາດ.	Điều tra khả năng mở rộng quy mô, phạm vi, địa bàn và sự tham gia hoạt động của Tổ công tác đã được nêu tại Nghị quyết số 130/2020 / QH14 của Quốc hội.
ສະເພາະໜ້າ, ໃນໄລຍະຈະມາເຖິງ, ນອກຈາກສືບຕໍ່ຮັກສາປະສິດທິຜົນການເຄື່ອນໄຫວຂອງໂຮງໝໍສະໜາມ ຂັ້ນ 2 ແລະບັນດາຕຳແໜ່ງບຸກຄົນຄືປະຈຸບັນ, ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດ ຈະຊຸກຍູ້ຜັນຂະຫຍາຍກອງຊ່າງແສງເຖິງຄະນະປະຕິບັດງານ, ສືບຕໍ່ຄັດເລືອກບັນດາພະນັກງານຜູ້ທີ່ມີຄວາມເກັ່ງກ້າສາມາດເພື່ອສະໝັກເຂົ້າເຮັດວຽກຢູ່ບັນດາຄະນະປະຕິບັດງານ ແລະສຳນັກງານ ສປຊ.	Đặc biệt, trong những năm tới, ngoài việc duy trì hiệu quả hoạt động của tuyến 2 và biên chế hiện có, Quân ủy Trung ương, Bộ Quốc phòng sẽ khuyến khích đưa cán bộ nhẹ vào lực lượng đặc công, tiếp tục tuyển quân. nhân viên và tuyển dụng nhân viên.
ນັກຂ່າວ: ຂໍຂອບໃຈ	PV: Xin cảm ơn
