ກປ.	KP
ອອນໄລ - ມື້ນີ້, ວັນທີ 11 ທັນວາ, ກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດຄະນະຊາວໜຸ່ມກອມມູນິດ ໂຮ່ຈິມິນ ຄັ້ງທີ XI ໄດ້ໄຂຂຶ້ນຢ່າງເປັນທາງການທີ່ນະຄອນຫຼວງ ຮ່າໂນ້ຍ.	Hôm nay 11/12, Đại hội đại biểu toàn quốc Đoàn TNCS Hồ Chí Minh lần thứ XI chính thức khai mạc tại Hà Nội.
ນີ້ແມ່ນເຫດການການເມືອງສຳຄັນຂອງໄວໜຸ່ມຫວຽດນາມ, ເປັນຂີດໝາຍບາດກ້າວພັດທະນາຂອງອົງການຈັດຕັ້ງຊາວໜຸ່ມ ແລະຂະບວນການຊາວໜຸ່ມ, ເຍົາວະຊົນອານຸຊົນໃນໄລຍະໃໝ່.	Đây là sự kiện chính trị quan trọng của thanh niên Việt Nam, đánh dấu bước phát triển của tổ chức thanh niên và phong trào thanh niên trong thời gian tới.
ທົບທວນຄືນ 5 ປີ ຜ່ານມາ, ວຽກງານຊາວໜຸ່ມ ແລະຂະບວນການຊາວໜຸ່ມເຍົາວະຊົນອານຸຊົນບັນລຸໄດ້ໝາກຜົນພົ້ນເດັ່ນຫຼາຍຢ່າງໃນທ່າພັດທະນາລວມຂອງປະເທດ, ພາຍໃຕ້ການນຳພາຂອງພັກ, ມະຕິກອງປະຊຸມໃຫຍ່ຄະນະຊາວໜຸ່ມທົ່ວປະເທດຄັ້ງທີ X ໄດ້ຜັນຂະຫຍາຍ, ປະຕິບັດຢ່າງເຂັ້ມງວດ, ມີປະສິດທິຜົນ;	Điểm lại 5 năm qua, công tác thanh niên và phong trào thanh thiếu nhi đã đạt được nhiều kết quả nổi bật trong sự phát triển chung của đất nước.
ຫຼາຍໝາກຜົນໃໝ່, ປັດໄຈໃໝ່, ແບບຢ່າງກ້າວໜ້າໃນຊາວໜຸ່ມໄດ້ຄົ້ນພົບ, ເຊີດຊູ, ປະກອບສ່ວນສ້າງຮູບພາບອັນດີງາມກ່ຽວກັບບັນດາຮຸ່ນຊາວໜຸ່ມຫວຽດນາມ ໃນຍຸກສະໄໝໃໝ່.	Nhiều bạn trẻ đã phát hiện, phát huy, góp phần tạo nên hình ảnh đẹp về thế hệ trẻ Việt Nam thời kỳ hiện đại.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດຄະນະຊາວໜຸ່ມກອມມູນິດ ໂຮ່ຈິມິນ ຄັ້ງທີ XI.	Tổng Bí thư Nguyễn Phú Trọng phát biểu tại Đại hội Đoàn TNCS Hồ Chí Minh toàn quốc lần thứ XI.
ພາບ: ຢ້ຽວຖຸຍ-ຫງວຽນຖາວ	Ảnh: Diệu Thùy - Nguyên Thảo
ຊາວໜຸ່ມຫວຽດນາມໄດ້ຮັບຮູ້ມີການພັດທະນາຢ່າງຮອບດ້ານ, ລະດັບການສຶກສາໄດ້ຮັບການຍົກສູງຂຶ້ນ, ຮູບຮ່າງ ແລະສະພາບຂອງຮ່າງກາຍໄດ້ຮັບການປັບປຸງ.	Thanh niên Việt Nam nhận thức được sự phát triển toàn diện, trình độ văn hóa được nâng lên, thể trạng ngày càng hoàn thiện.
ສ່ວນຫຼາຍຊາວໜຸ່ມຫວຽດນາມມີຄວາມຮັບຜິດຊອບຕໍ່ຕົວເອງ, ຄອບຄົວ ແລະສັງຄົມ, ຍາມໃດກໍ່ເຊື່ອໝັ້ນໃນການນຳພາຂອງພັກ ແລະເສັ້ນທາງພັດທະນາປະເທດ;	Đa số thanh niên Việt Nam có trách nhiệm với bản thân, gia đình và xã hội, luôn tin tưởng vào sự lãnh đạo của Đảng và đường lối phát triển của đất nước;
ເສີມຂະຫຍາຍມູນເຊື້ອປະຕິວັດ, ສະແດງໃຫ້ເຫັນນ້ຳໃຈຮັກຊາດຢ່າງຈະແຈ້ງ, ຈິດໃຈເອກອ້າງທະນົງໃຈຂອງຊາດ, ມີການກະທຳຢ່າງແທດຈິງ, ລະອຽດເພື່ອປະຊາຄົມ.	Củng cố các di sản cách mạng, thể hiện rõ lòng yêu nước, lòng tự hào dân tộc, có hành động thực chất, chi tiết vì cộng đồng.
ຄະນະຊາວໜຸ່ມກອມມູນິດໂຮ່ຈິມິນ ສືບຕໍ່ພັດທະນາ, ສະແດງໃຫ້ເຫັນບົດບາດ, ຄວາມຮັບຜິດຊອບຢ່າງຈະແຈ້ງກັບຊາວໜຸ່ມເຍົາວະຊົນ ແລະມີການປະກອບສ່ວນຢ່າງເໝາະສົມເຂົ້າໃນຜົນງານລວມຂອງປະເທດ.	Đoàn TNCS Hồ Chí Minh tiếp tục phát triển, thể hiện vai trò, trách nhiệm của mình đối với thanh niên, có những đóng góp xứng đáng vào thành tựu chung của đất nước.
ເຖິງຢ່າງໃດກໍ່ຕາມ, ເລື່ອງຍູ້ແຮງການປ່ຽນແປງໃໝ່ ແລະການເຊື່ອມໂຍງເຂົ້າກັບສາກົນຢ່າງເລິກເຊິ່ງກ້ວາງຂວາງນຳມາໃຫ້ຊາວ ໜຸ່ມທັງກາລະໂອກາດ ແລະສິ່ງທ້າທາຍ.	Tuy nhiên, động lực thay đổi và hội nhập quốc tế sâu rộng, mang đến cho giới trẻ cả cơ hội và thách thức.
ໃນສັງຄົມ, ຄຽງຂ້າງກັບບັນດາຮຸ່ນຊາວໜຸ່ມທີ່ກ້າວໜ້າ, ນຳໜ້າ ແລະມີປະສິດທິຜົນໃນການຮ່ຳຮຽນ, ອອກແຮງງານ, ຜະລິດ, ດຳເນີນທຸລະກິດ ແລະເຊື່ອມໂຍງ...	Trong xã hội, cùng với thế hệ trẻ tiên tiến, thủy chung, hiệu quả trong học tập, lao động, sản xuất, kinh doanh và hội nhập ...
, ຫາກຍັງມີພາກສ່ວນຊາວໜຸ່ມດ້ອຍໂອກາດ, ຫວ່າງງານ, ຕົກເຂົ້າສະພາບການອຶດຫິວທຸກຍາກ, ຂາດໂອກາດພັດທະນາ, ວາງອອກບັນດາສິ່ງທ້າທາຍບໍ່ແມ່ນໜ້ອຍໃນການແກ້ໄຂວຽກເຮັດງານທຳໃຫ້ຊາວໜຸ່ມ.	Nếu vẫn còn thanh niên thiệt thòi, thất nghiệp, lâm vào cảnh nghèo khó, thiếu cơ hội phát triển, đặt ra những thách thức không nhỏ trong việc giải quyết việc làm cho thanh niên.
