ກປ.ອອນໄລ - ວັນທີ 7 ມິຖຸນາ, ທີ່ກອງປະຊຸມຄົບຄະນະສະມັດຊາໃຫຍ່ສະຫະປະຊາຊາດ (ສປຊ), ຫວຽດນາມ ໄດ້ຮັບການເລືອກຕັ້ງເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສປຊ ອາຍຸການ 2020-2021.	Un-Sup 7, Việt Nam, Việt Nam đã được bầu với Hội đồng Liên Hợp Quốc của Liên Hợp Quốc 2020-2021.
ກ່ອນອື່ນໝົດ, ຕາງໜ້າພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ, ຂ້າພະເຈົ້າຂໍສົ່ງຄໍາຂອບໃຈຢ່າງຈິງໃຈເຖິງບັນດາປະເທດສະມາຊິກ ສປຊ ທີ່ໄດ້ສະໜັບສະໜູນ, ໄວ້ວາງໃຈເລືອກຕັ້ງຫວຽດນາມ ດໍາລົງຕໍາແໜ່ງນີ້ເປັນຄັ້ງທີ 2.	Đầu tiên, đảng, tiểu bang, tôi yêu cầu gửi nhờ sự hỗ trợ của Liên Hợp Quốc, quyết định thứ hai.
ນີ້ແມ່ນຄວາມຮັບຮູ້ສໍາຄັນ ແລະຕີລາຄາສູງຈາກປະຊາຄົມສາກົນຕໍ່ກັບບົດບາດ ແລະການປະກອບສ່ວນຂອງຫວຽດນາມເຂົ້າວຽກງານສາກົນ ແລະພາກພື້ນ;	Điều này rất quan trọng và đánh giá cao từ cộng đồng quốc tế chống lại vai trò và đóng góp của Việt Nam và công tác khu vực;
ສະແດງໃຫ້ເຫັນຖານະບົດບາດຂອງຫວຽດນາມ ນັບມື້ນັບໄດ້ຮັບການຍົກສູງຂຶ້ນໃນເວທີສາກົນ.	Cho thấy vai trò của Việt Nam ngạc nhiên trong nền tảng quốc tế.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ.	Nguyễn Phú Trọng Tổng thư ký, chủ tịch tổng thống.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ຫວຽດນາມ ໄດ້ເປັນສະມາຊິກບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສປຊ ແມ່ນຄວາມເປັນກຽດອັນຍິ່ງໃຫຍ່, ເປັນການຢັ້ງຢືນແນວທາງການພົວພັນຕ່າງປະເທດຂອງພັກ ແລະລັດຫວຽດນາມ ຢ່າງຖືກຕ້ອງ, ແຕ່ກໍ່ແມ່ນຄວາມຮັບຜິດຊອບອັນໜັກໜ່ວງທີ່ສຸດ, ຮຽກຮ້ອງໃຫ້ພວກເຮົາຕ້ອງມານະພະຍາຍາມເຮັດຈົນສຸດຄວາມສາມາດຂອງຕົນ ເພື່ອປະຕິບັດສໍາເລັດໜ້າທີ່ສໍາຄັນເຊິ່ງປະຊາຄົມສາກົນມອບໝາຍໃຫ້.	Việt Nam là thành viên của Hội đồng Bảo an Liên Hợp Quốc là một vinh dự lớn, nhưng cũng là trách nhiệm chung, nhưng cũng là trách nhiệm của nước ngoài, nhưng cũng là tình trạng quan hệ đối ngoại trong cộng đồng quốc tế.
ຫວຽດນາມ ໄດ້ ແລະຈະສືບຕໍ່ປະຕິບັດຢ່າງສະເໝີຕົ້ນສະເໝີປາຍແນວທາງການພົວພັນຕ່າງປະເທດເອກະລາດ, ເປັນເຈົ້າຕົນເອງ, ຫັນການພົວພັນການຕ່າງປະເທດເປັນຫຼາຍຮູບຫຼາຍແບບ ແລະຫຼາຍຝ່າຍ, ເປັນເຈົ້າການ ແລະຕັ້ງໜ້າເຊື່ອມໂຍງເຂົ້າກັບສາກົນ;	Việt Nam đã và sẽ luôn tiếp tục hành động vào đầu mối quan hệ nước ngoài, và bản thân mình, và tích hợp đa phương.
ເປັນເພື່ອນມິດ, ເປັນຄູ່ຮ່ວມມືທີ່ໄວ້ເນື້ອເຊື່ອໃຈ ແລະເປັນສະມາຊິກທີ່ມີຄວາມຮັບຜິດຊອບຂອງປະຊາຄົມສາກົນ;	Làm bạn, một đối tác và các thành viên và các thành viên của trách nhiệm quốc tế;
ຊຸກຍູ້ການປະຕິບັດກົດບັດ ສປຊ ແລະກົດໝາຍສາກົນ, ຕັ້ງໜ້າປະກອບສ່ວນເຂົ້າໃນຄວາມມານະພະຍາຍາມລວມຂອງປະຊາຄົມສາກົນ ເພື່ອສັນຕິພາບ, ການຮ່ວມມື ແລະການພັດທະນາ.	Khuyến khích thực hành thẻ LHQ và luật quốc tế, thành lập góp phần đưa vào cộng đồng quốc tế về hòa bình, hợp tác và phát triển.
ດ້ວຍຄວາມຕັດສິນໃຈໃໝ່, ບັນຍາກາດ ແລະຈິດໃຈໃໝ່, ດ້ວຍຄວາມເຊື່ອໝັ້ນຢ່າງເລິກເຊິ່ງຕໍ່ກໍາລັງແຮງ, ເຈດຈຳນົງຂອງທົ່ວພັກ, ທົ່ວປວງຊົນ, ດ້ວຍຄວາມມານະພະຍາຍາມ ແລະການສົມທົບຢ່າງມີປະສິດທິຜົນຂອງທຸກຂັ້ນ, ທຸກກະຊວງ, ຂະແໜງການ ແລະການສະໜັບສະໜູນຂອງປະຊາຊົນ, ພວກເຮົາເຊື່ອໝັ້ນຢ່າງແນ່ວແນ່ວ່າ, ຫວຽດນາມ ຈະດໍາລົງຕໍາແໜ່ງເປັນກໍາມະການບໍ່ປະຈໍາການສະພາຄວາມໝັ້ນຄົງ ສປຊ ປະສົບຜົນສຳເລັດ, ສົມເປັນຄູ່ຮ່ວມມືທີ່ໄວ້ເນື້ອເຊື່ອໃຈ ເພື່ອສັນຕິພາບແບບຍືນຍົງ.	Với quyết định mới, sự mới mẻ và tâm trí, với sức mạnh của nhân dân, ý định và sự hỗ trợ của sự đau khổ.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần thông minh.
