ຕອນເຊົ້າວັນທີ 23 ເດືອນພະຈິກ, ຢູ່ສູນອະນຸລັກຮັກສາມໍລະດົກ ທັງລອງ - ຮ່າໂນ້ຍ ໄດ້ຈັດງານວາງສະແດງ “ພະລາຊະວັງ ທັງລອງ ຜ່ານແມ່ພິມສາໄໝລາດຊະວົງຫງວຽນ - ມໍລະດົກເອກະສານໂລກ.	Sáng 23/11, tại Trung tâm Bảo tồn Di sản Thăng Long-Hà Nội, Hà Nội đã diễn ra triển lãm.
ງານວາງສະແດງໄດ້ແນະນຳເຖິງມະຫາຊົນກວ່າ 60 ພາບຖ່າຍ, ເອກະສານ, ວັດຖຸພັນໃນກຸ່ມເອກະສານແມ່ພິມສະໄໝລາດຂະວົງຫງວຽນ (1802 - 1945) ທີ່ໄດ້ຄວັດກ່ຽວກັບວິວັດທະນາການກໍ່ສ້າງ, ຂອບຂະໜາດ, ໂຄງສ້າງຂອງພະລາຊະວັງ ທັງລອງ ກໍ່ຄືເຂດພະລາຊະວັງ ທັງລອງ ໃນປະຫວັດສາດ.	Triển lãm giới thiệu đến công chúng hơn 60 bức ảnh, tài liệu và hiện vật từ các kho lưu trữ của triều đại Khlong Nguyễn (1802 - 1945), bao gồm quá trình phát triển, xây dựng và cấu trúc của Hoàng cung Thăng Long và di tích lịch sử Cung điện Thăng Long.
ງານວາງສະແດງ “ພະລາຊະວັງ ທັງລອງ ຜ່ານແມ່ພິມສາໄໝລາດຊະວົງຫງວຽນ - ມໍລະດົກເອກະສານໂລກ.	Triển lãm “Cung điện Thăng Long thời Nguyễn - Di sản thế giới.
ພາບ: baovanhoa.vn.	Ảnh: baovanhoa.vn.
ຕອນບ່າຍວັນທີ 22 ພະຈິກ, ເປັນຄັ້ງທຳອິດທີ່ 13 ມໍລະກົດລະດັບຊາດພິເສດໄດ້ນຳສະເໜີຕໍ່ມະຫາຊົນນະຄອນຫຼວງໃນງານວາງສະແດງທີ່ມີຊື່ວ່າ “ມໍລະດົກລະດັບຊາດພິເສດຢູ່ຮ່າໂນ້ຍ ເຊິ່ງດຳເນີນຢູ່ຫໍພິພິທະພັນຮ່າໂນ້ຍ, ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງວັນມໍລະດົກຫວຽດນາມ 23 ເດືອນພະຈິກ.	Chiều 22/11, lần đầu tiên Di sản Quốc gia đặc biệt thứ 13 được ra mắt công chúng Thủ đô tại triển lãm “Di sản quốc gia đặc biệt tại Hà Nội” được tổ chức tại Bảo tàng Hà Nội, nhân kỷ niệm 23 năm Ngày Di sản Việt Nam.
ງານວາງສະແດງໄດ້ນຳສະເໜເອກະສານ, ວັດຖຸພັນກວ່າ 100 ຢ່າງກ່ຽວກັບ 13 ມໍລະດົກຮ່າໂນ້ຍ ເຊິ່ງນາຍົກລັດຖະມົນຕີ ຈັດເຂົ້າໃນບັນຊີມໍລະດົກລະດັບຊາດພິເສດຄື: ຮວ່າງແທ່ງທັງລອງ (ພະລາຊະວັງ ທັງລອງ), ວັນມ໋ຽວ - ກວັກຕືຢາມ (ມະຫາວິທະຍາໄລທຳອິດຢູ່ຫວຽດນາມ), ໜອງ ຮ່ວານກຽມ - ວິຫານ ຫງອັກເຊີນ, ວິຫານ ຟູ່ດົງ...	Triển lãm trưng bày hơn 100 tư liệu, hiện vật về 13 di sản Hà Nội đã được Thủ tướng Chính phủ đưa vào Danh mục Di sản Quốc gia: Hoàng Thành Thăng Long (Cung Thăng Long), Văn Miếu-Quắc Tử Giám (Trường Đại học đầu tiên của Việt Nam)
ຜ່ານງານວາງສະແດງ, ມະຫາຊົນຈະມີຄວາມເຂົ້າໃຈກວ່າກ່ຽວກັບຄຸນຄ່າສະຖາປັດຕະຍາກຳ, ວັດທະນະທຳ, ປະຫວັດສາດ, ເຂດຂຸດຄົ້ນບູຮານຄະດີຂອງບັນດາມໍລະດົກພິເສດ, ຍົກສູງສະຕິປົກປັກຮັກສາມໍລະດົກ.	Thông qua triển lãm, công chúng sẽ hiểu rõ hơn về giá trị kiến trúc, văn hóa, lịch sử, khảo cổ của các khu di sản đặc biệt, nâng cao ý thức bảo vệ di sản.
ຕອນບ່າຍວັນທີ 22 ເພະຈິກ, ຫໍພິພິທະພັນວິຈິດສິນດ່ານັ້ງ ໄດ້ສົມທົບກັບບັນດານັກສະສົມຢູ່ດ່ານັ້ງ ແລະເຂດພາກກາງຈັດວາງວາງສະແດງ “ຄວາມງາມຂອງເຄື່ອງປັ້ນດິນເຜົາໃນເມື່ອກ່ອນ.	Chiều 22/11, Bảo tàng Mỹ thuật Đà Nẵng phối hợp với các nhà sưu tập ở Đà Nẵng và khu vực miền Trung trưng bày “Nét đẹp gốm xưa”.
ໃນງານໄດ້ສະແດງ, ແນະນຳເຖິງມະຫາຊົນເຄື່ອງປັ້ນດິນເຜົາ 100 ຢ່າງຄື: ໂຖ;	Tại sự kiện, 100 khối gốm đã được giới thiệu: chậu;
ຈານ ຈູເດົ້າ, ຮູບປັ້ນດິນເຜົາ...	Đĩa Zhudao, đồ gốm ...
ງານວາງສະແດງນີ້ຈະເປີດປະຕູຮອດວັນທີ 28 ພະຈິກ ຈຶ່ງຈະອັດລົງ.	Triển lãm mở cửa đến ngày 28/11 sẽ đóng cửa.
ແຫຼ່ງຄັດຈາກ vovworld.vn.	Nguồn: vovworld.vn.
