ກປ.	KP
ອອນໄລ - ໃນລະຫວ່າງວັນທີ 7- 8 ມັງກອນ, ຄະນະປະຕິບັດງານເລກທີ 2 ຂອງກອງບັນຊາການທະຫານເຮືອເຂດ 2 ໄດ້ໄປມອບຂອງຂວັນປີໃໝ່ ແລະລະດົມກຳລັງໃຈໃຫ້ພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມ DK1/15 (ກຸ່ມ ຟຸກງວຽນ), DK1/11, DK1/12 ແລະ DK1/14 (ກຸ່ມ ຕືຈິງ).	Online - Từ ngày 7 đến 8-1, Đoàn công tác số 2 Bộ Tư lệnh Vùng 2 Hải quân đã tặng quà Tết, động viên cán bộ, chiến sĩ tuần tra DK1 / 15 (Duk1 / 11, DK1 / 12 và DK1 / 14).
ບັນດາຫໍ່ຂອງຂວັນ, ເຄື່ອງຫຼິ້ນບຸນຕ້ອນຮັບປີໃໝ່ລວມມີຕົ້ນດອກເຜິ້ງ, ຕົ້ນໝາກແປ້ນ, ໜັງສືພິມ, ບັດອວຍພອນປີໃໝ່, ເຂົ້າໜົມ, ເຂົ້າໜຽວ, ໝາກຖົ່ວຂຽວ, ໃບຕອງ, ຊີ້ນໝູ, ຢໍ່...	Giỏ quà Tết gồm cây hoa, cây quà, giấy báo, thiệp chúc Tết, bánh chưng, bắp rang, quà đậu xanh, lá dong, thịt, v.v.
ຊ່ວຍພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມຕ້ອນຮັບປີໃໝ່ຄືກັນກັບຜູ້ທີ່ຢູ່ໃນເຂດດິນຕໍ່ແຜ່ນຢ່າງຄົບຖ້ວນ.	Giúp nhân viên, chiến binh cửa hàng đón năm mới hoàn toàn giống như ở đất liền.
ຄະນະປະຕິບັດງານທະຫານເຮືອເຂດ 2 ສົ່ງຂອງຂວັນປີໃໝ່ໃຫ້ພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມ DK1/12.	Đặc công Vùng 2 Hải quân trao quà Tết cho Cựu chiến binh Nhân viên Tuần tra DK1 / 12
ພາບ: ຈູງແທ່ງ.	Ảnh: Chong Thanh
ຕາງໜ້າໃຫ້ຄະນະພັກ, ກອງບັນຊາການທະຫານເຮືອເຂດ 2, ທ່ານພັນເອກພິເສດ ຮວິ່ງວິງຕ໊ວຽນ ໄດ້ຊົມເຊີຍບັນດາຜົນງານ ເຊິ່ງພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມບັນລຸໄດ້ໃນປີຜ່ານມາ;	Thay mặt Đảng ủy, Bộ Tư lệnh Vùng 2 Hải quân, Đại tá Đặc công Hoàng Vĩnh Tuyến biểu dương những thành tích mà cán bộ, chiến sĩ Hải đội đã đạt được trong năm qua;
ອວຍພອນພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມຕ້ອນຮັບປີໃໝ່ 2019 ຢ່າງເບີກບານມ່ວນຊື່ນ, ປອດໄພ, ປະຢັດ, ກຽມພ້ອມສູ້ຮົບຢ່າງສູງ.	Xin chúc cán bộ, chiến sĩ cửa hàng tuần tra đón năm mới 2019 vui vẻ, an toàn, tiết kiệm và chuẩn bị cao.
ມີນັກຂ່າວຫຼາຍຄົນມາຈາກບັນດາອົງການສື່ມວນຊົນຂັ້ນສູນກາງ ແລະທ້ອງຖິ່ນເຂົ້າຮ່ວມຄະນະປະຕິບັດງານກໍ່ສົ່ງຄໍາຢື້ຢາມຖາມຂ່າວ, ລະດົມກຳລັງໃຈ ແລະຮ້ອງເພງມອບເປັນຂອງຂວັນໃຫ້ບັນດາພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມຜ່ານເຄື່ອງໂທລະເລກ.	Nhiều nhà báo của các cơ quan báo đài trung ương và địa phương đã tham gia lực lượng, gửi bản tin hỏi thăm, động viên và hát tặng các cán bộ, chiến sĩ của Đồn tuần tra qua điện tín.
ບັນດາສະມາຊິກຂອງຄະນະປະຕິບັດງານຍົກສູງທຸງຊາດທີ່ມີລາຍເຊັນຂອງທີມຊາດຫວຽດນາມ ເພື່ອ “ສົ່ງກໍາລັງໃຈ ມາໃຫ້ພະນັກງານ, ນັກຮົບຮ້ານເວນຍາມ.	Các thành viên đội đặc nhiệm đội cờ của Đội tuyển Việt Nam để "gửi lời động viên đến cán bộ, chiến sĩ cửa hàng tuần tra."
ພາບ: ຈູງແທ່ງ.	Ảnh: Chong Thanh
ຕາງໜ້າຜູ້ບັນຊາການບັນດາຮ້ານເວນຍາມ ໄດ້ສະແດງຄວາມຂອບອົກຂອບໃຈຕໍ່ຄວາມເອົາໃຈໃສ່ຈາກພັກ, ລັດ, ກອງທັບ ແລະປະຊາຊົນທົ່ວປະເທດ;	Thay mặt chỉ huy các cửa hàng tuần tra phát biểu cảm ơn sự quan tâm chỉ đạo của Đảng, nhà nước, quân và dân cả nước;
ຢືນຢັນວ່າຈະສືບຕໍ່ຜ່ານຜ່າທຸກຄວາມຫຍຸ້ງຍາກ ເພື່ອປະຕິບັດສໍາເລັດໜ້າທີ່ເປັນຢ່າງດີ, ປົກປັກຮັກອຳນາດອະທິປະໄຕທະເລໝູ່ເກາະຂອງປະເທດໄວ້ຢ່າງໝັ້ນຄົງ.	Đồng chí khẳng định sẽ tiếp tục khắc phục mọi khó khăn để đạt kết quả tốt, bảo vệ an toàn chủ quyền biển, đảo của Tổ quốc.
ໂດຍ: ເກື່ອງດັ້ງ.	By: Cuong Dang.
