ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 22 ສິງຫາ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ, ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານນາງ Robyn Mudie ເອກອັກຄະລັດຖະທູດອົດສະຕາລີ ເນື່ອງໃນໂອກາດທ່ານນາງເອກອັກຄະລັດຖະທູດ ມາຮັບໜ້າທີ່ຢູ່ຫວຽດນາມ.	Ngày 22 tháng 8, tại Úc Úc, tại Thủ tướng Nguyễn Thị Jungle, Thủ tướng
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມເຊື່ອໝັ້ນວ່າດ້ວຍຄວາມເຂົ້າໃຈ ແລະປະສົບການຂອງຕົນ, ທ່ານນາງ Robyn Mudie ຈະປະກອບສ່ວນຊຸກຍູ້ການພົວພັນສອງປະເທດໃຫ້ພັດທະນາຢ່າງແຮງກວ່າອີກໃນໄລຍະຈະມາເຖິງ.	Tại buổi tiếp tân, Nguyễn Xuân Phúc thể hiện sự hiểu biết và kinh nghiệm của mình, bà Roelyn Mudie sẽ đóng góp mạnh mẽ hơn trong thời gian tới.
ໃນໄລຍະຜ່ານມາ, ການພົວພັນສອງປະເທດພັດທະນາຢ່າງຕັ້ງໜ້າ.	Trong quá khứ, hai giao tiếp phát triển.
ບັນດາກົນໄກຮ່ວມມືໄດ້ຮັບການເສີມຂະຫຍາຍຢ່າງມີຄຸນປະໂຫຍດ.	Cơ chế hợp tác đã được tăng cường.
ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ການລົງທຶນ, ການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ...	Kinh tế, Thương mại, Đầu tư, Quốc phòng, Ngăn chặn hòa bình ...
ບັນລຸໝາກຜົນດີຫຼາຍຢ່າງ.	Đạt được rất nhiều trái cây tốt.
ໃນໄລຍະຈະມາເຖິງ, ທ່ານນາຍົກລັດຖະມົນຕີ ສະເໜີທ່ານນາງເອກອັກຄະລັດຖະທູດ ເອົາໃຈໃສ່ຊຸກຍູ້ການແລກປ່ຽນຄະນະຜູ້ແທນ, ການພົບປະຂັ້ນສູງເປັນປະຈໍາ;	Trong giai đoạn tới, Thủ tướng đề nghị thúc đẩy phái đoàn, thường xuyên;
ຜັນຂະຫຍາຍ ແລະເສີມຂະຫຍາຍບັນດາກົນໄກຮ່ວມມືສອງຝ່າຍຢ່າງມີປະສິດທິຜົນ, ໂດຍສະເພາະແມ່ນບັນດາກົນໄກຂັ້ນລັດຖະມົນຕີ ທີ່ຫາກໍ່ໄດ້ຮັບການສ້າງຕັ້ງ;	Chết và nâng cao các cơ chế hợp tác song phương, đặc biệt là các bộ trưởng vừa được tạo ra;
ກວດກາຄືນ, ສະຫຼຸບການປະຕິບັດໂຄງການດໍາເນີນງານ ຫວຽດນາມ - ອົດສະຕາລີ ໄລຍະ 2016-2019 ແລະສ້າງໂຄງການດໍາເນີນງານໃນການຜັນຂະຫຍາຍການພົວພັນຄູ່ຮ່ວມມືຍຸດທະສາດ ໄລຍະ 2020-2023 ໂດຍໄວ.	Đánh giá Việt Nam - Úc giai đoạn 2016-2019 và các dự án vận hành trong quan hệ đối tác chiến lược 2020-2023.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ແລະທ່ານນາງ Robyn Mudie ເອກອັກຄະລັດຖະທູດອົດສະຕາລີ.	Thủ tướng Nguyễn Xuân Nguyễn Xukham Mudie, Đại sứ Úc.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
