ກປ.ອອນໄລ - ພູວົວແມ່ນພູສູງທີ່ສຸດໃນສາຍພູ ບາວີ່ (ເມືອງ ບາວີ່, ນະຄອນ ຮ່າໂນ້ຍ) - ສະຖານທີ່ທີ່ມີວິຫານບູຊາລຸງ ໂຮ່.	Mt.
ເພື່ອຂຶ້ນຈອມພູໃຫ້ໄດ້, ແຂກທ່ອງທ່ຽວຕ້ອງຂີ່ລົດໃຫຍ່ຈາກຕີນພູ ບາວີ່, ໄປລຽບຕາມຄ້ອຍພູທີ່ລະອິດລະອ້ຽວຜ່ານໄລຍະທາງຍາວ 12 ກິໂລແມັດ ແລະຕ້ອງຂຶ້ນຂັ້ນໄດຫີນ 1.320 ຂັ້ນ, ດ້ວຍການອອກແບບທີ່ເໝາະສົມກັບພູມີປະເທດ.	Để lên đến đỉnh núi, du khách phải chạy xe từ chân núi Bavi, men theo những con dốc hiểm trở quãng đường 12 km và leo 1.320 bậc đá, có thiết kế phù hợp với địa hình.
ເມື່ອຂຶ້ນຮອດຈອມພູ ວົວ, ແຂກທ່ອງທ່ຽວຈະຮູ້ສຶກຄືວ່າພວມຫຼົງທາງເຂົ້າດິນແດນແຫ່ງສັກກາລະບູຊາ, ຍ້ອນໄດ້ຂ້າມຜ່ານຜືນປ່າດົງດິບ.	Khi lên đến đỉnh núi, du khách sẽ có cảm giác như lạc vào vùng đất thiêng, băng qua khu rừng thường xanh.
ຄົ້ນຫາພູ ວົວ, ແຂກທ່ອງທ່ຽວຈະຮູ້ສຶກມີຄວາມຈັບອົກຈັບໃຈ, ຍ້ອນທັດສະນີຍະພາບທໍາມະຊາດທີ່ສວຍງາມຈາກປ່າດົງກວ້າງໃຫຍ່ຕຶບໜາ, ພູສູງ, ຕະຫຼອດຮອດແສງແດດ, ສາຍລົມ...	Khám phá Phu Wua, du khách sẽ cảm nhận được sự hồi hộp, bởi khung cảnh thiên nhiên tuyệt đẹp từ bạt ngàn rừng núi, vách núi, đến cả nắng, gió ...
ຂ້າມປ່າໄມ້ທ່າມກາງແສງແດດ.	Băng qua rừng trong ánh nắng mặt trời.
ພາບ: ມີງເຫວ້.	Ảnh: Minh Huệ
ແຂກທ່ອງທ່ຽວຢູ່ຂ້າງທາດ ບ໋າວທຽນ 13 ຊັ້ນ, ສູງ 26,9 ແມັດ ເທິງຈອມພູ ວົວ.	Du khách tham quan Thất Báo Thiên 13 tầng, cao 26,9m trên đỉnh núi Vua.
ພາບ: ມີງເຫວ້.	Ảnh: Minh Huệ
ຍາດເວລາຖ່າຍຮູບພາບທີ່ສວຍງາມ.	Chụp những bức ảnh đẹp.
ພາບ: ມີງເຫວ້.	Ảnh: Minh Huệ
ແປໂດຍ: ຫງວຽນກຸກ.	Dịch bởi: Nguyen Kuk.
