ກປ.	KP
ອອນໄລ - ໂດຍໄດ້ຮັບຄໍາເຊີນຂອງທ່ານ Luo Shugang ລັດຖະມົນຕີກະຊວງວັດທະນະທໍາຈີນ, ຄະນະປະຕິບັດງານກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວຫວຽດນາມ ໂດຍທ່ານ ລັດຖະມົນຕີ ຫງວຽນຫງອກທ້ຽນ ນໍາໜ້າໄດ້ໄປຢ້ຽມຢາມ ສປ ຈີນ ຢ່າງເປັນທາງການແຕ່ວັນທີ 7 ຫາວັນທີ 9 ມັງກອນ 2018.	Online - Nhận lời mời của Bộ trưởng Bộ Văn hóa Trung Quốc Luo Shugang, Đoàn đại biểu Bộ Văn hóa, Thể thao và Du lịch Việt Nam do Bộ trưởng Nguyễn Ngọc Thiện Nam Pha làm trưởng đoàn đã thăm chính thức Trung Quốc từ ngày 7-9 / 1/2018.
ຕອນບ່າຍວັນທີ 7 ມັງກອນ, ຢູ່ບັກກີງ, ປະເທດ ຈີນ, ທ່ານລັດຖະມົນຕີ ຫງວຽນຫງອກທ້ຽນ ໄດ້ມີການພົບປະເຈລະຈາກັບທ່ານລັດຖະມົນຕີ Luo Shugang.	Chiều 7/1, tại Bắc Kinh, Bộ trưởng Nguyễn Ngọc Thiện đã hội kiến Bộ trưởng Luo Shugang.
ລັດຖະມົນຕີສອງທ່ານໄດ້ພ້ອມກັນຫວນຄືນສະພາບການຮ່ວມມື, ຜັນຂະຫຍາຍແຜນການປະຕິບັດສັນຍາວັດທະນະທໍາສອງປະເທດໄລຍະ 2016-2018, ເນັ້ນໜັກບັນດາໝາກຜົນພົ້ນເດັ່ນໃນວິວັດທະນາການຮ່ວມມື.	Hai Bộ trưởng đã điểm lại tình hình hợp tác, triển khai kế hoạch thực hiện Thỏa thuận văn hóa hai nước giai đoạn 2016-2018 và nêu rõ những thành tựu nổi bật trong quá trình phát triển hợp tác.
ໃນນັ້ນ, ປີ 2017 ໄດ້ຮັບຖືວ່າແມ່ນປີຈຸດສູງໃນການພົວພັນແລກປ່ຽນການຮ່ວມມືດ້ານວັດທະນະທໍາ ຫວຽດນາມ-ຈີນ: ການນໍາສອງກະຊວງໄດ້ມີການຢ້ຽມຢາມ ແລະເຮັດວຽກເຊິ່ງກັນ ແລະກັນ, ການເຄື່ອນໄຫວພົບປະແລກປ່ຽນວັດທະນະທໍາສິລະປະຫຼາຍຢ່າງໄດ້ຮັບການຈັດຕັ້ງຕິດພັນກັບການຢ້ຽມຢາມຂອງການນໍາຂັ້ນສູງສອງປະເທດ.	Năm 2017, năm 2017 được coi là năm giao lưu và hợp tác văn hóa cấp cao giữa Việt Nam và Trung Quốc, hai Bộ đã có chuyến thăm và làm việc với nhau, nhiều hoạt động giao lưu văn hóa được tổ chức gắn với các chuyến thăm cấp cao của hai nước.
ບັນຍາກາດການພົບປະປະຈໍາປີຄັ້ງທີ 1 ລະຫວ່າງກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວຫວຽດນາມ ແລະກະຊວງວັດທະນະທໍາຈີນ.	Không khí buổi họp thường niên đầu tiên giữa Bộ Văn hóa, Thể thao và Du lịch Việt Nam và Bộ Văn hóa Trung Quốc.
ພາບ: ຫວຽດຮືງ	Ảnh: Việt Hùng
ທີ່ການພົບປະເຈລະຈາ, ລັດຖະມົນຕີສອງທ່ານເຫັນດີເປັນເອກະພາບຖືວ່າຄວນສືບຕໍ່ປະຕິບັດຄວາມຮັບຮູ້ລວມຂອງການນໍາຂັ້ນສູງສອງປະເທດກ່ຽວກັບການເພີ່ມທະວີການຮ່ວມມື, ຖືວັດທະນະທໍາເປັນຂົວຕໍ່ມິດຕະພາບລະຫວ່າງປະຊາຊົນສອງປະເທດເປັນຢ່າງດີ.	Tại cuộc hội đàm, hai Bộ trưởng nhất trí Lãnh đạo cấp cao hai nước tiếp tục triển khai đồng thuận của hai nước về tăng cường hợp tác, lấy văn hóa làm cầu nối hữu nghị giữa nhân dân hai nước.
ເສີມຂະຫຍາຍບັນດາໝາກຜົນບັນລຸໄດ້, ສອງຝ່າຍໄດ້ເຫັນດີເປັນເອກະສັນສ້າງຕັ້ງກົນໄກພົບປະປະຈໍາປີລະຫວ່າງການນໍາກະຊວງວັດທະນະທໍາ, ກິລາ ແລະທ່ອງທ່ຽວຫວຽດນາມ ແລະກະຊວງວັດທະນະທໍາຈີນ;	Củng cố những kết quả đạt được, hai bên nhất trí thiết lập cơ chế họp thường niên giữa Bộ Văn hóa, Thể thao và Du lịch Việt Nam và Bộ Văn hóa Trung Quốc;
ເອກະພາບທິດທາງການຮ່ວມມືໃໝ່ໃນຂົງເຂດວັດທະນະທໍາໄລຍະ 2019-2021, ຈຸດສຸມແມ່ນຊຸກຍູ້ບັນດາການເຄື່ອນໄຫວຮ່ວມມືປົກປັກຮັກສາມໍລະດົກວັດທະນະທໍາທີ່ບໍ່ເປັນວັດຖຸ, ບໍາລຸງສ້າງສິລະປະ, ພັດທະນາອຸດສາຫະກໍາວັດທະນະທໍາ.	Thống nhất phương hướng hợp tác trong lĩnh vực văn hóa giai đoạn 2019-2021, trọng tâm là đẩy mạnh các hoạt động hợp tác bảo vệ di sản văn hóa phi vật thể, nuôi dưỡng nghệ thuật, phát triển công nghiệp văn hóa.
ພາຍຫຼັງການພົບປະເຈລະຈາ, ລັດຖະມົນຕີສອງທ່ານໄດ້ລົງນາມ “ບົດບັນທຶກຊ່ວຍຈໍາການຮ່ວມມືອຸດສາຫະກໍາວັດທະນະທໍາ.	Sau cuộc hội đàm, hai bộ trưởng đã ký biên bản ghi nhớ về hợp tác văn hóa và công nghiệp.
