ກປ.ອອນໄລ - ຫວຽດນາມ ບໍ່ເຄີຍບັນລຸໄດ້ຜົນງານດ້ານເສດຖະກິດ-ສັງຄົມຄືໃນປະຈຸບັນເທື່ອ ແລະກໍາລັງບົ່ມຊ້ອນພັດທະນາຍັງໃຫຍ່ຫຼວງຢູ່.	<br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <Br > <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> <br> Công việc kinh tế xã hội:
ນັ້ນແມ່ນໂອກາດເພື່ອໃຫ້ຊາວຫວຽດນາມໜຸ່ມ ອາໄສຢູ່ຕ່າງປະເທດ-ບັນດາຜູ້ທີ່ພວມຢາກກັບເມືອປະເທດ-ຊອກຫາກາລະໂອກາດລົງທຶນ.	Đó là một cơ hội cho Việt Nam, những người trẻ tuổi sống ở nước ngoài - những người đang để trở về đất nước - tìm kiếm cơ hội đầu tư.
ຊາວຫວຽດນາມ ອາໄສຢູ່ຕ່າງປະເທດປະກອບສ່ວນໃຫ້ແກ່ການພັດທະນາຂອງປະເທດຊາດ	Người Việt sống ở nước ngoài góp phần phát triển quốc gia
ທ່ານ Peter ຮົ່ງ, ຮອງປະທານສະຫະສະມາຄົມນັກທຸລະກິດຫວຽດນາມ ຢູ່ຕ່າງປະເທດ, ຊາວຫວຽດນາມ ອາໄສຢູ່ອົດສະຕາລີ ໄດ້ເປີດສາກເລື່ອງລາວດ້ວຍຂໍ້ສັງເກດວ່າ “ຫວຽດນາມ ຍັງບໍ່ເຄີຍບັນລຸໄດ້ຜົນງານດ້ານເສດຖະກິດ-ສັງຄົມຄືໃນປະຈຸບັນເທື່ອ.	Pety Hồng, phó chủ tịch kinh doanh Việt Nam, người Việt Nam đã không được mở cửa cho xã hội, Việt Nam đã không được mở, sinh viên Việt Nam đã không được mở, người Việt Nam
ບັນລຸໄດ້ຜົນງານດັ່ງກ່າວແມ່ນຍ້ອນມີນະໂຍບາຍທີ່ເໝາະສົມກັບຈິດໃຈປະຊາຊົນຂອງພັກ ແລະລັດຫວຽດນາມ, ແມ່ນຄວາມດຸໝັ່ນ, ຄວາມຕັດສິນໃຈບືນຕົວຂຶ້ນສູ່ລະດັບພາກພື້ນຂອງຊາວຫວຽດນາມ ອາໄສຢູ່ຕ່າງປະເທດ.	Công việc đạt được chính sách phù hợp với người dân của đảng Việt Nam và siêng năng, độ sâu của cây lau sậy Việt Nam.
ທ່ານ Peter ຮົ່ງ, ຮອງປະທານສະຫະສະມາຄົມນັກທຸລະກິດຫວຽດນາມ ຢູ່ຕ່າງປະເທດ, ຊາວຫວຽດນາມ ອາໄສຢູ່ອົດສະຕາລີ.	May Hong, phó chủ tịch kinh doanh Việt Nam, tiếng Việt, người Việt sống ở Úc.
ພາບ: qdnd.vn	Ảnh: QĐND.VN.
ໂດຍແມ່ນໜຶ່ງໃນບັນດາຊາວຫວຽດນາມ ອາໄສຢູ່ຕ່າງປະເທດທີ່ມີຄວາມສຸດຈິດສຸດໃຈໃນການສ້າງສາປະເທດຊາດ, ເຄີຍກັບເມືອຫວຽດນາມ ເປັນປະຈໍາ, ທ່ານ Peter ຮົ່ງ ເຫັນໄດ້ການປ່ຽນແປງຂອງບ້ານເກີດເມືອງນອນໃນຊຸມປີມໍ່ໆມານີ້.	Bởi một trong những người Việt Nam sống ở nước ngoài trong nước, bao giờ đến Việt Nam trong ngôi làng gần đây.
ເພື່ອບັນລຸໄດ້ຜົນງານນັ້ນແມ່ນມີການປະກອບສ່ວນບໍ່ແມ່ນໜ້ອຍຂອງຊາວຫວຽດນາມ ອາໄສຢູ່ທົ່ວໂລກ, ໃນນັ້ນມີບັນດານັກທຸລະກິດຊາວຫວຽດນາມ ອາໄສຢູ່ຕ່າງປະເທດ.	Để đạt được công việc đó là ít có khả năng đóng góp cho người dân Việt Nam, trong số các doanh nghiệp Việt Nam sống ở nước ngoài.
ຕາມທ່ານ Peter ຮົ່ງ ແລ້ວ, ນັບແຕ່ເມື່ອຫວຽດນາມ ດໍາເນີນນະໂຍບາຍເປີດປະຕູເສດຖະກິດ, ລວມຍອດທຶນ FDI ລົງທຶນເຂົ້າສູ່ຫວຽດນາມ ແມ່ນ 257 ຕື້ໂດລາສະຫະລັດ, ໃນຂະນະນັ້ນ, ເງິນຕາຂອງພໍ່ແມ່ປະຊາຊົນອາໄສຢູ່ຕ່າງປະເທດສົ່ງເມືອບ້ານເກີດເມືອງນອນແມ່ນເກືອບ 160 ຕື້ໂດລາສະຫະລັດ.	Theo Peter Hong, kể từ Việt Nam vận hành việc khai trương nền kinh tế, thủ đô của Thủ tướng Lào
ສະຖິຕິຂອງທະນາຄານໂລກໃຫ້ຮູ້ວ່າ, ແຕ່ລະປີ, ເງິນຕາຂອງຊາວ ຫວຽດນາມ ອາໄສຢູ່ຕ່າງປະເທດສົ່ງເມືອປະເທດນັບມື້ນັບເພີ່ມຂຶ້ນ, ປີ 2016 ແມ່ນ 11,9 ຕື້ໂດລາສະຫະລັດ, ປີ 2017 ແມ່ນ 13,8 ຕື້ໂດລາສະຫະລັດ, ປີ 2018 ແມ່ນ 16 ຕື້ໂດລາສະຫະລັດ.	Thống kê Ngân hàng Thế giới, mỗi năm, tiền Việt Nam là 11,8 tỷ USD, 2018 là 13,9 tỷ USD.
