ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 19 ທັນວາ, ທີ່ຮ່າໂນ້ຍ ໄດ້ດໍາເນີນວາລະປະຊຸມທາງເຄືອຂ່າຍອິນເຕີແນັດແພດທະຫານບັນດາປະເທດອາຊຽນ (ACMM), ທ່ານພົນຈັດຕະວາ.	Chiều 19/12, tại Hà Nội, Mạng lưới Quân y ASEAN (ACMM) đăng cai tổ chức cuộc họp.
ຮສຈ.ປອ ຫງວຽນຊວນກຽນ, ຫົວໜ້າກົມເສນາຮັກ (ກົມໃຫຍ່ພະລາທິການ) ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນ.	PGS.TS Nguyễn Xuân Kiên, Trưởng phòng Senahak (Cục Hành chính Tổng hợp) đã đến dự và phát biểu chỉ đạo.
ກອງປະຊຸມໄດ້ແຈ້ງໃຫ້ກັນຊາບກ່ຽວກັບການປະກອບງົບປະມານ ACMM ປີ 2019;	Cuộc họp đã thông báo cho nhau về ngân sách ACMM năm 2019;
ລາຍງານໝາກຜົນກອງປະຊຸມກຸ່ມກ່ຽວກັບແພດທະຫານໃນຂອບເຂດກອງປະຊຸມລັດຖະມົນຕີປ້ອງກັນປະເທດບັນດາປະເທດອາຊຽນ ເປີດກວ້າງ (ADMM+);	Báo cáo kết quả Cuộc họp Nhóm về Y sĩ quân y trong khuôn khổ Hội nghị Bộ trưởng Quốc phòng ASEAN mở rộng (ADMM +);
ຝຶກຊ້ອມຕ້ານການກໍ່ການຮ້າຍ ຄັ້ງທີ 8;	Bài tập Chống khủng bố lần thứ 8;
ລາຍງານໝາກຜົນກອງປະຊຸມ ຄັ້ງທີ 2 ກ່ຽວກັບການຕອບສະໜອງດ້ານການແພດໃນການກູ້ໄພ, ກູ້ຊີບໄພພິບັດຢູ່ ສິງກະໂປ;	Báo cáo Kết quả của Cuộc họp lần thứ hai về Ứng phó Y tế đối với Cứu trợ Thiên tai tại Singapore;
ປຶກສາຫາລືກ່ຽວກັບວິທີຈັດຕັ້ງກອງປະຊຸມແພດທະຫານຄັ້ງທີ 3 ປີ 2020 ຢູ່ ຫວຽດນາມ ແລະບາງເນື້ອໃນຄວນແລກປ່ຽນ, ຄື: ຄ່າໃຊ້ຈ່າຍ ແລະເວລາຄາດຄະເນຈັດຕັ້ງກອງປະຊຸມ.	Thảo luận về cách thức tổ chức Hội nghị Quân y lần thứ 3 năm 2020 tại Việt Nam và một số chủ đề cần trao đổi như chi phí và thời gian dự kiến tổ chức cuộc họp.
ບັນຍາກາດທີ່ກອງປະຊຸມ.	Không khí cuộc họp.
ພາບ: ຮ່າແຄ໋ງ.	Ảnh: Hà Khang
ກອງປະຊຸມໄດ້ດໍາເນີນການມອບຮັບຕໍາແໜ່ງປະທານຄະນະອໍານວຍການສູນແພດທະຫານອາຊຽນ ຈາກໄທ ໃຫ້ຫວຽດນາມ.	Hội nghị đã bàn giao quyền chủ tịch Trung tâm Quân y ASEAN từ Thái Lan cho Việt Nam.
ຕາມນັ້ນແລ້ວ, ທ່ານພົນຈັດຕະວາ ຫງວຽນຊວນກຽນ, ຫົວໜ້າກົມເສນາຮັກ ໄດ້ດໍາລົງຕໍາແໜ່ງເປັນປະທານຄະນະອໍານວຍການສູນແພດທະຫານອາຊຽນ ປີ 2020.	Theo đó, Chuẩn tướng Nguyễn Xuân Kiên, Cục trưởng Cục Senahak sẽ làm Chủ tịch Hội đồng quản trị Trung tâm Quân y ASEAN 2020.
