ກປ.	KP
ອອນໄລ - ຕອນບ່າຍວັນທີ 24 ຕຸລາ 2016, ກົງກັບໂອກາດສະເຫຼີມສະຫຼອງ ວັນສ້າງຕັ້ງອົງການສະຫະປະຊາຊາດ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຫງວຽນຊວນຟຸກ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານນາງ Pratibha Mehta, ຜູ້ປະສານງານສະຫະປະຊາຊາດ ປະຈຳ ຫວຽດນາມ, ເຂົ້າຢ້ຽມອຳລາເນື່ອງໃນໂອກາດສິ້ນສຸດອາຍຸການປະຕິບັດງານ.	Chiều 24/10/2016, nhân kỷ niệm Ngày thành lập Liên hợp quốc, Thủ tướng Chính phủ Nguyễn Xuân Phúc đã tiếp bà Pratibha Mehta, Điều phối viên thường trú của Liên hợp quốc tại Việt Nam đến chào xã giao khi kết thúc nhiệm kỳ.
ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຕ້ອນຮັບທ່ານນາງ Pratibha Mehta ຜູ້ປະສານງານສະຫະປະຊາຊາດ ປະຈຳ ຫວຽດນາມ.	Thủ tướng Nguyễn Xuân Phúc tiếp Điều phối viên Thường trú LHQ Pratibha Mehta tại Việt Nam
ພາບ:TTXVN	Ảnh: TTXVN
ທີ່ການຕ້ອນຮັບ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ຢືນຢັນວ່າ, ຫວຽດນາມ ຖືເປັນສຳຄັນ ແລະປາດຖະໜາຢາກຊຸກຍູ້ການພົວພັນຮ່ວມມືກັບບັນດາອົງການຂອງສະຫະປະຊາຊາດ ດ້ວຍຖານະແມ່ນໜຶ່ງໃນບັນດາຄູ່ຮ່ວມມືບູລິມະສິດແຖວໜ້າຂອງ ຫວຽດນາມ.	Tại buổi tiếp, Thủ tướng Nguyễn Xuân Phúc khẳng định Việt Nam coi trọng và mong muốn tăng cường hợp tác với Liên hợp quốc là một trong những đối tác ưu tiên của Việt Nam.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກວ່າ, ຫວຽດນາມ ຍາມໃດກໍ່ເຄົາລົບນັບຖື ແລະຕີລາຄາສູງບົດບາດສໍາຄັນຂອງສະຫະປະຊາຊາດ, ເປັນຕົ້ນແມ່ນໃນການປົກປັກຮັກສາ ແລະພັດທະນາສັນຕິພາບຢູ່ໃນພາກພື້ນ ແລະທົ່ວໂລກ.	Thủ tướng Nguyễn Xuân Phúc nhấn mạnh Việt Nam luôn coi trọng và đánh giá cao vai trò quan trọng của Liên hợp quốc, nhất là trong việc bảo vệ và phát triển hòa bình ở khu vực và trên thế giới.
ສະຫະປະຊາຊາດ ໄດ້ເສີມຂະຫຍາຍບົດບາດສໍາຄັນທີ່ສຸດໃນການຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ສະພາບການຜູ້ອົບພະຍົບ, ແກ້ໄຂໂລກພະຍາດ, ມົນລະພິດສິ່ງແວດລ້ອມ ແລະບັນດາໄພທໍາມະຊາດ, ໄພພິບັດອື່ນໆ.	Liên hợp quốc ngày càng đóng vai trò quan trọng trong việc giải quyết vấn đề biến đổi khí hậu, di cư, di cư, ô nhiễm môi trường và các thảm họa thiên nhiên khác.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າ, ລັດຖະບານ ແລະປະຊາຊົນ ຫວຽດນາມ ຍາມໃດກໍ່ຮູ້ບຸນຄຸນການປະກອບສ່ວນ, ໜູນຊ່ວຍຂອງສະຫະປະຊາຊາດ ສໍາລັບປະຊາຊົນຫວຽດນາມ ໃນວິວັດທະນາການສ້າງສາ ແລະພັດທະນາປະເທດຊາດ.	Thủ tướng Nguyễn Xuân Phúc cho biết, Chính phủ và nhân dân Việt Nam luôn biết ơn sự đóng góp, giúp đỡ của Liên hợp quốc đối với nhân dân Việt Nam trong công cuộc xây dựng và phát triển đất nước.
ທ່ານນາຍົກລັດຖະມົນຕີ ສະເໜີສອງຝ່າຍຄວນດໍາເນີນການສະຫຼຸບໂດຍໄວ, ເປັນເອກະພາບກັນ, ກໍານົດທິດບັນດາເນື້ອໃນຮ່ວມມືໃໝ່ໃນໄລຍະຈະມາເຖິງ, ເປັນຕົ້ນແມ່ນໃນປີ 2017 ສອງຝ່າຍສະເຫຼີມສະຫຼອງວັນສ້າງຕັ້ງການພົວພັນ ຄົບຮອບ 40 ປີ.	Hai bên cần có kết luận ngắn gọn và nhanh chóng về tương lai hợp tác, đặc biệt là trong năm 2017, khi hai bên kỷ niệm 40 năm thiết lập quan hệ.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຕີລາຄາສູງບັນດາຄວາມມານະພະຍາຍາມ, ຄວາມຮັບຜິດຊອບ ແລະປະສິດທິຜົນຂອງທ່ານນາງ Pratibha Mehta, ໃນການປະສານງານ, ການຜັນຂະຫຍາຍບັນດາລາຍການ, ໂຄງການຂອງສະຫະປະຊາຊາດຢູ່ ຫວຽດນາມ ແລະເລື່ອງຊຸກຍູ້ການພັດທະນາການພົວພັນຮ່ວມມືລະຫວ່າງຫວຽດນາມ ແລະບັນດາອົງການ ຂອງສະຫະປະຊາຊາດ.	Thủ tướng Nguyễn Xuân Phúc biểu dương nỗ lực, trách nhiệm và hiệu quả của Pratibha Mehta trong việc phối hợp, triển khai các chương trình, dự án của LHQ tại Việt Nam và thúc đẩy sự phát triển hợp tác giữa Việt Nam với các cơ quan của LHQ.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ປາດຖະໜາວ່າ, ເຖິງວ່າຢູ່ໃນຖານະຕໍາແໜ່ງໃດກໍ່ຕາມ, ທ່ານນາງ Pratibha Mehta ຈະສືບຕໍ່ສະໜັບສະໜູນການພັດທະນາການພົວພັນລະຫວ່າງ ສະຫະປະຊາຊາດກັບຫວຽດນາມ.	Thủ tướng Nguyễn Xuân Phúc mong rằng, dù ở cương vị nào, bà Pratibha Mehta sẽ tiếp tục ủng hộ sự phát triển của quan hệ LHQ-Việt Nam.
ທ່ານນາງ Pratibha Mehta ໄດ້ຕີລາຄາສູງທີ່ຕັ້ງບົດບາດຂອງ ຫວຽດນາມ ໃນການເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວຂອງສະຫະປະຊາຊາດ.	Pratibha Mehta ca ngợi vai trò của Việt Nam trong việc tham gia các hoạt động của Liên hợp quốc.
ທ່ານນາງ Pratibha Mehta ໃຫ້ຮູ້ວ່າ, ການພົວພັນຮ່ວມມືລະຫວ່າງສອງຝ່າຍໃນໄລຍະຜ່ານມາໄດ້ມີການພັດທະນາຫຼາຍຢ່າງ ແລະເປັນຂີດໝາຍໃໝ່, ເປັນຕົ້ນແມ່ນ ຫວຽດນາມ ເຂົ້າຮ່ວມກໍາລັງຮັກສາສັນຕິພາບຂອງສະຫະປະຊາຊາດ;	Theo ông Pratibha Mehta, thời gian qua quan hệ hai nước phát triển và có nhiều triển vọng, trong đó có việc Việt Nam tham gia lực lượng gìn giữ hòa bình của Liên hợp quốc;
ພ້ອມກັນນັ້ນ ຫວຽດນາມ ກໍ່ໄດ້ດໍາລົງຕໍາແໜ່ງບົດບາດສະມາຊິກສະພາສິດທິມະນຸດ ອາຍຸການ 2014-2016 ສໍາເລັດຜົນ ແລະພວມເປັນສະມາຊິກຄະນະກຳມະການເສດຖະກິດ-ສັງຄົມ ຂອງສະຫະປະຊາຊາດ (ECOSOC) ໃນອາຍຸການ 2016-2018.	Đồng thời, Việt Nam đã đảm nhận tốt vai trò thành viên Hội đồng Nhân quyền nhiệm kỳ 2014-2016 và hiện là thành viên Hội đồng Kinh tế - Xã hội Liên hợp quốc (ECOSOC) nhiệm kỳ 2016-2018.
