ໃນຕອນເຊົ້າວັນທີ 21 ມິຖຸນາ, ສະມາຄົມນັກຂ່າວນະຄອນໂຮ່ຈີມິນ ໄດ້ຈັດພິທີສະເຫຼີມສະຫຼອງ 95 ປີ ແຫ່ງວັນສື່ມວນຊົນປະຕິວັດຫວຽດນາມ ແລະມອບລາງວັນສື່ມວນຊົນນະຄອນໂຮ່ຈີມິນ ຄັ້ງທິ 38.	Vào tháng 6 ngày 21 tháng 6, Hiệp hội Hòa giải Hồ Chí Minh Ngày Truyền thông Cách mạng Việt Nam 38.
ທ່ານ ຫງວຽນທ້ຽນເຍິນ ເລຂາຄະນະພັກນະຄອນ ໂຮ່ຈີມິນ ມອບລາງວັນສື່ມວນຊົນນະຄອນໂຮ່ຈີ ມິນ ຄັ້ງທິ 38 (ພາບ:qdnd.vn)	Giải thưởng Đảng Thành phố Hồ Chí Minh Mini Đảng 38 (Ảnh: QĐND.VN)
ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງ 95 ປີ ແຫ່ງວັນສື່ມວນຊົນປະຕິວັດຫວຽດນາມ (21/6/1925 – 21/6/2020), ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວັນຟຸກ ໄດ້ສົ່ງຈົດໝາຍເຖິງພະນັກງານ, ສະມາຊິກສະມາຄົມນັກຂ່າວຫວຽດນາມ ແລະບັນດາຜູ້ເຮັດວຽກງານສື່ມວນຊົນໃນທົ່ວປະເທດ.	Nhân dịp 95 năm giao thông truyền thông cách mạng Việt Nam, Việt Nam, Thủ tướng và Nhà báo Truyền thông Việt Nam trên toàn quốc.
ເນື້ອໃນຈົດໝາຍມີຕອນຂຽນວ່າ "ໃນຊຸມປີທີ່ຜ່ານມາ, ສື່ມວນຊົນໄດ້ໃກ້ຊິດຕິດແທດກັບແຜນນະໂຍບາຍ, ແນວທາງຂອງພັກ, ສ່ອງແສງຢ່າງມີຊີວິດຊີວາເຖິງທຸກດ້ານຊີວິດການເມືອງ, ເສດຖະກິດ, ສັງຄົມ;	Nội dung thư với "mới nhất" Trong năm qua, phương tiện truyền thông gần với các chính trị, kinh tế, xã hội, kinh tế xã hội;
ຕັ້ງໜ້າໂຄສະນາບັນດາຄຸນຄ່າອັນດີງາມ, ປັດໄຈໃໝ່, ຮູບແບບ, ວິທີເຮັດທີ່ດີ ແລະແບບຢ່າງວຽກດີຄົນເດັ່ນ, ນຳພາບພົດປະເທດ ແລະຊາວຫວຽດນາມທີ່ສະໜິດສະໜົມ, ສັນຕິພາບ, ມິດຕະພາບມາສູ່ເພື່ອນມິດໃນໂລກ.	Giá trị có giá trị tốt, các hình thức, chế độ, tốt như thế nào, và những cách Việt Nam, thân thiện, hòa bình, hòa bình và Việt Nam, hòa bình, hòa bình
ໃນໄລຍະທີ່ຈະມາເຖິງ, ສື່ມວນຊົນປະຕິວັດຫວຽດນາມ ຄວນໃກ້ຊິດຕິດແທດກັບທັດສະນະການເມືອງ, ການນຳພາຂອງພັກ, ກົດໝາຍຂອງລັດ, ການຜັນແປໃນສະພາບການຢູ່ພາຍໃນ ແລະຕ່າງປະເທດ ເພື່ອສ່ອງແສງຢ່າງຊັດເຈນ, ທັນການກ່ຽວກັບຊີວິດສັງຄົມຂອງປະເທດຊາດ, ຮັບໃຊ້ພາລະກິດຂອງພັກ ແລະ ປະຊາຊົນ.	Trong thời gian tới, tour du lịch cách mạng Việt Nam, hướng dẫn nhà nước, hệ thống sản phẩm trong xã hội của quốc gia, phục vụ sứ mệnh và nhân dân của Đảng.
ຕອນຄ່ຳວັນທີ 21 ມິຖຸນາ, ຢູ່ໂຮງລະຄອນໃຫຍ່, ນະຄອນຫຼວງຮ່າໂນ້ຍ ໄດ້ດຳເນີນພິທີສະຫຼຸບ ແລະມອບລາງວັນສື່ມວນຊົນລະດັບຊາດ ຄັ້ງທີ 14 ໃຫ້ແກ່ 103 ຜະລິດຕະພັນສື່ມວນຊົນທີ່ດີເດັ່ນ ໃນນັ້ນ ມີ 9 ລາງວັນ A, 21 ລາງວັນ B, 41 ລາງວັນ C ແລະ 32 ລາງວັນຊົມເຊີຍ.	Lần thứ hai, Hà Nội, thủ đô, Hà Nội đã thực hiện Giải thưởng Truyền thông Quốc gia lần thứ 14, 41 giải thưởng Truyền thông và 32 giải thưởng.
ນີ້ແມ່ນບັນດາຜະລິດຕະພັນສື່ມວນຊົນທີ່ດີເດັ່ນທາງດ້ານເນື້ອໃນ, ຮູບການ ແລະມີລັກສະນະກຳນົດທິດຫາງສຽງສັງຄົມ.	Đây là sản phẩm phương tiện tùy chọn nhất của nội dung, kịch bản và các đặc điểm của giọng nói xã hội.
ໃນຕອນເຊົ້າວັນທີ 21 ມິຖຸນາ, ສະມາຄົມນັກຂ່າວ ນະຄອນໂຮ່ຈີມິນ ໄດ້ຈັດພິທີສະເຫຼີມສະຫຼອງ 95 ປີ ແຫ່ງວັນສື່ມວນຊົນປະຕິວັດຫວຽດນາມ ແລະມອບລາງວັນສື່ມວນຊົນນະຄອນໂຮ່ຈີມິນ ຄັ້ງທິ 38.	Vào tháng 6 ngày 21 tháng 6, Hiệp hội Hòa giải Hồ Chí Minh Ngày Truyền thông Cách mạng Việt Nam 38.
ກ່ອນໜ້ານັ້ນ, ໃນວັນທີ 20 ມິຖຸນາ, ຄະນະການນຳນະຄອນໂຮ່ຈີມິນ ໂດຍທ່ານ ຫງວຽນທ້ຽນເຍິນ, ກຳມະການກົມການເມືອງ, ເລຂາຄະນະພັກນະຄອນ ນຳໜ້າ ໄດ້ລົງຢ້ຽມຢາມ ແລະອວຍພອນສະມາຄົມນັກຂ່າວນະຄອນໂຮ່ຈີມິນ.	Trước đó, ngày 20 tháng 6, Nguyễn Nguyên, Ủy ban Chính trị, Ủy ban Kho bạc Hou đã đến thăm và ban phước cho Hiệp hội Nhà báo Thành phố Hồ Chí Minh
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Vảy từ: Vovworld.vn.
