ກປ.ອອນໄລ - ເກາະ ກົນດາວ ໃນລະດູບານໃໝ່ໄດ້ນໍາເອົາຄວາມສວຍງາມທີ່ໃກ້ຊິດສະໜິດສະໜົມ ແລະເພີດເພີນມາໃຫ້.	Free - Star Warland Armor trong mùa giải mới đã mang lại vẻ đẹp gần gũi và tận hưởng.
ມີພູສູງຄຽງຂ້າງກັບທະເລທີ່ກວ້າງໃຫຍ່ໄພສານ.	Có một sườn núi cao với một biển rộng lớn.
ທ້ອງຟ້າປົກຄຸມໄປດ້ວຍເມກສີໝົ່ນ, ມີອາຍນໍ້າໝອກເຕັມໄປທົ່ວ.	Bầu trời được bao phủ bởi một đám mây, với hơi sương mù trong suốt.
ຖະໜົນຫົນທາງເກົ່າແກ່, ການດໍາລົງຊີວິດມີຄວາມສະຫງົບງຽບ.	Một con đường lớn hơn, sống là hòa bình.
ຢູ່ທີ່ນີ້, ເບິ່ງຄືວ່າແຕ່ລະມູມຂອງຖະໜົນ, ເຮືອນແຕ່ລະຫຼັງຕະຫຼອດຮອດງ່າໄມ້, ຍອດໄມ້ໃບຫຍ້າລ້ວນແຕ່ໄດ້ນຳມາບັນດາບົດເລື່ອງກ່ຽວກັບປະຫວັດສາດ, ຄວາມມຸ່ງມາດປາຖະໜາ ແລະຄວາມສວຍສົດງົດງາມຂອງເກາະໜ່ວຍນີ້ທີ່ເຄີຍເປັນ “ນາລົກບົນໜ້າໂລກ ທີ່ກໍາລັງບືນຕົວຂຶ້ນໄດ້ກາຍເປັນ “ສະຫວັນແຫ່ງການທ່ອງທ່ຽວ.	Ở đây, có vẻ như mỗi đường phố, mỗi con đường, cỏ dại của đại bàng, thế giới đã trở thành "sự gây ấn tượng trên trời".
ກົນດາວ ມີຫຼາຍສິ່ງຫຼາຍຢ່າງທີ່ສ້າງຄວາມປະທັບໃຈຢ່າງແຮງສໍາລັບແຂກທ່ອງທ່ຽວ.	Chartcase có nhiều thứ tạo ấn tượng mạnh mẽ cho khách du lịch.
ແຕ່ກ່ອນອື່ນໝົດແມ່ນ ບັນດາຕົ້ນຫູກວາງໃຫຍ່ອາຍຸຫຼາຍປີ.	Nhưng trước tiên những người rất lớn.
ປີ 1862, ທ່ານ Bonard ຜູ້ວ່າການພາກໃຕ້ໄດ້ເຊັນຂໍ້ຕົກລົງສ້າງຄຸກຢູ່ກົນດາວ, ນີ້ກໍ່ແມ່ນຈຸດເວລາເຊິ່ງບັນດາຕົ້ນຫູກວາງທໍາອິດໄດ້ປູກຢູ່ດິນແດນແຫ່ງນີ້.	1862, MR Board, Mr Bounard đã ký thỏa thuận nhà tù trên máy tính xách tay, đây là lần đầu tiên cưới.
ນັບແຕ່ນັ້ນມາຮອດປະຈຸບັນ, ບັນດາຕົ້ນຫູກວາງໄດ້ມີຊີວິດ ແລະໃຫຍ່ຂື້ນ, ມັນໄດ້ເປັນຮ່ອງຮອຍແຫ່ງການເວລາ, ເປັນປະຫວັດຂອງ ກົນດາວ ທີ່ເຫຼືອປະໄວ້.	Kể từ đó, cỏ dại cỏ dại và lớn hơn, đó là một dấu vết của thời gian, như là lịch sử của những người dẫn dắt của những người dẫn dắt.
ບັນດາຕົ້ນຫູກວາງ ທີ່ເກາະກົນດາວ.	Dệt lay với một ngôi sao bên trong.
ພາບ: ຫວູດິ່ງດົງ	Ảnh: Ven Vinh
