ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 19 ສິງຫາ 2020, ໄດ້ດໍາເນີນກອງປະຊຸມທາງໄກບັນດາປະທານສະພາແຫ່ງຊາດສາກົນ ຄັ້ງທີ 5 ປີ 2020.	Chiều ngày 19/8/2020, Hội nghị quốc tế các diễn giả của Quốc hội lần thứ V đã được tổ chức.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng tham dự kỳ họp.
ກອງປະຊຸມດັ່ງກ່າວໂດຍສະຫະພັນລັດຖະສະພາສາກົນ (IPU), ສະຫະປະຊາຊາດ ແລະສະພາແຫ່ງຊາດ ໂອຕຣິດ ສົມທົບກັນຈັດຕັ້ງໃນລະຫວ່າງວັນທີ 19-20 ສິງຫາ 2020.	Hội nghị do Liên minh Nghị viện Quốc tế (IPU), Liên hợp quốc và Quốc hội Áo phối hợp tổ chức từ ngày 19-20 / 8/2020.
ຫົວຂໍ້ສັງລວມຂອງກອງປະຊຸມຄັ້ງນີ້ແມ່ນ: ການນໍາພາຂອງລັດຖະສະພາເພື່ອປະຕິບັດລັດທິຫຼາຍຝ່າຍໃຫ້ມີປະສິດທິຜົນກວ່າ, ນໍາມາເຊິ່ງສັນຕິພາບ ແລະການພັດທະນາແບບຍືນຍົງໃຫ້ແກ່ປະຊາຊົນ ແລະໂລກ.	Chủ đề chính của kỳ họp lần này là: lãnh đạo Quốc hội thực hiện chủ nghĩa đa phương hiệu quả hơn, mang lại hòa bình và phát triển bền vững cho nhân dân và thế giới.
ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ກ່າວຄໍາເຫັນທີ່ວາລະປຶກສາຫາລືດ້ວຍຫົວຂໍ້: ຊຸກຍູ້ການກະທໍາຂອງລັດຖະສະພາ: ກໍລະນີສຸກເສີນກ່ຽວກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngên phát biểu tại phiên thảo luận “Ủng hộ hành động của Nghị viện: Tình trạng khẩn cấp về biến đổi khí hậu”.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທີ່ວາລະປຶກສາຫາລື “ຊຸກຍູ້ການກະທໍາຂອງລັດຖະສະພາ: ກໍລະນີສຸກເສີນກ່ຽວກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ , ທ່ານນາງ ຫງວຽນທິກິມເງິນ ຊີ້ແຈ້ງວ່າ: ການຕ້ານການປ່ຽນແປງຂອງດິນຟ້າອາກາດນັບມື້ນັບຮີບດ່ວນກວ່າ, ໂດຍສະເພາະແມ່ນໃນສະພາບການພະຍາດໂຄວິດ-19 ກໍາລັງສົ່ງຜົນສະທ້ອນຢ່າງຮ້າຍແຮງໃນຂອບເຂດທົ່ວໂລກ.	Tại diễn đàn, “Hỗ trợ hành động của Nghị viện: Các tình huống khẩn cấp về biến đổi khí hậu”, bà Nguyễn Thị Kim Ngên chỉ ra rằng cuộc chiến chống biến đổi khí hậu đang trở nên cấp thiết hơn, đặc biệt là trong bối cảnh tình hình toàn cầu đang diễn ra mạnh mẽ.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ໃຫ້ຮູ້ວ່າ, ໂດຍແມ່ນໜຶ່ງໃນບັນດາປະເທດຖືກສ່ຽງໄພສູງກວ່າເພິ່ນຍ້ອນການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ຫວຽດນາມ ຖືເປັນສໍາຄັນພິເສດ ແລະສະໜັບສະໜູນຄວາມມານະພະຍາຍາຍາມລວມຂອງປະຊາຄົມສາກົນເພື່ອຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ.	Theo bà Nguyễn Thị Kim Ngên, Việt Nam là một trong những quốc gia chịu nhiều rủi ro nhất do biến đổi khí hậu và ủng hộ các nỗ lực chung của cộng đồng quốc tế nhằm giải quyết vấn đề biến đổi khí hậu.
ເພື່ອຊຸກຍູ້ການກະທໍາຂອງລັດຖະສະພາຕໍ່ກັບສະຖານະການສຸກເສີນຍ້ອນການປ່ຽນແປງຂອງດິນຟ້າອາກາດກວ່າອີກ, ຕາມທ່ານນາງປະທານສະພາແຫ່ງຊາດ ຫງວຽນທິກິມເງິນ ແລ້ວ, ບັນດາລັດຖະສະພາຕ້ອງສືບຕໍ່ມີການກະທໍາຢ່າງແຮງຜ່ານການກໍ່ສ້າງກົດໝາຍ, ໃຫ້ສັດຕະຍາບັນບັນດາເອກະສານສາກົນກ່ຽວກັບການຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ;	Để tăng cường hơn nữa hành động của Quốc hội đối với các trường hợp khẩn cấp về biến đổi khí hậu, theo Chủ tịch Quốc hội Nguyễn Thị Kim Ngên, các nghị viện cần tiếp tục hành động mạnh mẽ thông qua việc xây dựng luật, phê chuẩn các văn kiện quốc tế về ứng phó với biến đổi khí hậu;
ເພີ່ມທະວີການສົມທົບກັບ IPU, ພິຈາລະນາປະຕິບັດບັນດາຂໍ້ສະເໜີແນະໃນໂຄງການດໍາເນີນງານລັດຖະສະພາກ່ຽວກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດຂອງ IPU ໃຫ້ສອດຄ່ອງກັບລະດັບຄວາມຮູ້ ແລະຄວາມຕ້ອງການພັດທະນາຂອງແຕ່ລະປະເທດ.	Tăng cường hợp tác với IPU, xem xét thực hiện các khuyến nghị của Kế hoạch hành động của Nghị viện về biến đổi khí hậu của IPU phù hợp với trình độ hiểu biết và nhu cầu phát triển của mỗi quốc gia.
ສິ້ນສຸດບົດກ່າວປາໄສ, ທ່ານນາງປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ຫງວຽນທິກິມເງິນ ສະເໜີໃຫ້ບັນດາອົງການຈັດຕັ້ງສາກົນ, ບັນດາປະເທດພັດທະນາເພີ່ມທະວີການໜູນຊ່ວຍບັນດາປະເທດກໍາລັງພັດທະນາຜັນຂະຫຍາຍບັນດາມາດຕະການຮັບມືກັບການປ່ຽນແປງຂອງດິນຟ້າອາກາດ, ເປັນຕົ້ນແມ່ນໃນສະພາບການພະຍາດໂຄວິດ-19 ຍັງຜັນແປຢ່າງສັບສົນ.	Cuối bài phát biểu, Chủ tịch Quốc hội Nguyễn Thị Kim Ngên kêu gọi các tổ chức quốc tế và các nước đang phát triển đẩy mạnh nỗ lực giúp đỡ các nước đang phát triển thực hiện các biện pháp ứng phó với biến đổi khí hậu, nhất là trong bối cảnh khủng hoảng.
