ກປ.ອອນໄລ - ທີມຊາດຫວຽດນາມ ຈະພົບປະກັບທີມຊາດລາວ ໃນວັນທີ 8 ພະຈິກ...	KPR Online - Đội tuyển quốc gia Việt Nam sẽ gặp đội tuyển quốc gia Lào vào ngày 8 tháng 11 ...
ຕອນທ່ຽງວັນທີ 5 ພະຈິກ, ທີມຊາດຫວຽດນາມ ໄດ້ໄປຮອດນະຄອນຫຼວງວຽງຈັນ (ປະເທດລາວ), ເລີ່ມຕົ້ນການເຂົ້າຮ່ວມການແຂ່ງຂັນ AFF Cup 2018.	Trưa 5/11, ĐTQG Việt Nam đã đặt chân đến thủ đô Vientiane (Lào) để bắt đầu tham dự AFF Cup 2018.
ໄລຍະທາງສັ້ນ, ເຮັດລະບຽບການເຂົ້າເມືອງຢ່າງວ່ອງໄວເຮັດໃຫ້ບັນດານັກກິລາມີຈິດໃຈສະຫວາດສະເຫວີຍ.	Quãng đường ngắn, thủ tục nhập cảnh nhanh chóng khiến các vận động viên phấn khích.
ມີແຟນບານຫວຽດນາມ ຫຼາຍຄົນທີ່ພວມດຳລົງຊີວິດຢູ່ປະເທດລາວ ໄດ້ມີໜ້າຢູ່ສະໜາມບິນແຕ່ເຊົ້າ ເພື່ອຕ້ອນຮັບບັນດານັກກິລາ ແລະຂໍລາຍເຊັນ.	Nhiều cổ động viên bóng đá Việt Nam đang sinh sống tại Lào đã ra sân bay từ sáng sớm để chào các vận động viên và xin chữ ký.
ຄູຝຶກ Park Hang-seo ໄດ້ຮຽກຮ້ອງບັນດານັກກິລາວ່າບໍ່ນຳໃຊ້ໂທລະສັບໃນຊ່ວງເວລາທີ່ດຳເນີນການແຂ່ງຂັນ AFF Cup 2018.	HLV Park Hang-seo khuyến cáo các vận động viên không sử dụng điện thoại trong thời gian diễn ra AFF Cup 2018.
ພາຍຫຼັງໄປຮອດໂຮງແຮມ, ບັນດານັກກິລາຍາດເວລາພັກຜ່ອນກ່ອນຊິມີການເຝິກຊ້ອມທຳອິດທີ່ສະໜາມກິລາ ອະນຸວົງ ຢູ່ປະເທດລາວ ໃນຕອນບ່າຍວັນດຽວກັນ.	Sau khi về đến khách sạn, các vận động viên sẽ nghỉ ngơi trước khi có buổi tập đầu tiên tại sân Thể thao phụ Lào vào chiều cùng ngày.
ກອງໜ້າ ກົງເຟື້ອງ ຍາດເວລາເຊັນເພື່ອເປັນຂອງຂວັນທີ່ລະນຶກໃຫ້ແກ່ແຟນບານ.	Các anh bảo vệ ký tặng làm kỷ niệm cho người hâm mộ.
ພາບ: Zing.vn.	Ảnh: Zing.vn.
ກ່ອນໜ້ານັ້ນ, ບັນດານັກກິລາທີມຊາດຫວຽດນາມ ໄດ້ເລືອກເອົາກອງກາງ ຫງວຽນວັນກວ໋ຽດ ເປັນຫົວໜ້າທີມຊາດຫວຽດນາມ ໃນການແຂ່ງຂັນ AFF Cup 2018.	Trước đó, các cầu thủ đội tuyển Việt Nam đã lựa chọn tiền vệ Nguyễn Văn Quyết là đội trưởng của đội tuyển Việt Nam tại AFF Cup 2018.
ທີມຊາດຫວຽດນາມ ຈະພົບປະກັບທີມຊາດລາວໃນວັນທີ 8 ພະຈິກ.	Đội tuyển quốc gia Việt Nam sẽ gặp đội tuyển quốc gia Lào vào ngày 8/11.
ໂດຍ: ທູຮັ່ງ.	By: Thu Rang.
