ກປ.ອອນໄລ - ກອງປະຊຸມສຸດຍອດອາຊຽນ+3 ທາງໄກ ຄາດຄະເນຈະດໍາເນີນໃນວັນທີ 14 ເມສາ.	Hội nghị Cấp cao dài hạn ASEAN + 3 dự kiến sẽ diễn ra vào ngày 14/4.
ການນໍາບັນດາປະເທດສະມາຊິກອາຊຽນ ພ້ອມກັບປະເທດຈີນ, ສ.ເກົາຫຼີ ແລະຍີ່ປຸ່ນ ຈະປຶກສາຫາລືກ່ຽວກັບວິທີປະສານສົມທົບກັນເພື່ອຜ່ານຜ່າເຊື້ອພະຍາດໂຄວິດ-19 ແລະຫຼຸດຜ່ອນຜົນກະທົບຫຍໍ້ທໍ້ຈາກເຊື້ອພະຍາດນີ້ຕໍ່ກັບເສດຖະກິດ-ສັງຄົມໃນພາກພື້ນລົງ.	Lãnh đạo các quốc gia thành viên ASEAN cùng với Trung Quốc, Hàn Quốc và Nhật Bản sẽ thảo luận các biện pháp cùng nhau khắc phục vi rút kiểm dịch-19 và giảm tác động của vi rút đối với tình hình kinh tế - xã hội trong khu vực.
ກອງປະຊຸມພິເສດລັດຖະມົນຕີການຕ່າງປະເທດອາຊຽນ-ຈີນ ຢູ່ນະຄອນຫຼວງວຽງຈັນ (ລາວ) ຈັດຂຶ້ນໃນວັນທີ 20 ກຸມພາ 2020.	Hội nghị Bộ trưởng Ngoại giao ASEAN-Trung Quốc đặc biệt tại Viêng Chăn (Lào) được tổ chức vào ngày 20 tháng 2 năm 2020.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່ອນທີ່ດໍາເນີນເຫດການ, ກຸ່ມນັກຂ່າວຫວຽດນາມ ຢູ່ ເຊີອູນ, ສ.	Trước khi xảy ra vụ việc, nhóm phóng viên Việt Nam tại Seoul, Israel.
ເກົາຫຼີ ໄດ້ມີການແລກປ່ຽນກັບທ່ານ Gunn Kim ຮອງລັດຖະມົນຕີການຕ່າງປະເທດ ສ.ເກົາຫຼີ ກ່ຽວກັບເຫດການທີ່ມີຄວາມໝາຍສໍາຄັນນີ້.	Triều Tiên đã trao đổi với Thứ trưởng Ngoại giao Hàn Quốc Gunn Kim về sự kiện quan trọng này.
ທ່ານ Gunn Kim ເນັ້ນໜັກເຖິງໂຄງການດໍາເນີນງານຕົ້ນຕໍຂອງກອງປະຊຸມສຸດຍອດອາຊຽນ+3 ຄັ້ງນີ້ ແມ່ນການຮັບມືກັບເຊື້ອພະຍາດໂຄວິດ-19, ການຮ່ວມມືໃນພາກພື້ນເພື່ອສະກັດກັ້ນເຊື້ອພະຍາດ ແລະຍົກອອກບັນດາມາດຕະການຫຼຸດຜ່ອນບັນດາຜົນກະທົບຫຍໍ້ທໍ້ຈາກເຊື້ອພະຍາດເຖິງເສດຖະກິດ-ສັງຄົມຂອງແຕ່ລະປະເທດ.	Gunn Kim nhấn mạnh rằng chương trình nghị sự chính của Hội nghị Cấp cao ASEAN + 3 là ứng phó với vi rút 19 ວິດ, hợp tác khu vực để ngăn chặn dịch bệnh và các biện pháp giảm thiểu tác động của dịch bệnh đối với nền kinh tế của mỗi quốc gia.
ທ່ານ Gunn Kim ຕີລາຄາວ່າ ນີ້ແມ່ນກອງປະຊຸມສໍາຄັນທີ່ເຕົ້າໂຮມຄວາມຕັດສິນໃຈດ້ານການເມືອງຂອງບັນດາການນໍາເພື່ອແກ້ໄຂເຊື້ອພະຍາດໂຄວິດ-19.	Gunn Kim mô tả đây là một cuộc họp quan trọng tập hợp các quyết định chính trị của các nhà lãnh đạo để giải quyết Kovi-19.
ຕີລາຄາກ່ຽວກັບວຽກງານກະກຽມໃຫ້ກອງປະຊຸມສຸດຍອດພິເສດນີ້, ທ່ານ Gunn Kim ເນັ້ນໜັກວ່າ ວິກິດການຄັ້ງນີ້ແມ່ນບໍ່ເຄີຍມີມາກ່ອນ ແລະເມື່ອບັນດາປະເທດມີແນວຄວາມຄິດຈັດຕັ້ງກອງປະຊຸມຂັ້ນສູງອາຊຽນ+3 ທາງໄກ, ຫວຽດນາມ ໄດ້ມີການກະທຳໂດຍໄວ ແລະຊ່ວຍກອງປະຊຸມຈັດຕັ້ງຢ່າງທັນການ.	Nhận xét về công tác chuẩn bị cho Hội nghị thượng đỉnh đặc biệt này, ông Gunn Kim nhấn mạnh đây là cuộc khủng hoảng chưa từng có và khi các nước có ý tưởng tổ chức Hội nghị Cấp cao ASEAN + 3, Việt Nam đã hành động nhanh chóng, giúp tổ chức Hội nghị cấp cao kịp thời.
ພ້ອມກັນນັ້ນ ຫວຽດນາມ ຍັງເປັນປະເທດຮັບຜິດຊອບຮຽບຮຽງຖະແຫຼງການຮ່ວມພາຍຫຼັງກອງປະຊຸມ.	Đồng thời, Việt Nam cũng chịu trách nhiệm soạn thảo tuyên bố chung sau cuộc họp.
ທ່ານ Gunn Kim ສະແດງຄວາມຂອບອົກຂອບໃຈຕໍ່ປະເທດປະທານອາຊຽນ ປີ 2020 ຫວຽດນາມ ແລະເຊື່ອໝັ້ນວ່າ ກອງປະຊຸມຈະບັນລຸໄດ້ຜົນງານຫຼາຍຢ່າງເຖິງວ່ານີ້ແມ່ນກອງປະຊຸມສຸດຍອດອາຊຽນ+3 ທາງໄກ ຄັ້ງທໍາອິດ.	Gunn Kim cảm ơn Việt Nam đã đảm nhiệm cương vị chủ tịch ASEAN vào năm 2020 và hy vọng rằng hội nghị thượng đỉnh sẽ đạt được nhiều thành tựu, mặc dù đây là hội nghị từ xa ASEAN + 3 đầu tiên.
