ກປ.ອອນໄລ - ວັນທີ 9 ມິຖຸນາ, ສະພາຄວາມໝັ້ນຄົງ ໄດ້ດໍາເນີນກອງປະຊຸມເປີດເຜີຍກ່ຽວກັບສະພາບການຢູ່ ຊູດັງ.	KUALA LUMPUR - Vào ngày 9 tháng 6, Hội đồng Bảo an đã tổ chức một cuộc họp mở về tình hình ở Sudan.
ຫວຽດນາມ ຮຽກຮ້ອງເພີ່ມທະວີຄວາມມານະພະຍາຍາມປົກປ້ອງສາມັນຊົນຢູ່ປະເທດນີ້.	Việt Nam kêu gọi nỗ lực hơn nữa để bảo vệ thường dân trong nước
ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ, ບັນດາປະເທດສະມາຊິກສະພາຄວາມໝັ້ນຄົງ ຮັບຮູ້ຄວາມຄືບໜ້າທີ່ດີທາງດ້ານການເມືອງ ແລະຄວາມໝັ້ນຄົງຢູ່ ຊູດັງ ນັບແຕ່ຕົ້ນປີ 2021 ມາຮອດປັດຈຸບັນ, ແຕ່ກໍແບ່ງປັນຄວາມວິຕົກກັງວົນກ່ຽວກັບສິ່ງທ້າທາຍຢູ່ປະເທດນີ້, ພິເສດແມ່ນວິກິດການດ້ານເສດຖະກິດ, ມະນຸດສະທໍາ ແລະສະພາບໃຊ້ຄວາມຮຸນແຮງລະຫວ່າງປະຊາຄົມຕ່າງໆຢູ່ພາກພື້ນ Darfur ພວມເພີ່ມຂຶ້ນ.	Tại cuộc họp, các thành viên Hội đồng Bảo an thừa nhận rằng các diễn biến chính trị và an ninh ở Sudan đã được tiến hành từ đầu năm 2021, nhưng cũng chia sẻ quan ngại về những thách thức của đất nước, đặc biệt là khủng hoảng kinh tế, khủng hoảng nhân đạo và cuộc nội chiến leo thang.
ສະພາຄວາມໝັ້ນຄົງ ດໍາເນີນກອງປະຊຸມເປີດເຜີຍກ່ຽວກັບສະພາບການຢູ່ ຊູດັງ.	Hạ viện đang tổ chức một cuộc họp mở về tình hình ở Sudan.
ພາບ: vov.vn.	Ảnh: vov.vn.
ທ່ານເອກອັກຄະລັດຖະທູດ ດັ້ງດິ່ງກຸ໊ຍ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ສປຊ ໄດ້ຊົມເຊີຍຄວາມຄືບໜ້າທີ່ດີໃນມໍ່ໆມານີ້ຢູ່ຊູດັງ ແລະຫວັງວ່າ ລັດຖະບານຊູດັງ ສືບຕໍ່ຊຸກຍູ້ວິວັດການເຊື່ອມຕໍ່, ໃນນັ້ນຮັບປະກັນໃຫ້ແມ່ຍິງເຂົ້າຮ່ວມຢ່າງຄົບຖ້ວນ, ສະເໝີພາບ ແລະມີຄວາມໝາຍ, ສອດຄ່ອງກັບຂໍ້ຕົກລົງສັນຕິພາບໃນວັນທີ 3 ຕຸລາ 2020.	Đại sứ Đặng Đình Quý, Trưởng Phái đoàn Việt Nam tại Liên hợp quốc, đánh giá cao những tiến triển gần đây của Sudan và mong muốn Chính phủ Sudan tiếp tục thúc đẩy kết nối, trong đó có việc đảm bảo phụ nữ tham gia đầy đủ, hòa bình và hòa bình vào năm 2020.
ທ່ານເອກອັກຄະລັດຖະທູດ ດັ້ງດິ່ງກຸ໊ຍ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈໍາ ສປຊ ກ່າວຄໍາເຫັນທີ່ກອງປະຊຸມ.	Đại sứ Đặng Đình Còi, Trưởng Phái đoàn Việt Nam tại Liên hợp quốc phát biểu tại buổi làm việc.
ພາບ: vov.vn.	Ảnh: vov.vn.
ທ່ານເອກອັກຄະລັດຖະທູດ ດັ້ງດິ່ງກຸ໊ຍ ຮຽກຮ້ອງລັດຖະບານຊູດັງ ເພີ່ມທະວີກໍາລັງຄວາມສາມາດປົກປ້ອງສາມັນຊົນ ແລະຜັນຂະຫຍາຍມາດຕະການ ເພື່ອແນໃສ່ແກ້ໄຂບັນຫາໃຊ້ຄວາມຮຸນແຮງລະຫວ່າງປະຊາຄົມຕ່າງໆຢູ່ Darfur.	Ông kêu gọi chính phủ Sudan tăng cường năng lực bảo vệ dân thường và thực hiện các biện pháp giải quyết bạo lực liên xã ở Darfur.
ທ່ານ ດັ້ງດິ່ງກຸ໊ຍ ເນັ້ນໜັກວ່າ ປະເທດນີ້ມີຄວາມຮັບຜິດຊອບແຖວໜ້າໃນການເຄົາລົບກົດໝາຍວ່າດ້ວຍມະນຸດສະທໍາສາກົນ, ສະກັດກັ້ນ ແລະລົງໂທດອາດຊະຍາກໍາທາງອາຍາທີ່ຮ້າຍແຮງປະເພດຕ່າງໆ.	Ông nhấn mạnh rằng đất nước có trách nhiệm tôn trọng luật nhân đạo quốc tế, ngăn chặn và trừng phạt tất cả các loại tội phạm nghiêm trọng.
ທ່ານເອກອັກຄະລັດຖະທູດ ຖືວ່າ ການສືບສວນຄວາມຮັບຜິດຊອບຕໍ່ການລະເມີດກົດໝາຍວ່າດ້ວຍມະນຸດສະທໍາສາກົນ, ອາດຊະຍາກຳທາງອາຍາທີ່ຮ້າຍແຮງຕ້ອງໄດ້ດໍາເນີນໃຫ້ສອດຄ່ອງກັບບັນດາຫຼັກການພື້ນຖານຂອງກົດໝາຍສາກົນ, ໃນນັ້ນມີບັນຫາເຄົາລົບເອກະລາດ, ອະທິປະໄຕແຫ່ງຊາດ.	Đại sứ cho rằng việc điều tra những người chịu trách nhiệm về các hành vi vi phạm luật nhân đạo quốc tế, tội phạm nghiêm trọng phải được thực hiện theo các nguyên tắc cơ bản của luật pháp quốc tế, bao gồm tôn trọng độc lập và chủ quyền quốc gia.
