ກປ.ອອນໄລ - ເອກະສານກອງປະຊຸມໃຫຍ່ທົ່ວປະເທດຄັ້ງທີ XIII ຂອງພັກແມ່ນບັນຫາ “ວຽກງານສຳຄັນຂອງປະເທດຊາດ.	Cuộc họp quốc gia Hội nghị quốc gia Đảng XIII là vấn đề "tầm quan trọng của quốc gia.
ສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ ແລະໃນນາມສ່ວນຕົວ ຂ້າພະເຈົ້າ ມີຄວາມເປັນກຽດ ແລະເຫັນໄດ້ຄວາມຮັບຜິດຊອບອັນໃຫຍ່ຫຼວງເມື່ອໄດ້ສູນກາງພັກ ເຊື່ອໝັ້ນມອບໝາຍໜ້າທີ່ໃຫ້ເຂົ້າຮ່ວມສອງອະນຸກຳມະການ: ອະນຸກຳມະການເອກະສານ ແລະອະນຸກຳມະການເສດຖະກິດ-ສັງຄົມຂອງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ.	Hội đồng tổng hợp cá nhân của xã hội học xã hội và tư nhân và Ủy ban tư nhân Trung tâm Hội nghị XIII và Hội nghị xã hội
ຫຼາຍເນື້ອໃນໃຫຍ່ ແລະໃໝ່, ບໍ່ພຽງແຕ່ໃຫ້ສຳລັບໄລຍະທາງ 5 ປີຈະມາເຖິງເທົ່ານັ້ນ, ຫາກຍັງມຸ່ງໄປເຖິງອະນາຄົດຮອດປີ 2045, ເມື່ອປະເທດຫວຽດນາມ ມີອາຍຸຄົບຮອບ 100 ປີຈະໄດ້ຮັບການວາງແຜນກຳນົດໂດຍພັກເຮົາ...	Nội dung rất lớn và mới, không chỉ trong năm năm tới được dự kiến bởi đảng, và cũng sẽ được lên kế hoạch vào ngày ...
ອີກດ້ວຍ.	Nữa.
ຮສຈ.	ảnh
ປອ ບຸ່ຍເຍິດກວາງ, ກໍາມະການສຳຮອງສູນກາງພັກ, ປະທານສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ ເນັ້ນໜັກຄືແນວນັ້ນໃນການສົນທະນາຢ່າງເປີດອົກເປີດໃຈກັບພວກຂ້າພະເຈົ້າກ່ອນໜ້າປີໃໝ່ 2020-ປີທີ່ຈະດຳເນີນກອງປະຊຸມໃຫຍ່ຂັ້ນຕ່າງໆຂອງພັກ ກ້າວໄປເຖິງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ.	Tổng thống Trương Tấn, Chủ tịch Trương Tấn Sang, cuộc trò chuyện chung với Hội nghị Tổng hợp XIII.
ສູນຄົ້ນຄວ້າວິທະຍາສາດ, ໃຫ້ຄຳປຶກສາດ້ານນະໂຍບາຍ ແລະບຳລຸງກໍ່ສ້າງໃຫຍ່ຂອງພັກ ແລະ ລັດ	Trung tâm nghiên cứu khoa học, chính sách lớn và tư vấn nhà nước
ນັກຂ່າວ: ທ່ານຮັບໜ້າທີ່ເປັນປະທານສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ ຫ່າງຈາກນີ້ບໍ່ດົນ ແລະເປັນປະທານທີ່ມີອາຍຸໜຸ່ມທີ່ສຸດ ເຊິ່ງຫາກໍ່ 44 ປີ.	Các nhà báo: Bạn tham gia một tổng thống của Hội đồng Xã hội học Khoa học Xã hội Việt Nam
ຄວາມຮູ້ສຶກ ແລະຄວາມຄິດຂອງທ່ານໃນຕອນນັ້ນຄືແນວໃດ?	Bây giờ cảm xúc và suy nghĩ của bạn là gì?
ຮສຈ.	ảnh
ປອ ບຸ່ຍເຍິດກວາງ, ປະທານສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ.	Chủ tịch Trương Tấn Sang, Chủ tịch Hội đồng Hàn Quốc.
ພາບ: ຟ້າມກຽນ.	Ảnh: Phạm Kiên.
ຮສຈ.	ảnh
ປອ ບຸ່ຍເຍິດກວາງ: ຂ້າພະເຈົ້າ ຮູ້ສຶກຕື້ນຕັນໃຈທີ່ສຸດເມື່ອທ່ານ ຫງວຽນຊວນຟຸກ, ກຳມະການກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີ ມາເຂົ້າຮ່ວມພິທີປະກາດ ແລະມອບຂໍ້ຕົກລົງແຕ່ງຕັ້ງໃຫ້ຂ້າພະເຈົ້າ.	Chủ tịch Truong Deer: Tôi cảm thấy chán nản nhất khi ông Nguyễn Xuân Phúc, Sở Chính trị, Thủ tướng, đã tham dự buổi lễ và công bố cuộc hẹn của tôi.
ຄວາມເອົາໃຈໃສ່ນັ້ນບໍ່ພຽງແຕ່ສະຫງວນໃຫ້ແກ່ຂ້າພະເຈົ້າ ເທົ່ານັ້ນ ຫາກຍັງສະຫງວນໃຫ້ວົງການວິທະຍາສາດເວົ້າລວມ, ສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ ເວົ້າສະເພາະ.	Sự chú ý đó không chỉ dành cho tôi, và khoa học về khoa học đặc biệt là trong xã hội học tiếng Lào.
ເມື່ອໄດ້ດຳລົງຕຳແໜ່ງ, ຂ້າພະເຈົ້າທັງມີຄວາມດີໃຈ, ທັງມີຄວາມເປັນຫ່ວງເປັນໃຍໜ້ອຍໜຶ່ງ ແຕ່ວ່າກໍ່ເຊື່ອໝັ້ນຕົນເອງຕໍ່ກັບບັນດາວຽກງານທີ່ຈະມາເຖິງຂອງອົງການ.	Sau khi được tổ chức, tôi đều hạnh phúc, cả hai lòng trắc ẩn ít hơn, nhưng thực sự tin tưởng mình đến công việc sắp tới của cơ quan.
ໜ້າທີ່ຂອງສະພາມະຫາບັນດິດນັບມື້ນັບໜັກໜ່ວງ, ບໍ່ພຽງແຕ່ແມ່ນສູນຄົ້ນຄວ້າໃຫຍ່ເທົ່ານັ້ນຫາກຍັງແມ່ນສູນໃຫ້ຄຳປຶກສາດ້ານນະໂຍບາຍຂອງພັກ ແລະລັດ, ບັນດາການຄົ້ນຄວ້າຂອງສະຖາບັນຕ້ອງປະກອບສ່ວນເຮັດແຈ້ງຕໍ່ແນວທາງພັດທະນາຂອງປະເທດໃນໄລຍະໃໝ່ດ້ວຍຈິດໃຈວິທະຍາສາດ, ປ່ຽນແປງໃໝ່ຫົວຄິດປະດິດສ້າງ.	Nhiệm vụ của Hội đồng quản trị là trung tâm nghiên cứu chung và chung duy nhất, với những người mới được đổi mới.
ຂົງເຂດຄຸ້ມຄອງຂອງສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ ກວ້າງຂວາງພໍສົມຄວນດ້ວຍ 42 ອົງການຂຶ້ນກັບ, ລວມມີຫຼາຍສະຖາບັນສະເພາະຂະແໜງການ, ຮາກຖານບຳລຸງສ້າງ, ສຳນັກພິມ, ຫໍພິພິທະພັນ, ບັນດາສະຖາບັນຄົ້ນຄວ້າເຂດ...	Việc quản lý Machiology xã hội học Lào có nhiều tổng hợp xã hội học Lào, bao gồm Bảo tàng, Kỹ thuật chung, Bảo tàng ...
ແລະມີພະນັກງານ, ລັດຖະກອນ, ພາລະກອນກວ່າ 2000 ຄົນ.	Và với nhân viên, công chức, 2000 lagrams.
ສະພາມະຫາບັນດິດມີມູນເຊື້ອຍາວນານດ້ວຍນັກວິທະຍາສາດຫຼາຍຄົນທີ່ມີຊື່ສຽງ ແລະເກັ່ງກ້າສາມາດ, ຍາມໃດພັກ, ລັດ ກໍ່ໄດ້ເອົາໃຈໃສ່, ສະໜັບສະໜູນ ແລະນັບມື້ນັບໄດ້ຮັບຄວາມເອົາໃຈໃສ່.	Nhiều tổng hợp trong kho dài với nhiều nhà khoa học, và tốt, tất cả, hỗ trợ và hỗ trợ và tăng lên.
ເປັນຜູ້ນຳໜ້າໝູ່ຄະນະຄືແນວນັ້ນ, ຂ້າພະເຈົ້າຮູ້ສຶກເປັນກຽດ ແລະມີຄວາມເອກອ້າງທະນົງໃຈທີ່ສຸດແຕ່ກໍ່ເຫັນວ່າຄວາມຮັບຜິດຊອບຂອງຕົນແມ່ນໜັກໜ່ວງໃນການປະຕິບັດໜ້າທີ່ທີ່ໄດ້ຮັບມອບໝາຍ ເພື່ອພ້ອມກັບອົງຄະນະພັກ ແລະຄະນະນຳຊຸກຍູ້ການພັດທະນາຂອງສະພາມະຫາບັນດິດ ຖືກຕາມທິດທາງ, ສືບຕໍ່ຢັ້ງຢືນບົດບາດ ແລະບັນດາການປະກອບສ່ວນຂອງວົງການວິທະຍາສາດ-ສັງຄົມໃນບາດກ້າວເດີນຂອງກິດຈະການປ່ຽນແປງໃໝ່ປະເທດຊາດ.	Là các nhà lãnh đạo lãnh đạo, tôi cảm thấy danh dự và ảnh hưởng nhiều nhất của phái đoàn và việc xây dựng sự phát triển của quốc gia Khammats và Ủy ban Chỉ thị
ບັນຫາ “ວຽກງານສຳຄັນຂອງປະເທດ ແລະຈິດໃຈ “ເມົາມົວຫຼົງໄຫຼ ໃນວິທະຍາສາດ	"Phát hành" công việc thiết yếu của đất nước và tâm trí say rượu "
ນັກຂ່າວ: ປີ 2020, ພວກເຮົາຈະດຳເນີນກອງປະຊຸມໃຫຍ່ຂັ້ນຕ່າງໆຂອງພັກ ກ້າວໄປເຖິງກອງປະຊຸມຄັ້ງທີ XIII ຂອງພັກ.	Nhà báo: 2020, chúng tôi sẽ điều hành cuộc họp chung của Đảng đến cuộc họp của Đảng XIII.
ບັນດາເອກະສານກອງປະຊຸມໃຫຍ່, ເວົ້າຕາມທ່ານແລ້ວແມ່ນບັນຫາ “ວຽກງານສຳຄັນຂອງປະເທດຊາດ ຈະໄດ້ປຶກສາຫາລືຢ່າງກວ້າງຂວາງ.	Các cuộc họp chung, nói rằng theo sau là bạn, "Phát hành" tầm quan trọng của quốc gia sẽ được thảo luận rộng rãi.
ເປັນຜູ້ເຂົ້າຮ່ວມສ້າງຮ່າງເອກະສານຈຳນວນໜຶ່ງ, ທ່ານມີຄວາມຈັບໃຈຕໍ່ກັບບັນດາເນື້ອໃນໃໝ່ໃດແດ່?	Bất kỳ người tham gia nào thực hiện một số dự thảo, bạn với nội dung mới nào?
ຮສຈ.	ảnh
ປອ ບຸ່ຍເຍິດກວາງ: ສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ ແມ່ນໜຶ່ງໃນບັນດາອົງການເຂົ້າຮ່ວມວຽກງານກໍ່ສ້າງບັນດາເອກະສານຂອງກອງປະຊຸມໃຫຍ່ ຄັ້ງທີ XIII ຂອງພັກ ທີ່ຈະມາເຖິງນີ້.	Chủ tịch Trương Tấn Sang, công việc xây dựng công việc của Hội nghị nói chung XIII.
ຂ້າພະເຈົ້າ ຕາງໜ້າໃຫ້ສະພາມະຫາບັນດິດວິທະຍາສາດສັງຄົມຫວຽດນາມ ແມ່ນສະມາຊິກຂອງອະນຸກຳມະການເອກະສານ ແລະອະນຸກຳມະການເສດຖະກິດ-ສັງຄົມຂອງກອງປະຊຸມໃຫຍ່.	Tôi đại diện cho các hướng dẫn xã hội học tiếng Lào, khoa học xã hội và Ủy ban kinh tế xã hội của Việt Nam cho hội nghị nói chung.
ສາມາດເວົ້າໄດ້ວ່າ, ພາຍໃຕ້ການຊີ້ນຳຂອງຄະນະບໍລິຫານງານສູນກາງພັກ, ກົມການເມືອງ, ຄະນະເລຂາທິການ, ຮ່າງເອກະສານໄດ້ສ້າງເປັນຮູບເປັນຮ່າງ ແລະຜ່ານວິວັດການຄົ້ນຄວ້າ, ສຳຫຼວດຢ່າງລະອຽດ, ໄດ້ດຳເນີນການກໍ່ສ້າງຢ່່າງມີແບບມີແຜນ, ມີວິທະຍາສາດ, ມີການສຸມສະຕິປັນຍາຂອງບັນດາຂັ້ນ, ບັນດາຂະແໜງການ, ຜູ້ນຳ, ນັກວິທະຍາສາດ ແລະໃນໄລຍະຈະມາເຖິງຈະໄດ້ປຶກສາຫາລື, ຮັບເອົາຄຳຄິດຄຳເຫັນຢ່າງກວ້າງຂວາງ.	Có thể nói, dưới sự chỉ đạo của ủy ban giám đốc, thư ký, trọng tâm, lãnh đạo, bê tông
ຂ້າພະເຈົ້າມີຄວາມຈັບໃຈຕໍ່ບາງເນື້ອໃນໃນວິວັດການຄົ້ນຄວ້າ, ປະກອບມີ:	Tôi phải bắt kịp một số nội dung trong nghiên cứu, bao gồm:
ຮ່າງເອກະສານໄດ້ກຳນົດບັນດາເປົ້າໝາຍພັດທະນາໃຫ້ປະເທດຢ່າງຈະແຈ້ງ, ຕາມນັ້ນແລ້ວເຖິງປີ 2025, ຫວຽດນາມ ຈະກາຍເປັນປະເທດອຸດສາຫະກຳຕາມທິດທັນສະໄໝໂດຍພື້ນຖານ, ມີລາຍຮັບລື່ນກາຍລາຍຮັບປານກາງຕ່ຳ;	Dự thảo tài liệu rõ ràng với đất nước, vì nó lên tới năm 2025, Việt Nam sẽ trở thành một thu nhập chế độ thấp
ຮອດປີ 2030 ຈະກາຍເປັນປະເທດອຸດສາຫະກຳທັນສະໄໝ, ມີລາຍຮັບປານກາງສູງ ແລະຮອດປີ 2045 ຈະກາຍເປັນປະເທດພັດທະນາ, ມີລາຍຮັບສູງ.	Đến năm 2030 sẽ trở thành một ngành công nghiệp hiện đại, với những người cao cấp và đến năm 2045 để trở thành một quốc gia đang phát triển, với doanh thu cao.
ສິ່ງໜຶ່ງທີ່ຂ້າພະເຈົ້າຈັບໃຈນັ້ນແມ່ນແຜນຮ່າງຍຸດທະສາດພັດທະນາເສດຖະກິດ-ສັງຄົມ 2021-2030 ໄດ້ກຳນົດໜຶ່ງເນື້ອໃນສຳຄັນທີ່ກ່ຽວຂ້ອງເຖິງວິທະຍາສາດສັງຄົມ, ນັ້ນແມ່ນ: “ຊຸກຍູ້ການພັດທະນາວິທະຍາສາດສັງຄົມ ແລະມະນຸດສາດຢ່າງແຮງ ເພື່ອມີພື້ນຖານວິທະຍາສາດຮັບໃຊ້ໃຫ້ແກ່ກິດຈະການປ່ຽນແປງໃໝ່, ພັດທະນາເສດຖະກິດ-ສັງຄົມໃຫ້ດີທີ່ສຸດ.	Một điều tôi quan tâm khoảng 2021-2030 phát triển kinh tế xã hội và kinh tế phát triển phát triển khoa học xã hội
ປຸກລຸກກຳລັງແຮງໃນການປະດິດຄິດສ້າງ, ຍົກສູງຄວາມຮັບຜິດຊອບ ແລະເຄົາລົບຄວາມແຕກຕ່າງໃນວຽກງານຄົ້ນຄວ້າວິທະຍາສາດສັງຄົມ ແລະມະນຸດສາດ.	Fake up được phát minh, nâng cao trách nhiệm và sự tôn trọng trong khoa học xã hội và xã hội.
ແນ່ນອນວ່າ, ຕ້ອງມີການເຄົາລົບຄວາມເສລີໃນແນວຄິດແຕ່ວ່າຕ້ອງນອນໃນຂອບເຂດຂອງພື້ນຖານປະຊາທິປະໄຕສັງຄົມນິຍົມ.	Chắc chắn, tôn trọng sự tự do của suy nghĩ nhưng phải ngủ ở chân trời của nền tảng xã hội xã hội xã hội.
ເນື້ອໃນຂອງພື້ນຖານເສດຖະກິດຕະຫຼາດກຳນົດທິດສັງຄົມນິຍົມໃນເອກະສານກອງປະຊຸມໃຫຍ່ກໍ່ຈະສືບຕໍ່ໄດ້ເຮັດແຈ້ງ ແລະລະອຽດກວ່າ.	Nội dung của nền kinh tế cơ bản đòi hỏi chủ nghĩa xã hội trong các tài liệu hội nghị nói chung sẽ tiếp tục rõ ràng và nhiều hơn nữa.
“ບົດບາດຫຼັກແຫຼ່ງຂອງເສດຖະກິດພາກລັດ, ຮັບຮູ້ກ່ຽວກັບ “ເສດຖະກິດພາກເອກະຊົນແມ່ນ “ກຳລັງໜູນສຳຄັນ ກໍ່ຕ້ອງໄດ້ເຂົ້າໃຈຢ່າງຮອບດ້ານ, ຖືກຕ້ອງ ແລະປ່ຽນແປງໃໝ່.	"Nguồn kinh tế kinh tế công cộng, công nhận" kinh tế tư nhân là "quan trọng, chính xác và thay đổi.
ພວກຂ້າພະເຈົ້າຫວັງວ່າ ບັນດາເອກະສານສະບັບຕ່າງໆໃນຄັ້ງນີ້ມີຄວາມເສລີ, ເປີດອົກເປີດໃຈກວ່າດ້ວຍຈິດໃຈປ່ຽນແປງໃໝ່, ມີຫົວຄິດປະດິດສ້າງ, ເຕົ້າໂຮມບັນດາແຫຼ່ງກຳລັງ ເພື່ອນຳປະເທດພັດທະນາໂດຍໄວ, ຍືນຍົງໃນໄລຍະໃໝ່.	Chúng tôi hy vọng tài liệu này là miễn phí, dễ dàng hơn, được chuyển đổi, với sự đổi mới, được truyền đạt bởi đất nước.
ຂໍຂອບໃຈ!	Cảm ơn!
ໂດຍ: ແສງເດືອນ.	Đăng bởi: Tháng ánh sáng.
