ກປ.ອອນໄລ - ການຢ້ຽມຢາມສະຫະພາບເອີລົບ (ອີຢູ) ແລະລົງນາມໃນສັນຍາລະຫວ່າງລັດຖະບານແຫ່ງ ສສ.	KPR Online - Đến thăm Liên minh Châu Âu (EU) và ký thỏa thuận giữa Chính phủ Hàn Quốc.
ຫວຽດນາມ ແລະອີຢູ ກ່ຽວກັບການສ້າງຂອບເຂດທີ່ຫວຽດນາມ ເຂົ້າຮ່ວມບັນດາການເຄື່ອນໄຫວຄວບຄຸມວິກິດການຂອງ ອີຢູ (FPA) ຂອງທ່ານພົນເອກ ໂງຊວນລິກ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ໄດ້ປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມ.	Việt Nam và EU về việc Việt Nam thiết lập khuôn khổ tham gia các hoạt động Kiểm soát Khủng hoảng của EU (FPA) do Thượng tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam, Bộ trưởng Bộ Quốc phòng Việt Nam thiết lập đã thành công tốt đẹp.
ສັນຍາ FPA ເປັນຂີດໝາຍບາດກ້າວພັດທະນາສໍາຄັນໃນການພົວພັນດ້ານປ້ອງກັນຊາດລະຫວ່າງຫວຽດນາມ ແລະອີຢູ, ປະກອບສ່ວນຊຸກຍູ້ ແລະເຮັດໃຫ້ສັນຍາຄູ່ຮ່ວມມື ແລະຮ່ວມມືຮອບດ້ານລະຫວ່າງຫວຽດນາມ-ອີຢູ (PCA) ເລິກເຊິ່ງກວ່າອີກ.	FPA là một dấu mốc quan trọng trong quá trình phát triển quan hệ quốc phòng giữa Việt Nam và EU, góp phần đưa Hiệp định Đối tác và Hợp tác Toàn diện Việt Nam - EU (PCA) đi vào chiều sâu.
ຄຽງຂ້າງນັ້ນ, ການຢ້ຽມຢາມ ອີຢູ ແລະລົງນາມໃນສັນຍາ FPA ກໍ່ສະແດງໃຫ້ເຫັນຈິດໃຈເປັນເຈົ້າການ, ມີຄວາມຮັບຜິດຊອບຂອງຫວຽດນາມ ໃນການຊຸກຍູ້ຄວາມມານະພະຍາຍາມລວມແນໃສ່ນໍາມາເຊິ່ງສັນຕິພາບ, ສະຖຽນລະພາບ ແລະການພັດທະນາຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Đồng thời, chuyến thăm EU và ký kết FPA thể hiện cam kết và cam kết của Việt Nam trong việc thúc đẩy các nỗ lực chung nhằm mang lại hòa bình, ổn định và phát triển cho khu vực và thế giới.
ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານບາງຮູບພາບກ່ຽວກັບການເຄື່ອນໄຫວຂອງທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ.	Báo Quân đội nhân dân Việt Nam giới thiệu một số hình ảnh hoạt động của Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam.
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ພົບປະກັບທ່ານນາງ Federica Mogherini ຮອງປະທານຄະນະກໍາມະການເອີລົບ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam tiếp bà Federica Mogherini, Phó Chủ tịch Ủy ban Châu Âu.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ແລະທ່ານ Claudio Graziano ປະທານຄະນະກໍາມະການການທະຫານສະຫະພາບເອີລົບ (ອີຢູ).	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam và ông Claudio Graziano, Chủ tịch Quân ủy Liên minh châu Âu (EU).
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ແລະທ່ານນາງ Federica Mogherini ຮອງປະທານຄະນະກໍາມະການເອີລົບ ເຊັນສັນຍາ FPA.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam và bà Federica Mogherini, Phó Chủ tịch Ủy ban Châu Âu ký Hiệp ước FPA.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ທ່ານພົນເອກ ໂງຊວນລິກ ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ແລະທ່ານ Claudio Graziano ປະທານຄະນະກໍາມະການການທະຫານສະຫະພາບເອີລົບ (ອີຢູ) ຖ່າຍຮູບເປັນທີ່ ລະນຶກພ້ອມກັບບັນດາສະມາຊິກຂອງທັງສອງຝ່າຍ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng Việt Nam và ông Claudio Graziano, Chủ tịch Quân ủy Liên minh châu Âu (EU) chụp ảnh lưu niệm cùng các thành viên hai bên.
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
