ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 3 ມັງກອນ, ກົມໃຫຍ່ເສນາທິການໄດ້ຈັດຕັ້ງກອງປະຊຸມການເມືອງການທະຫານ ປີ 2017.	KPR Online - Sáng 3/1, Bộ Tổng Tham mưu tổ chức Hội nghị Chính trị - Quân sự năm 2017.
ທ່ານພົນໂທ ຟານວັນຢາງ, ຫົວໜ້າກົມໃຫຍ່ເສນາທິການ, ຮອງລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ເປັນປະທານກອງປະຊຸມ.	Trung tướng Phan Văn Giang, Tổng Tham mưu trưởng, Thứ trưởng Bộ Quốc phòng Việt Nam chủ trì buổi gặp mặt.
ປີ 2017, ກົມໃຫຍ່ເສນາທິການໄດ້ຊີ້ນໍາບັນດາອົງການ, ກົມກອງທົ່ວກອງທັບຮັກສາລະບອບກຽມພ້ອມສູ້ຮົບຢ່າງເຂັ້ມງວດ, ກໍາແໜ້ນສະພາບການ, ແກ້ໄຂບັນດາກໍລະນີຢ່າງທັນການ, ບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບ, ບັງເອີນ;	Năm 2017, Bộ Tổng Tham mưu đã chỉ đạo các tổ chức, phòng ban của Lực lượng vũ trang duy trì nghiêm chế độ sẵn sàng chiến đấu, nắm chặt tình hình, giải quyết kịp thời các vụ việc, không để xảy ra tình trạng thụ lý, trùng lặp;
ເປັນເສນາທິການໃຫ້ຄະນະພັກການທະຫານສູນກາງ, ກະຊວງປ້ອງກັນປະເທດຫວຽດນາມ ບັນດາແຜນນະໂຍບາຍ, ຍຸດໂທບາຍເພື່ອຮັບມື, ແກ້ໄຂບັນດາກໍລະນີ, ບັນດາຍຸດທະສາດ, ແຜນການພັດທະນາເສດຖະກິດ-ສັງຄົມຕິດພັນກັບການປັບປຸງການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ, ກໍ່ສ້າງພື້ນຖານທົ່ວປວງຊົນປ້ອງກັນຊາດ;	Bí thư Quân ủy Trung ương, Bộ Quốc phòng Việt Nam hoạch định chính sách, chiến lược giải quyết các vụ việc, chiến lược, kế hoạch phát triển kinh tế - xã hội liên quan đến quốc phòng, an ninh và bảo vệ Tổ quốc;
ສົມທົບກັນຮັບປະກັນຄວາມປອດໄພບັນດາເຫດການການເມືອງສໍາຄັນຂອງປະເທດຊາດ.	Phối hợp đảm bảo ANTT các sự kiện chính trị quan trọng của quốc gia.
ຊີ້ນໍາປ່ຽນແປງໃໝ່, ບຸກທະລຸໃນການຍົກສູງຄຸນນະພາບການຝຶກແອບ, ຈັດຕັ້ງບັນດາການຝຶກຊ້ອມໃຫຍ່, ຝຶກຊ້ອມເຂດປ້ອງກັນຕາມວິທີການໃໝ່ ແລະຈັດຕັ້ງຍິງເພື່ອກວດກາ, ທົດລອງລູກສອນໄຟຢ່າງຮັດກຸມ, ປອດໄພ.	Chỉ đạo chuyển biến, đột phá nâng cao chất lượng huấn luyện, tổ chức diễn tập quy mô lớn, diễn tập khu vực phòng thủ theo phương pháp và tổ chức bắn kiểm tra, thử nghiệm, bắn thử tên lửa chặt chẽ, an toàn.
ກົມໃຫຍ່ເສນາທິການໄດ້ຕິດຕາມກໍາແໜ້ນສະພາບການ, ຊີ້ນໍາທົ່ວກອງທັບເຂົ້າຮ່ວມແກ້ໄຂໄພທໍາມະຊາດ, ໄພພິບັດ, ອຸບັດຕິເຫດບົນທະເລຢ່າງທັນການ.	Bộ Tổng Tham mưu theo dõi tình hình, chỉ đạo toàn quân tham gia giải quyết kịp thời các sự cố thiên tai, tai nạn trên biển.
ຮັບຮູ້ບັນດາໝາກຜົນຂອງບັນດາອົງການ, ກົມກອງ, ກົມໃຫຍ່ເສນາທິການສະເໜີມອບຄັນທຸງແຂ່ງຂັນຂອງລັດຖະບານໃຫ້ບັນດາໝູ່ຄະນະ, ບຸກຄົນປະຕິບັດສໍາເລັດໜ້າທີ່ເປັນຢ່າງດີ.	Ghi nhận thành tích của các tổ chức, phòng, ban, Bộ Tổng tham mưu, trao cờ thi đua của Chính phủ cho các tập thể, cá nhân hoàn thành tốt.
ທ່ານພົນໂທ ຟານວັນຢາງ ສະຫຼຸບກອງປະຊຸມ.	Trung tướng Phan Văn Giang kết luận buổi làm việc.
ພາບ: ຊວນເຢີນ	Ảnh: Xuân Yên
ທີ່ກອງປະຊຸມ, ທ່ານພົນໂທ ຟານວັນຢາງ ຮຽກຮ້ອງບັນດາອົງການ, ກົມກອງປະຕິບັດຕາມພາລະບົດບາດ, ໜ້າທີ່ທີ່ໄດ້ຮັບມອບໝາຍ , ເປັນເຈົ້າການປ່ຽນແປງໃໝ່ວຽກງານເສນາທິການ, ຊີ້ນໍາການປະຕິບັດໜ້າທີ່ກຽມພ້ອມສູ້ຮົບ, ຍົກສູງຄຸນນະພາບການຄົ້ນຄວ້າ, ຕີລາຄາ, ຄາດຄະເນສະພາບການ, ແກ້ໄຂບັນດາກໍລະນີ, ບໍ່ປະໃຫ້ຕົກຢູ່ໃນທ່າຮັບ, ບັງເອີນ.	Tại buổi làm việc, Trung tướng Phan Văn Giang kêu gọi các cơ quan, ban ngành thực hiện tốt vai trò, trách nhiệm của mình, thay đổi công tác cán bộ, giám sát việc thực hiện sẵn sàng chiến đấu, nâng cao chất lượng nghiên cứu, đánh giá. , dự đoán các tình huống và giải quyết các sự cố.
