ກປ.ອອນໄລ - ກອງປະຊຸມລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ ເປີດກວ້າງ (ADMM+) ຄັ້ງທີ 5 ໄດ້ ໄຂຂຶ້ນໃນຕອນເຊົ້າວັນທີ 20 ຕຸລາ ທີ່ ສິງກະໂປ.	Hội nghị Bộ trưởng Quốc phòng ASEAN lần thứ 5 (ADMM +) đã khai mạc sáng 20/10 tại Singapore.
ເຂົ້າຮ່ວມກອງປະຊຸມມີບັນດາລັດຖະມົນຕີປ້ອງກັນປະເທດມາຈາກ 10 ປະເທດສະມາຊິກອາຊຽນ ແລະ 8 ປະເທດຄູ່ຮ່ວມມືເຈລະຈາລວມມີ ອາເມລິກາ, ລັດເຊຍ, ຈີນ, ຍີ່ປຸ່ນ, ສ.ເກົາຫຼີ, ອິນເດຍ, ອົດສະຕາລີ ແລະນິວຊີແລນ.	Cuộc họp có sự tham dự của các bộ trưởng quốc phòng từ 10 quốc gia thành viên ASEAN và 8 đối tác đối thoại, bao gồm Hoa Kỳ, Nga, Trung Quốc, Nhật Bản, Hàn Quốc, Ấn Độ, Australia và New Zealand.
ທ່ານພົນເອກ ໂງຊວນລິກ, ລັດຖະມົນຕີກະຊວງປ້ອງກັນປະເທດ ນຳໜ້າຄະນະຜູ້ແທນການທະຫານຂັ້ນສູງຫວຽດນາມເຂົ້າຮ່ວມກອງປະຊຸມ.	Đại tướng Ngô Xuân Lik, Bộ trưởng Bộ Quốc phòng dẫn đầu đoàn đại biểu quân sự cấp cao Việt Nam tham dự buổi tiếp.
ກອງປະຊຸມລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ ເປີດກວ້າງ ໄດ້ດຳເນີນ 1 ວັນພາຍຫຼັງບັນດາລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ ໄດ້ເຫັນດີເປັນເອກະພາບຮັບຮອງເອົາບັນດາຂໍ້ລິເລີ່ມກ່ຽວກັບການຮ່ວມມືຕ້ານການກໍ່ການຮ້າຍ, ໃນນັ້ນມີການສ້າງຕັ້ງຕາໜ່າງບັນດານັກຊ່ຽວຊານດ້ານອາວຸດຊີວະສາດ, ເຄມີ ແລະກຳມັນຕະພາບລັງສີ;	Hội nghị Bộ trưởng Quốc phòng ASEAN (AMDM) được tổ chức một ngày sau khi các Bộ trưởng Quốc phòng ASEAN nhất trí thông qua một số sáng kiến hợp tác chống khủng bố, bao gồm thành lập mạng lưới chuyên gia về vũ khí sinh học, hóa học và phóng xạ;
ຮັບຮອງເອົາລະບຽບຫຼັກການແນະນຳການຫຼີກລ້ຽງການປະທະກັນໂດຍບໍ່ເພິ່ງປາຖະໜາຂອງເຮືອບິນຮົບ.	Thông qua các quy tắc và quy định để tránh va chạm với máy bay chiến đấu.
ບັນຍາກາດທີ່ກອງປະຊຸມລັດຖະມົນຕີປ້ອງກັນປະເທດອາຊຽນ ເປີດກວ້າງ (ADMM+) ຄັ້ງທີ 5.	Không khí tại Hội nghị Bộ trưởng Quốc phòng ASEAN lần thứ 5 (ADMM +)
ພາບ: ທູຈາງ.	Ảnh: Thu Zhang
ລະບຽບຫຼັກການຫຼີກລ້ຽງການປະທະກັນທາງອາກາດນີ້ມີຄວາມໝາຍພິເສດສຳລັບສະພາບການປະຈຸບັນຢູ່ທະເລຕາເວັນອອກຍັງມີຄວາມສັບສົນຫຼາຍຢ່າງ.	Nguyên tắc tránh không kích đặc biệt phức tạp đối với tình hình Biển Đông hiện nay còn rất phức tạp.
ບັນດາລັດຖະມົນຕີ ASEAN ແລະບັນດາຄູ່ຮ່ວມມືໄດ້ດຳເນີນການປຶກສາຫາລືກ່ຽວກັບບັນດາມາດຕະການສະກັດກັ້ນ, ຮັບມືກັບໄພນາບຂູ່ຂອງລັດທິການກໍ່ການຮ້າຍ ແລະບັນດາມາດຕະການກໍ່ສ້າງຄວາມໄວ້ເນື້ອເຊື່ອໃຈ.	Các Bộ trưởng ASEAN và các đối tác đã thảo luận về các biện pháp ngăn chặn và đối phó với nguy cơ khủng bố và các biện pháp xây dựng lòng tin.
ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ ADMM+ ຄັ້ງທີ 5, ທ່ານລັດຖະມົນຕີ ໂງຊວນລິກ ຢືນຢັນວ່າ, ຫວຽດນາມຍາມໃດກໍ່ປາດຖະໜາຢາກໃຫ້ທະເລຕາເວັນອອກມີສັນຕິພາບ, ພັດທະນາ ແລະນຳມາເຊິ່ງຜົນປະໂຫຍດໃຫ້ທຸກຝ່າຍ.	Phát biểu tại ADMM + lần thứ 5, Bộ trưởng Ngô Xuân Lik khẳng định Việt Nam luôn mong muốn hòa bình, phát triển và mang lại lợi ích cho Biển Đông.
ຫວຽດນາມສະໜັບສະໜູນບັນດາມາດຕະການແກ້ໄຂການຂັດແຍ້ງກັນໂດຍສັນຕິວິທີ, ເຄົາລົບກົດໝາຍສາກົນ, ເຄົາລົບເອກະລາດ, ອຳນາດອະທິປະໄຕ, ຜົນປະໂຫຍດຂອງແຕ່ລະຝ່າຍ.	Việt Nam ủng hộ các biện pháp giải quyết tranh chấp một cách hòa bình, tôn trọng luật pháp quốc tế, độc lập, chủ quyền và các bên cùng có lợi.
