ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 23 ກັນຍາ, ທີ່ສຳນັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ George Mavrikos, ເລຂາທິການໃຫຍ່ສະຫະພັນກຳມະບານໂລກ (WFTU).	Thủ tướng Nguyễn Xuân Phúc tiếp Tổng thư ký World Cup (WFTU) George Mavrikos.
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າ, ພັກ, ລັດ, ປະຊາຊົນ ແລະຊາວຜູ້ອອກແຮງງານຫວຽດນາມ ຍາມໃດກໍ່ຕີລາຄາສູງບັນດາການສະໜັບສະໜູນອັນໃຫຍ່ຫຼວງ ແລະການປະກອບສ່ວນສຳຄັນຂອງສະຫະພັນກຳມະບານໂລກສຳລັບປະຊາຊົນ ແລະຊາວຜູ້ອອກແຮງງານຫວຽດນາມ.	Tại buổi tiếp, ông Nguyễn Xuân Phúc khẳng định Đảng, nhà nước, nhân dân và người lao động Việt Nam luôn đánh giá cao những đóng góp to lớn, quan trọng của Công đoàn Thế giới đối với nhân dân và người lao động Việt Nam.
ພິເສດສະຫະພັນກຳມະບານໂລກ ໄດ້ຈັດຕັ້ງກອງປະຊຸມສາກົນສາມັກຄີກັບຫວຽດນາມ...	World Cup đã tổ chức hội nghị quốc tế về tình đoàn kết với Việt Nam ...
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຕ້ອນຮັບທ່ານ George Mavrikos ເລຂາທິການໃຫຍ່ສະຫະພັນກຳມະບານໂລກ (WFTU).	Thủ tướng Nguyễn Xuân Phúc tiếp Tổng Thư ký Liên đoàn Công đoàn Thế giới (WFTU) George Mavrikos.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ໃນນາມ WFTU, ທ່ານ George Mavrikos ໄດ້ແບ່ງເບົາຄວາມທຸກໂສກກັບການນຳພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ ຕໍ່ການລ່ວງລັບໄປຂອງທ່ານ ເຈິ່ນດ້າຍກວາງ ປະທານປະເທດຫວຽດນາມ.	Thay mặt WFTU, ông George Mavrikos chia buồn cùng Đảng, Nhà nước và nhân dân Việt Nam trước việc Chủ tịch nước Trần Đại Quang từ trần.
ທ່ານ George Mavrikos ໃຫ້ຮູ້ວ່າ, WFTU ຍາມໃດກໍ່ເອົາໃຈໃສ່ຊຸກຍູ້ການພົວພັນຮ່ວມມື ແລະພ້ອມແລ້ວທີ່ຈະໜູນຊ່ວຍກຳມະບານຫວຽດນາມ ໃນບັນດາການເຄື່ອນໄຫວຮັບໃຊ້ການສ້າງສາ ແລະພັດທະນາປະເທດຊາດ.	Theo ông George Mavrikos, WFTU luôn sẵn sàng thúc đẩy hợp tác và sẵn sàng hỗ trợ Tổng LĐLĐ Việt Nam trong các hoạt động xây dựng và phát triển đất nước.
ທ່ານ George Mavrikos ກໍ່ສະແດງຄວາມຂອບອົກຂອບໃຈ, ຕີລາຄາສູງການຮ່ວມມືຢ່າງແໜ້ນແຟ້ນຂອງກຳມະບານຫວຽດນາມ ກັບ WFTU ໃນຕະຫຼອດໄລຍະຜ່ານມາ.	Ông George Mavrikos bày tỏ sự cảm ơn và đánh giá cao sự hợp tác bền chặt của Tổng Liên đoàn Việt Nam với WFTU trong những năm qua.
ປະກອບສ່ວນເຂົ້າໃນການພັດທະນາຂອງ WFTU.	Đóng góp vào sự phát triển của WFTU.
ບົນຈິດໃຈນັ້ນ, ທ່ານ ຫງວຽນຊວນຟຸກ ກໍ່ສະແດງຄວາມປາດຖະໜາວ່າ, ສະຫະພັນກຳມະບານໂລກຈະສືບຕໍ່ສະໜັບສະໜູນຫວຽດນາມ ແລະກຳມະບານຫວຽດນາມ ໃນການສ້າງສາ ແລະພັດທະນາປະເທດຊາດ;	Với suy nghĩ đó, Nguyễn Xuân Phúc bày tỏ mong muốn Liên đoàn Công đoàn Thế giới tiếp tục hỗ trợ Việt Nam và Liên đoàn Việt Nam xây dựng và phát triển đất nước;
ເອົາໃຈໃສ່, ສະໜັບສະໜູນກຳມະບານຫວຽດນາມໃນການເຊື່ອມໂຍງ, ພັດທະນາ, ເບິ່ງແຍງດູແລ, ປົກປ້ອງສິດ ແລະຜົນປະໂຫຍດອັນຊອບທຳຂອງຊາວຜູ້ອອກແຮງງານ...	Quan tâm cùng Tổng LĐLĐ Việt Nam hội nhập, phát triển, chăm lo, bảo vệ quyền và lợi ích hợp pháp của người lao động ...
ໂດຍ: ວຽງຄຳ.	Theo: Viengkham
