ກປ.ອອນໄລ - ຄະນະຜູ້ແທນຫວຽດນາມ ນໍາໂດຍທ່ານພົນເອກ ໂຕເລີມ, ລັດຖະມົນຕີກະຊວງຕຳຫຼວດ.	KPR Online - Đoàn Việt Nam do Thượng tướng Tô Lâm, Bộ trưởng Bộ Công an làm trưởng đoàn.
ກອງປະຊຸມລັດຖະມົນຕີສະມາຄົມປະຊາຊາດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (ອາຊຽນ) ກ່ຽວກັບການສະກັດກັ້ນ, ຕ້ານອາດຊະຍາກຳຂ້າມຊາດ ຄັ້ງທີ 13 (AMMTC-13) ແລະບັນດາກອງປະຊຸມກ່ຽວຂ້ອງໄດ້ໄຂຂຶ້ນໃນຕອນເຊົ້າວັນທີ 27 ພະຈິກ, ທີ່ນະຄອນຫຼວງບາງກອກ, ປະເທດໄທ, ດ້ວຍການເຂົ້າຮ່ວມຂອງຜູ້ຕາງໜ້າທີ່ມາຈາກ 10 ປະເທດສະມາຊິກອາຊຽນ.	Hội nghị Bộ trưởng Hiệp hội các quốc gia Đông Nam Á (ASEAN) lần thứ 13 về Phòng, chống tội phạm xuyên quốc gia (AMMTC-13) và các cuộc họp liên quan đã được tổ chức vào sáng 27/11 tại Bangkok, Thái Lan, với sự tham dự của đại diện 10 Các nước ASEAN.
ບັນດາລັດຖະມົນຕີ, ຫົວໜ້າຄະນະທີ່ພິທີໄຂ AMMTC-13.	Các Bộ trưởng, Trưởng đoàn dự lễ khai mạc AMMTC-13.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ທີ່ວາລະປະຊຸມຄົບຄະນະຂອງກອງປະຊຸມ, ບັນດາຜູ້ແທນຕີລາຄາສະພາບອາດຊະຍາກຳຂ້າມຊາດຂອງແຕ່ລະປະເທດ ກໍຄືພາກພື້ນໃນໄລຍະຜ່ານມາ.	Tại phiên họp toàn thể, các đại biểu đã đánh giá tình hình tội phạm xuyên quốc gia của từng quốc gia và khu vực trong thời gian qua.
ລາຍງານໂດຍສັງເຂບໝາກຜົນຂອງການຕ້ານ ແລະສະກັດກັ້ນອາດຊະຍາກຳຂ້າມຊາດຂອງຫວຽດນາມ ນັບແຕ່ພາຍຫຼັງກອງປະຊຸມ AMMTC-12 ມາຮອດປະຈຸບັນ, ທ່ານພົນເອກ ໂຕເລີມ ເນັ້ນໜັກເຖິງຄຳໝັ້ນສັນຍາຂອງຫວຽດນາມ ໃນເຂົ້າຮ່ວມບັນດາຂອບຮ່ວມມືຂອງອາຊຽນເວົ້າລວມ ແລະການຮ່ວມມືໃນຂົງເຂດຕ້ານ ແລະສະກັດກັ້ນອາດຊະຍາກຳຂ້າມຊາດເວົ້າສະເພາະຢ່າງຕັ້ງໜ້າ ແລະມີຄວາມຮັບຜິດຊອບ.	Báo cáo tóm tắt về kết quả đấu tranh phòng, chống tội phạm xuyên quốc gia của Việt Nam từ AMMTC-12 đến nay, Thượng tướng Tô Lâm nhấn mạnh cam kết của Việt Nam trong việc tham gia các khuôn khổ hợp tác ASEAN và hợp tác trong lĩnh vực chống vi phạm và chống tội phạm.
ທ່ານພົນເອກ ໂຕເລີມ ສະເໜີບັນດາປະເທດອາຊຽນ ສືບຕໍ່ຄົ້ນຄວ້າ, ສະໜັບສະໜູນຂໍ້ລິເລີ່ມຂອງຫວຽດນາມ ເພື່ອແນໃສ່ນຳອາດຊະຍາກຳຄ້າເຖື່ອນວັດຖຸບູຮານເຂົ້າຂົງເຂດບຸລິມະສິດຮ່ວມມືໃນຂອບເຂດ AMMTC.	Ông cho biết thêm, các nước ASEAN tiếp tục nghiên cứu, bổ sung các sáng kiến của Việt Nam nhằm đưa tội phạm chống buôn người trở thành lĩnh vực hợp tác ưu tiên trong khuôn khổ AMMTC.
ອົງການປະຕິບັດກົດໝາຍບັນດາປະເທດອາຊຽນ ຕ້ອງສືບຕໍ່ປັບປຸງການພົວພັນຮ່ວມມືໃນການຕ້ານ ແລະສະກັດກັ້ນອາດຊະຍາກຳຂ້າມຊາດ;	Các cơ quan thực thi pháp luật ASEAN phải tiếp tục cải thiện hợp tác đấu tranh và ngăn chặn tội phạm xuyên quốc gia;
ແບ່ງປັນບົດຮຽນກ່ຽວກັບການຕ້ານ ແລະສະກັດກັ້ນຢາເສບຕິດ;	Chia sẻ những bài học về phòng, chống ma tuý;
ເພີ່ມທະວີການຮ່ວມມືສືບສວນລວມ ແລະຝຶກອົບຮົມຍົກສູງຄວາມສາມາດໃຫ້ພະນັກງານປະຕິບັດກົດໝາຍ;	Tăng cường hợp tác trong điều tra chung và nâng cao năng lực cho các cán bộ thực thi pháp luật;
ຍູ້ແຮງການຮ່ວມມືໃນການປະຕິບັດຄວາມຕ້ອງການທາງດ້ານຍຸຕິທຳໃນບັນຫາອາຍາລະຫວ່າງບັນດາປະເທດ ອາຊຽນ ແລະບັນດາຄູ່ຮ່ວມມືຢ່າງມີປະສິດທິຜົນ....	Tăng cường hợp tác thực hiện các nhu cầu tư pháp hình sự giữa các nước ASEAN và các đối tác một cách hiệu quả….
ສິ້ນສຸດກອງປະຊຸມ AMMTC-13, ບັນດາຫົວໜ້າຄະນະໄດ້ອອກຖະແຫຼງການຮ່ວມ, ໃນນັ້ນຊົມເຊີຍເລື່ອງຫວຽດນາມ ເປັນເຈົ້າພາບຈັດກອງປະຊຸມ AMMTC-14 ແລະບັນດາກອງປະຊຸມກ່ຽວຂ້ອງໃນປີ 2020.	Kết thúc AMMTC-13, các nhà lãnh đạo đã ra tuyên bố chung, ca ngợi Việt Nam đăng cai tổ chức AMMTC-14 và các cuộc họp liên quan vào năm 2020.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
