ກປ.ອອນໄລ - ຕອນເຊົ້າວັນທີ 17 ພະຈິກ, ທີ່ສຳນັກງານປະທານປະເທດ, ທ່ານ Xiong Bo ເອກອັກຄະລັດຖະທູດ ສປ ຈີນ;	Sáng 17/11, tại Văn phòng Chủ tịch nước, ông Xiong Bo, Đại sứ nước Cộng hòa Nhân dân Trung Hoa;
ທ່ານນາງ Grete Lochen ເອກອັກຄະລັດຖະທູດ ລາຊະອານາຈັກ ນອກແວ;	Grete Lochen, Đại sứ Vương quốc Na Uy;
ທ່ານນາງ Deborah Anne Paul ເອກອັກຄະລັດຖະທູດ ການາດາ;	Deborah Anne Paul, Đại sứ Canada;
ທ່ານນາງ Portell Casanova Maria Del Rosario ເອກອັກຄະລັດຖະທູດ ອູຣູກວາຍ ຕາເວັນອອກ ເຂົ້າຢື່ນສານແຕ່ງຕັ້ງຕໍ່ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດ ສສ ຫວຽດນາມ ຫງວຽນຝູຈ້ອງ, ເນື່ອງໃນໂອກາດໄດ້ຮັບດຳລົງຕຳແໜ່ງເປັນເອກອັກຄະລັດຖະທູດວິສາມັນຜູ້ມີອຳນາດເຕັມ ປະຈຳ ຫວຽດນາມ.	Đại sứ Đông Uruguay tại Việt Nam Portell Casanova Maria Del Rosario đã đệ trình lên Tổng thư ký nước Cộng hòa xã hội chủ nghĩa Việt Nam Nguyễn Phú Trọng.
ພາຍຫຼັງພິທີຢື່ນສານແຕ່ງຕັ້ງ, ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຫງວຽນຝູຈ້ອງ ໄດ້ຕ້ອນຮັບບັນດາທ່ານເອກອັກຄະລັດຖະທູດ.	Sau lễ nhậm chức, Tổng Bí thư Nguyễn Phú Trọng đã tiếp các đại sứ.
ທ່ານເລຂາທິການໃຫຍ່, ປະທານປະເທດຫວຽດນາມ ຫງວຽນຝູຈ້ອງ ກັບບັນດາທ່ານເອກອັກຄະລັດຖະທູດ.	Tổng Bí thư, Chủ tịch nước Nguyễn Phú Trọng với các đại sứ.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ກ່າວຄຳເຫັນທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຝູຈ້ອງ ໄດ້ສະແດງຄວາມເຊື່ອໝ້ັນວ່າ ດ້ວຍລະດັບຄວາມຮູ້, ປະສົບການໃນການປະຕິບັດງານຂອງຕົນ ແລະຄວາມຮັກແພງທີ່ສະຫງວນໃຫ້ແກ່ຫວຽດນາມ, ບັນດາທ່ານເອກອັກຄະລັດຖະທູດຈະປະຕິບັດສຳ ເລັດພາລະໜ້າທີ່ໄດ້ຮັບມອບໝາຍ, ແມ່ນຂົວເຊື່ອມຕໍ່ຊຸກຍູ້ການພົວພັນມິດຕະພາບ ແລະການຮ່ວມມືລະຫວ່າງບັນດາປະເທດກັບຫວຽດນາມ.	Phát biểu tại tiệc chiêu đãi, ông Nguyễn Phú Trọng bày tỏ tin tưởng với kiến thức, kinh nghiệm và tình yêu Việt Nam, các Đại sứ sẽ hoàn thành tốt trọng trách được giao, là cầu nối giữa hai nước và thúc đẩy quan hệ hữu nghị.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເນັ້ນໜັກວ່າ ຫວຽດນາມຍາມໃດກໍ່ສ້າງເງື່ອນໄຂສະດວກໃຫ້ບັນດາທ່ານເອກອັກຄະລັດຖະທູດປະຕິບັດສຳເລັດໜ້າທີ່ໃນໄລຍະປະຕິບັດງານຢູ່ຫວຽດນາມ;	Nguyễn Phú Trọng nhấn mạnh Việt Nam sẽ luôn tạo điều kiện thuận lợi để các đại sứ hoàn thành tốt nhiệm vụ trong thời gian ở Việt Nam;
ພ້ອມທັງຫວັງວ່າປະເທດຊາດ, ຊາວຫວຽດນາມຈະສ້າງໄດ້ບັນດາອາລົມຈິດອັນດີງາມທີ່ສຸດຕໍ່ກັບບັນດາທ່ານເອກອັກຄະລັດຖະທູດ.	Ông cũng mong rằng đất nước và nhân dân Việt Nam sẽ tạo ra bầu không khí tốt nhất có thể cho các đại sứ.
ໂດຍ: ແສງເດືອນ.	Bởi: Moonlight.
