ກປ.ອອນໄລ - ບຸນປີໃໝ່ປະຈໍາຊາດປີຈໍ 2018 ວຽນມາອີກວາລະໜຶ່ງ.	KPR Online - Tết Quốc gia 2018 lại sắp đến.
ຫວນຄືນປີລະກາ 2017 ຜ່ານມາ, ພວກຂ້າພະເຈົ້າ ເຫັນໄດ້ຄວາມເບີກບານມ່ວນຊື່ນທີ່ເຕັມໄປດ້ວຍຄວາມຮັກແພງ ແລະການແບ່ງປັນໃນການເຄື່ອນໄຫວທາງສັງຄົມຂອງໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ.	Nhìn lại tháng 1/2017, chúng ta thấy được sự vui tươi, tràn đầy yêu thương và sẻ chia trong các hoạt động xã hội của Quân đội nhân dân Việt Nam.
ອານຸສອນທີ່ເປັນໜ້າຈົດຈໍາທໍາອິດແມ່ນໃນວັນທີ 18 ເດືອນ 12 (ຕາມຈັນທະປະຕິທິນ), ໃກ້ຈະຮອດບຸນປີໃໝ່ປະຈໍາຊາດປີລະກາ 2017, ຄະນະປະຕິບັດງານພວກຂ້າພະເຈົ້າ ໄດ້ເດີນທາງໄປແຂວງ ເທື່ອທຽນເຫວ້ ເພື່ອອວຍພອນບຸນເຕັດ, ມອບຂອງຂວັນ, ຝາກຝັງອາລົມຈິດຂອງບັນດານັກຂ່າວ-ນັກຮົບ ແລະພະນັກງານ, ພາລະກອນກຸ່ມບໍລິສັດ Vingroup ເຖິງບັນດາຄອບຄົວເປົ້າໝາຍນະໂຍບາຍ, ຄອບຄົວທຸກຍາກຢູ່ຕາແສງ ຮົ່ງຮ້າ, ຮຶງງວຽນ (ເມືອງ ອາເລື໋ອຍ);	Lễ tưởng niệm đầu tiên là vào ngày 18 tháng Chạp (theo âm lịch), tức đêm giao thừa Tết Nguyên đán 2017, đoàn chúng tôi vào Huế để cầu phúc, tặng quà, tri ân những người nghèo khó, cơ nhỡ. nghèo nàn.
ເທດສະບານເມືອງ ລັງໂກ (ເມືອງ ຟູ໋ລົກ);	Thành phố Lango (Fulok);
ຕາແສງ ເຮືອງວັນ, ຕາແສງ ບິ່ງດ່ຽນ (ເທດສະບານແຂວງ ເຮືອງຈ່າ) ແລະຕາແສງ ຖຸຍບັ່ງ (ເທດສະບານເມືອງ ເຮືອງຖຸຍ).	Xã Hương Vân, xã Bình Điền (tỉnh Hương Chà) và xã Thủy Bằng (huyện Hương Thủy).
ກ່ອນຈະເດີນທາງ, ທ່ານພົນຈັດຕະວາ ຟ້າມວັນຮ໋ວນ, ເລຂາຄະນະພັກ, ຫົວໜ້າບັນນາທິການໃຫຍ່ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ຕັກເຕືອນວ່າ: “ບັນດາສະຫາຍໄປປະຕິບັດງານໃນຄັ້ງນີ້ຈະປະສົບກັບຄວາມລໍາບາກແຕ່ຕ້ອງມອບຂອງຂວັນໃຫ້ເຖິງມືບັນດາຄອບຄົວເປົ້າໝາຍນະໂຍບາຍ, ຄອບຄົວທຸກຍາກ.	Trước khi lên đường, Chuẩn tướng Phạm Văn Huấn, Bí thư Trung ương Đảng, Tổng Biên tập Báo Quân đội nhân dân Việt Nam dặn dò:
ເຖິງວ່າຂອງຂວັນມີມູນຄ່າບໍ່ຫຼາຍກໍ່ຕາມແຕ່ກໍ່ເຕັມໄປດ້ວຍຄວາມຮັກແພງ “ແນວຫຼັງ-ນັກຮົບ , ຊ່ວຍໃຫ້ບັນດາຄອບຄົວຫາກໍ່ພົ້ນຈາກໄພພິບັດທາງທໍາມະຊາດໄດ້ຕ້ອນຮັບບຸນປີໃໝ່ຢ່າງອົບອຸ່ນ.	Những món quà dù không giá trị lắm nhưng chứa chan tình cảm.
ນັ້ນທັງແມ່ນຄໍາຕັກເຕືອນ, ກໍ່ທັງແມ່ນການມອບໝາຍໜ້າທີ່ໃຫ້ຄະນະປະຕິບັດງານ.	Đó vừa là lời cảnh báo, vừa là sự cống hiến cho lực lượng làm nhiệm vụ.
ຕາງໜ້າໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມ ມອບຂອງຂວັນໃຫ້ແກ່ປະຊາຊົນຕາແສງ ຮົ່ງຮ້າ, ເມືອງ ອາເລື໋ອຍ, ແຂວງ ເທື່ອທຽນເຫວ້.	Báo Quân đội nhân dân tặng quà cho nhân dân xã Hồng Hà, huyện Ar Leuy, tỉnh Thừa Thiên Huế.
ພາບ: ກວາງຖ໋າຍ	Ảnh: Quang Thái
ເດີນທາງມາເປັນເວລາຫຼາຍວັນ, ຄະນະພວກຂ້າພະເຈົ້າ ໄດ້ມີໜ້າຢູ່ນະຄອນ ເຫວ້ ຖືກຕາມເວລາທີ່ວາງໄວ້.	Sau khi đi vài ngày, chúng tôi đến Huế đúng giờ.
