ກປ.ອອນໄລ - ທ່ານພັນໂທ ໂງກ໋ວກບ໋າວ ເລຂາພັກ, ຫົວໜ້າການເມືອງກອງພັນນ້ອຍ 242 ຖືວ່າ.	Trung tá Ngô Quốc Bảo, Bí thư Đảng ủy, Chủ nhiệm Chính trị Tiểu đoàn Công binh 242 cho biết.
ການຮ່ວມເດີນທາງພ້ອມກັບທະຫານ ແລະປະຊາຊົນເກາະທິດຕາເວັນອອກສ່ຽງເໜືອແມ່ນການເຄື່ອນໄຫວທີ່ມີຄວາມໝາຍ, ເພື່ອແນໃສ່ແບ່ງປັນ ແລະປຸກລະດົມພະນັກງານ, ນັກຮົບບັນດາກໍາລັງປະກອບອາວຸດ ແລະປະຊາຊົນໃນເກາະ...	Tham gia cùng quân và dân vùng Đông Bắc đảo là một động thái sáng suốt, nhằm chia rẽ, động viên cán bộ, cựu chiến binh, lực lượng vũ trang và nhân dân trên đảo ...
ພາຍຫຼັງຂີ່ເຮືອຂ້າມທະເລເປັນເວລາກວ່າ 4 ຊົ່ວໂມງ, ຄະນະປະຕິບັດງານກອງພັນນ້ອຍ 242, ທະຫານເຂດ 3, ໄດ້ມາຮອດເກາະເຈີ່ນ.	Sau hành trình kéo dài 4 giờ, Tiểu đoàn 242, Sư đoàn 3 đã đến đảo Trần.
ເມື່ອແບ່ງປັນກັບບັນດາສະມາຊິກໃນຄະນະປະຕິບັດງານຢູ່ຂົວທ່າກໍາປັ່ນ, ເອື້ອຍ ຫງວຽນທິແກ໋ງ, ນາຍບ້ານເກາະເຈີ່ນ, ຕາແສງ ແທງລານ, ເມືອງ ໂກໂຕ, ແຂວງກວາງນິງ, ໃຫ້ຮູ້ວ່າ: “ອາລົມຈິດ, ຄວາມໃສ່ໃຈຊ່ວຍເຫຼືອຂອງພະນັກງານ, ນັກຮົບໃນເກາະສໍາລັບພໍ່ແມ່ປະຊາຊົນແມ່ນລໍ້າຄ່າທີ່ສຸດ.	Chia sẻ với các thành viên tổ công tác tại cầu cảng, bà Nguyễn Thị Cang, Trưởng thôn Koh Trần, xã Thanh Lân, huyện Kô Tô, tỉnh Quảng Ninh cho biết:
ນີ້ແມ່ນບ່ອນອີງເພື່ອພວກຂ້າພະເຈົ້າມີຄວາມອຸ່ນອ່ຽງໃຈຕິດພັນກັບທະເລ, ເກາະ.	Đây là cơ sở để chúng tôi yên tâm gắn bó với biển, đảo.
ນັ້ນບໍ່ພຽງແຕ່ແມ່ນອາລົມຈິດຂອງສະເພາະເອື້ອຍ ແກ໋ງ ເທົ່ານັ້ນ, ຫາກຍັງແມ່ນແນວຄວາມຄິດລວມຂອງປະຊາຊົນໃນເກາະກໍ່ຄືບັນດາສະມາຊິກເຂົ້າຮ່ວມການເດີນທາງຄັ້ງນີ້.	Đó không chỉ là tình cảm của riêng chị em, mà còn là thành ý của người dân huyện đảo cũng như các thành viên tham gia chuyến đi này.
ຢູ່ເກາະແຕ່ລະແຫ່ງເມື່ອຄະນະມາຢາມ, ຍາມໃດກໍ່ມີຄວາມອົບອຸ່ນ, ຄືກຄື້ນກວ່າ, ດ້ວຍບັນດາຄໍ່າຄືນພົບປະແລກ ປ່ຽນສິລະປະໂດຍພະນັກງານ, ນັກຮົບ, ປະຊາຊົນໃນເກາະຕ່າງໆພ້ອມກັນສະແດງ.	Tại mỗi đảo, khi đoàn đến thăm luôn diễn ra ấm cúng, sôi nổi với các hoạt động giao lưu nghệ thuật do cán bộ, chiến sĩ và nhân dân các đảo cùng biểu diễn.
ຄະນະປະຕິບັດງານຢ້ຽມຢາມ, ມອບຂອງຂວັນໃຫ້ຄອບຄົວຊາວປະມົງ ເລວັນເຫງ້ຍ, ບ້ານເຈີ່ນ, ຕາແສງ ແທງເລີນ, ເກາະໂກໂຕ, ກວາງນິງ, ຫວຽດນາມ.ພາບ: ທູຈາງ	Ảnh: Thu Zhang Đoàn đến thăm gia đình ngư dân Lê Văn Ngợi ở thôn Trăn, xã Thanh Loỏng, đảo Kô Tô, Quảng Ninh, Việt Nam.
ມາຢ້ຽມຢາມບັນດາເກາະຢູ່ທິດຕາເວັນອອກສ່ຽງເໜືອຄັ້ງນີ້, ພວກຂ້າພະເຈົ້າຍັງຮູ້ສຶກໄດ້ “ການປ່ຽນແປງໃໝ່ ຢ່າງແຮງຢູ່ແຫ່ງນີ້, ພິເສດແມ່ນເກາະເຈີ່ນ.	Đến thăm các đảo phía Đông Bắc lần này, chúng tôi cũng cảm nhận được sự thay đổi mạnh mẽ của nơi đây, đặc biệt là đảo Trần.
ກ່ອນນີ້, ເກາະເຈີ່ນບໍ່ມີໄຟຟ້າ, ບໍ່ມີປະຊາຊົນດຳລົງຊີວິດຢູ່ທີ່ນີ້, ແຕ່ວ່າດຽວນີ້ຢູ່ທ່າມກາງທະເລທີ່ກວ້າງໃຫຍ່ໄພສານນັ້ນໄດ້ມີເຮືອນຖາວອນນັບສິບຫຼັງໄດ້ກໍ່ສ້າງເພື່ອຮອງຮັບບັນດາຄອບຄົວປະຊາຊົນມາຕັ້ງຖີ່ນຖານຄົງທີ່ຢູ່ເກາະ.	Đảo Trần trước đây chưa có điện, không có người dân sinh sống, nhưng giờ đây giữa biển trời bao la, hàng chục ngôi nhà kiên cố đã được xây dựng đủ chỗ cho các gia đình định cư trên đảo.
ພ້ອມກັບການພັດທະນາຂອງເກາະ ເຈີ່ນ, ດຽວນີ້ເກາະໂກໂຕ, ແທງເລີນ, ງອັກວື່ງ ກໍ່ນັບມື້ນັບມີໂສມໜ້າໃໝ່ກາຍເປັນເກາະທ່ອງທ່ຽວ, ແຕ່ລະປີຮັບຕ້ອນແຂກທ່ອງທ່ຽວມາຢາມເປັນຈໍານວນຫຼາຍ..	Cùng với sự phát triển của đảo Trần, hiện nay các đảo Koto, Thanh Loen, Ngọc Vừng ngày càng có sức hút trở thành đảo du lịch, mỗi năm đón một lượng lớn khách du lịch.
