ດຣ.	NS.
ຣັດຕະນະໄຊ ເພັດສຸວັນ ຫົວໜ້າກົມຄວບຄຸມພະຍາດຕິດຕໍ່ - ກະຊວງສາທາລະນະສຸກລາວ ຖະແຫລງຕໍ່ສື່ມວນຊົນ ຕອນບ່າຍວັນທີ 10 ມີນາ 2021 ນີ້ເຖິງສະພາບການຄວບຄຸມ ແລະປ້ອງກັນການລະບາດຂອງພະຍາດໂຄວິດ-19 ວ່າ: ວັນທີ 10 ມີນາ ນີ້ ກວດພົບຜູ້ຕິດເຊື້ອພະຍາດໂຄວິດ-19 ເພີ່ມອີກ 1 ຄົນ ເປັນເພດຊາຍ ອາຍຸ 43 ປີ, ສັນຊາດລາວ, ອາຊີບຄ້າຂາຍຜັກຢູ່ແຂວງປະທຸມທານີ, ປະເທດໄທ.	Rattanaxay Phetsuwan, Cục trưởng Cục Kiểm soát các bệnh truyền nhiễm - Bộ Y tế Lào, đã nói với báo chí chiều ngày 10/3/2021 về tình hình kiểm soát và ngăn chặn sự bùng phát của Kovid-19:
ທ່ານ ຣັດຕະນະໄຊ ເພັດສຸວັນ ຫົວໜ້າກົມຄວບຄຸມພະຍາດຕິດຕໍ່ - ກະຊວງສາທາລະນະສຸກລາວ.	Ông Rattanaxay Phetsuwan Cục trưởng Cục Kiểm soát các bệnh truyền nhiễm - Bộ Y tế, CHDCND Lào.
ພາບ: lnr.org.la.	Ảnh: lnr.org.la.
ຜູ້ກ່ຽວມີສຸຂະພາບແຂງແຮງດີ, ບໍ່ມີອາການສະແດງຫຍັງ ແລະບໍ່ໄດ້ກວດຊອກຫາໂຄວິດ-19 ກ່ອນເດີນທາງເຂົ້າມາ ສປປ ລາວ;	Anh ta có sức khỏe tốt, không có triệu chứng và không được khám sàng lọc Kovit-19 trước khi đến CHDCND Lào;
ໃນໄລຍະເຮັດວຽກຢູ່ແຂວງປະທຸມທານີ.	Khi làm việc tại tỉnh Pathum Thani.
ຜູ້ກ່ຽວໄດ້ອາໄສຢູ່ຫ້ອງພັກຄົນດຽວເນື່ອງຈາກມີການລະບາດຂອງພະຍາດໂຄວິດ-19 ຢູ່ແຂວງດັ່ງກ່າວ ຜູ້ກ່ຽວຈຶ່ງກັບຄືນມາ ສປປ ລາວ ໃນວັນທີ 4 ມີນາ 2021 ໂດຍລົດໂດຍສານຈາກແຂວງປະທຸມທານີ ມາຫາ ແຂວງມຸກດາຫານ.	Anh ấy sống một mình trong một căn phòng do sự bùng phát của Kovi-19 trong tỉnh. Anh ấy trở về Lào vào ngày 4 tháng 3 năm 2021 bằng xe buýt từ Pathum Thani đến Mukdahan.
ໃນວັນທີ 5 ມີນາ 2021 ເດີນທາງມາຮອດແຂວງສະຫວັນນະເຂດ ແລະຖືກນຳສົ່ງໄປຈຳກັດບໍລິເວນຢູ່ສູນທີ່ຄະນະສະເພາະກິດກຳນົດໄວ້.	Ngày 5 tháng 3 năm 2021, đến tỉnh Savannakhet và được đưa đến khu vực do lực lượng đặc nhiệm chỉ định.
ພາຍຫຼັງທີ່ໄດ້ເກັບຕົວຢ່າງຜູ້ກ່ຽວມາກວດຊອກຫາພະຍາດໂຄວິດ-19, ໃນວັນທີ 9 ມີນາ 2021 ຜົນກວດຈາກຫ້ອງວິເຄາະຂອງໂຮງໝໍແຂວງສະຫວັນນະເຂດ ແມ່ນກວດພົບເຊື້ອໂຄວິດ-19 ຈຶ່ງໄດ້ນຳສົ່ງຜູ້ກ່ຽວເຂົ້ານອນແຍກປ່ຽວ, ຕິດຕາມອາການ ແລະ ປິ່ນປົວຢູ່ໂຮງໝໍແຂວງສະຫວັນນະເຂດ ພ້ອມດຽວກັນນັ້ນຍັງໄດ້ສົ່ງຕົວຢ່າງມາກວດຢັ້ງຢືນຢູ່ສູນວິເຄາະ ແລະລະບາດວິທະຍາ.	Sau khi lấy mẫu xét nghiệm HIV-19, ngày 9/3/2021, kết quả xét nghiệm của Bệnh viện Đa khoa tỉnh Savannakhet cho kết quả dương tính với HIV-19 nên ông được đưa vào bệnh viện cách ly để theo dõi và điều trị tại Bệnh viện Đa khoa tỉnh Savannakhet. Bệnh viện.
ໃນວັນທີ 10 ມີນາ 2021 ຜົນກວດຈາກສູນວິເຄາະ ແລະລະບາດວິທະຍາ ຢັ້ງຢືນຜົນກວດແມ່ນພົບເຊື້ອໂຄວິດ-19.	Ngày 10/3/2021, kết quả xét nghiệm của Trung tâm dịch tễ TƯ khẳng định xét nghiệm dương tính với Ivory-19.
ປະຈຸບັນຜູ້ກ່ຽວໄດ້ເຂົ້ານອນແຍກປ່ຽວ, ຕິດຕາມອາການແລະປິ່ນປົວຢູ່ໂຮງໝໍທີ່ຖືກກຳນົດໄວ້;	Hiện anh ta đang bị biệt giam, theo dõi và điều trị tại bệnh viện chỉ định;
