ກປ.ອອນໄລ - ພາຍຸຫົວທີ 10 ໄດ້ພັດຜ່ານບໍລິເວນບັນດາແຂວງພາກກາງກໍ່ຄວາມເສຍຫາຍຢ່າງໜັກໜ່ວງ.	KPR Online - Cơn bão số 10 đã quét qua các tỉnh miền Trung, gây thiệt hại nặng nề.
ຕໍ່ໜ້າສະພາບການນັ້ນ, ກອງພົນ 324 (ທະຫານເຂດ 4) ໄດ້ຈັດສົ່ງພະນັກງານ, ນັກຮົບ 340 ຄົນສັງກັດກອງພັນໃຫຍ່ 335 ເຄື່ອນທັບໄປເມືອງ ກີ່ແອງ ແຂວງ ຮ່າຕີ໊ງ ຊ່ວຍເຫຼືອປະຊາຊົນຢູ່ທ້ອງຖິ່ນ.	Để hưởng ứng, Lữ đoàn 324 (Vùng 4) đã cử 340 cán bộ của Lữ đoàn 335 đến quận Kiến An, tỉnh Hà Tĩnh để giúp đỡ người dân địa phương.
ດ້ວຍທິດນຳ “ໄວທັນການ , ພະນັກງານ, ນັກຮົບກົມກອງພ້ອມກັບອຳນາດການປົກຄອງ, ປະຊາຊົນຢູ່ທ້ອງຖິ່ນຊ່ວຍເຫຼືອພໍ່ແມ່ປະຊາຊົນແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກໄພທຳມະຊາດ, ເຮັດໃຫ້ຊີວິດເປັນປົກກະຕິໂດຍໄວ.	Với mục đích “kịp thời, cán bộ, chiến sĩ của Sở cùng với chính quyền, nhân dân địa phương giúp đỡ các bậc cha mẹ khắc phục hậu quả thiên tai, bình thường hóa cuộc sống càng sớm càng tốt”.
ພະນັກງານ, ນັກຮົບກອງພັນ 4, ກອງພັນໃຫຍ່ 335 ມຸງຫຼັງຄາໂຮງຮຽນປະຖົມສຶກສາ ຕາແສງ ກີຫ໊າຍຄືນໃໝ່.	Cán bộ, cựu chiến binh Tiểu đoàn 4, Tiểu đoàn 335, mái trường Tiểu học xã Kì Hai.
ພາບ: ຮ່າຮື໊ວເຕິນ	Ảnh: Hà Hữu Tấn
ຂົນສົ່ງດິນຂໍເພື່ອສ້ອມແປງຫຼັງຄາເຮືອນໃຫ້ແກ່ປະຊາຊົນຢູ່ທ້ອງຖິ່ນ.ພາບ: ຮ່າຮື໊ວເຕິນ	Ảnh: Hà Hữu Tấn Vận chuyển đất sửa mái tôn cho bà con
ພົນທະຫານຊັ້ນ 1 ຮວ່າງວັນຮູ່ງ ຮັບເອົາຈອກນໍ້າຊາຂຽວຈາກນາຍຄູໂຮງຮຽນປະຖົມສຶກສາ ຕາແສງ ກີຫ໊າຍ.ພາບ: ຮ່າຮື໊ວເຕິນ	Chiến sĩ Hoàng Văn Hồng nhận ly chè xanh do cô giáo Trường Tiểu học xã Kì Hai tặng, Ảnh: Hà Hữu Tấn
ເກັບໂຮມບັນດາສັງກະສີເພື່ອໝູນໃຊ້ສ້ອມແປງຫຼັງຄາເຮືອນໃຫ້ແກ່ປະຊາຊົນຄືນໃໝ່.ພາບ: ຮ່າຮື໊ວເຕິນ	Gom kẽm sửa lại mái nhà cho người dân Ảnh: Hà Hữu Tấn
ທ່ານສິບໂທ ໂດ໊ບ໋າດຶກ, ຫົວໜ້າໝູ່ປືນໃຫຍ່ SPG9, ກອງພັນ 4, ກອງພັນໃຫຍ່ 335 ແບ່ງປັນວ່າ: “ນີ້ບໍ່ພຽງແຕ່ແມ່ນໜ້າທີ່ເທົ່ານັ້ນຫາກຍັງແມ່ນອາລົມຈິດຂອງພວກຂ້າພະເຈົ້າທີ່ມີຕໍ່ປະຊາຊົນອີກດ້ວຍ.	Đại úy Đỗ Bá Đức, Trung đội trưởng Pháo binh SPG9, Tiểu đoàn 4, Tiểu đoàn 335, chia sẻ:
ບັນດາຖ້ວຍນໍ້າຊາຂຽວ, ບັນດາຜ້າພັນຄໍຕົກສີຂອງບັນດາແມ່, ບັນດາເອື້ອຍທີ່ເຊັດເຫື່ອໃຫ້ທະຫານໃນເວລາພັກຜ່ອນນັ້ນແມ່ນອາລົມຈິດເຊິ່ງປະຊາຊົນທ້ອງຖິ່ນໄດ້ສະຫງວນໃຫ້ພະນັກງານ, ນັກຮົບກອງພົນ 324.	Những tách trà xanh, những chiếc khăn sặc sỡ của các mẹ, các chị lau mồ hôi cho các chiến sĩ trong giờ giải lao là tình cảm mà người dân địa phương dành cho cán bộ, chiến sĩ Lữ đoàn 324.
“ສຳລັບພວກຂ້າພະເຈົ້າແລ້ວ, ນັ້ນແມ່ນລາງວັນອັນລ້ຳຄ່າ.	“Đối với chúng tôi, đó là phần thưởng vô giá.
ທ່ານພັນເອກພິເສດ ຮວ່າງວັນທ໋ຽດ, ຮອງຫົວໜ້າກອງພົນ 324 ໃຫ້ຮູ້ດ້ວຍຄວາມສະເທືອນໃຈ.	Đại tá Đặc công Hoàng Văn Thiết, Phó Tư lệnh Lữ đoàn 324 phát biểu cảm ơn.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
