ກປ.ອອນໄລ - ຕອນຄໍ່າວັນທີ 12 ມິຖຸນາ, ເນື່ອງໃນໂອກາດສະເຫຼີມສະຫຼອງວັນສື່ມວນຊົນປະຕິວັດຫວຽດນາມ ຄົບຮອບ 95 ປີ (21-6-1925 / 21-6-2020), ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ໄດ້ໄປຢ້ຽມຢາມ, ອວຍພອນໜັງສືພິມປະຊາຊົນ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc chào xã giao Thủ tướng Chính phủ Nguyễn Xuân Phúc
ໂອ້ລົມກັບການນໍາ, ພະນັກງານ, ນັກຂ່າວ, ນັກບັນນາທິການໜັງສືພິມປະຊາຊົນ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ຊີ້ແຈ້ງວ່າ, ໃນຊຸມວັນເດືອນ 6 ຍິ່ງມີຄວາມໝາຍເມື່ອພວກເຮົາສະເຫຼີມສະຫຼອງວັນສື່ມວນຊົນປະຕິວັດຫວຽດນາມ.	(VOVworld) - Thủ tướng Chính phủ Nguyễn Xuân Phúc cho biết, ngày 6/6 càng vui hơn khi chúng ta kỷ niệm Ngày Truyền thông Cách mạng Việt Nam.
ໂດຍແມ່ນອົງການສູນກາງຂອງພັກກອມມູນິດຫວຽດນາມ, ສຽງຂອງພັກ, ລັດ ແລະປະຊາຊົນຫວຽດນາມ, ໜັງສືພິມປະຊາຊົນ ໄດ້ມີບັນດາຜົນງານທີ່ຕັ້ງໜ້າປະກອບສ່ວນເຂົ້າໃນພາລະກິດຕໍ່ສູ້ກູ້ຊາດ, ທ້ອນໂຮມປະເທດຊາດເປັນເອກະພາບ, ສ້າງສາ ແລະພັດທະນາປະເທດຊາດ.	Là tổ chức trung ương của Đảng Cộng sản Việt Nam, tiếng nói của Đảng, Nhà nước và nhân dân Việt Nam, Báo Nhân dân đã có nhiều đóng góp to lớn trong sứ mệnh đấu tranh giải phóng dân tộc, thống nhất đất nước, xây dựng đất nước và phát triển dân tộc.
ໜັງສືພິມປະຊາຊົນ ນັບມື້ນັບມີເນື້ອໃນອຸດົມສົມບູນ, ມີລັກສະນະສູ້ຮົບສູງ;	Báo nhân dân ngày càng phong phú về nội dung, mang tính chiến đấu cao;
ເຕັມໄປດ້ວຍຄຸນນະທາດ, ປ່ຽນແປງໃໝ່ ແລະມີຫົວຄິດປະດິດສ້າງດ້ວຍຫຼາຍສື່ສິ່ງພິມ.	Đầy đủ chất lượng, có thể thay đổi và sáng tạo với nhiều ấn phẩm.
ໜັງສືພິມ ໄດ້ສະແດງໃຫ້ເຫັນຢ່າງຈະແຈ້ງຄຸນນະທາດ, ເຈດຈໍານົງ, ຕັ້ງໜ້າຕໍ່ສູ້ຕ້ານການເສື່ອມທາດເສຍຄຸນທາງດ້ານແນວຄິດ.	Báo chí vùi dập càng thể hiện rõ phẩm chất, ý chí quyết tâm, đấu tranh chống suy thoái tư tưởng.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ກ່າວຄໍາເຫັນທີ່ການຢ້ຽມຢາມ ແລະອວຍພອນໜັງສືພິມປະຊາຊົນ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu tại buổi thăm và chúc mừng Báo Nhân dân.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ຕາງໜ້າການນໍາພັກ, ລັດ, ທ່ານນາຍົກລັດຖະມົນຕີ ໄດ້ຊົມເຊີຍບັນດາຜົນງານອັນໃຫຍ່ຫຼວງ ແລະຮອບດ້ານ ເຊິ່ງໜັງສືພິມປະຊາຊົນ ບັນລຸໄດ້ໃນຕະຫຼອດໄລຍະຜ່ານມາ;	Thay mặt Đảng, Nhà nước, Thủ tướng biểu dương những thành tích to lớn, toàn diện mà Báo Nhân dân đã đạt được trong thời gian qua;
ເຊື່ອໝັ້ນວ່າດ້ວຍມູນເຊື້ອອັນສະຫງ່າລາສີ, ໜັງສືພິມ ຈະສືບຕໍ່ເສີມຂະຫຍາຍຢ່າງແຮງໃນໄລຍະໃໝ່ໃນສະພາບດໍາເນີນກອງປະຊຸມໃຫຍ່ຂອງພັກທຸກຂັ້ນ, ມຸ່ງໄປເຖິງກອງປະຊຸມໃຫຍ່ຄັ້ງທີ XIII ຂອງພັກ;	Tin tưởng với những di sản vẻ vang, báo chí sẽ tiếp tục được tiếp thêm sức mạnh để tiến tới Đại hội Đảng bộ các cấp, tiến tới Đại hội lần thứ 13 của Đảng;
ປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການກໍ່ສ້າງພັກ, ປະເທດຊາດ, ສ້າງນໍ້າໃຈສາມັກຄີໃນໝູ່ປະຊາຊົນ...	Góp phần quan trọng xây dựng đảng, xây dựng dân tộc, xây dựng khối đoàn kết toàn dân ...
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
