ກປ.ອອນໄລ - ພາຍຫຼັງໄປຜ່ານໄລຍະທາງຍາວຈາກເຂດດິນຕໍ່ແຜ່ນ, ຄະນະປະຕິບັດງານກອງພົນນ້ອຍ 146, ທະຫານເຮືອເຂດ 4 ໄດ້ໄປຮອດເມືອງເກາະເຈື່ອງຊາ.	Sau hành trình dài từ đất liền, Lữ đoàn 146, Vùng 4 Hải quân đã đến Trường Sa.
ຍ້ອນດິນຟ້າອາກາດອຳນວຍຄວາມສະດວກ, ຄະນະປະຕິບັດງານໄດ້ສົ່ງສິນຄ້າ ແລະຂອງຂວັນບຸນປີໃໝ່ປະຈໍາຊາດ 2020 ເຖິງທະຫານ ແລະປະຊາຊົນຢູ່ບັນດາຕາແສງໃນເກາະຢ່າງວ່ອງໄວ.	Do thời tiết thuận lợi, lực lượng làm nhiệm vụ đã nhanh chóng gửi hàng hóa, quà mừng Tết Nguyên đán 2020 cho bộ đội và nhân dân các xã trên đảo.
ສິນຄ້າບຸນເຕັດຊະນິດຕ່າງໆຂອງກອງທັບ, ທ້ອງຖິ່ນ ແລະບັນດາໝູ່ຄະນະ, ບຸກຄົນ ໄດ້ສົ່ງເຖິງທະຫານ ແລະປະຊາຊົນເມືອງເກາະເຈື່ອງຊາ ດ້ວຍຄວາມມຸ່ງມາດປາດຖະໜາຢາກໃຫ້ເຂົາເຈົ້າໄດ້ຕ້ອນຮັບບຸນເຕັດຢ່າງສົມບຸນ ແລະເຕັມໄປດ້ວຍຄວາມອົບອຸ່ນລະຫວ່າງທະຫານ ແລະປະຊາຊົນ.	Nhiều loại vật phẩm của bộ đội, địa phương và xác chết đã được gửi đến các chiến sĩ và nhân dân trên đảo Trường Sa với mong muốn sự đón tiếp nồng hậu, nồng hậu giữa bộ đội và nhân dân.
ໜັງສືພິມກອງທັບປະຊາຊົນຫວຽດນາມອອນລາຍ ຂໍແນະນໍາເຖິງເພື່ອນຜູ້ອ່ານບາງຮູບພາບກ່ຽວກັບການຢ້ຽມຢາມ, ອວຍພອນປີໃໝ່, ມອບຂອງຂວັນຂອງຄະນະປະຕິບັດງານກອງພົນນ້ອຍ 146, ທະຫານເຮືອເຂດ 4 ຢູ່ເມືອງເກາະເຈື່ອງຊາ.	QĐND Việt Nam Online xin giới thiệu một số hình ảnh Lữ đoàn Công binh 146 và Quân đoàn 4 Hải quân ở đảo Trường Sa.
ສິນຄ້າ ແລະຂອງຂວັນກະກຽມສົ່ງເຖິງບັນດາຕາແສງຢູ່ເມືອງເກາະເຈື່ອງຊາ.	Hàng hóa và quà đã sẵn sàng được chuyển đến các xã trên đảo Trường Sa.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ຍ້ອນດິນຟ້າອາກາດທີ່ຮ້າຍແຮງໃນຊຸມວັນທ້າຍປີ, ຄະນະປະຕິບັດງານຕ້ອງຍາດແຍ່ງເວລາທີ່ດິນຟ້າອາກາດອຳນວຍຄວາມສະດວກເພື່ອສົ່ງສິນຄ້າ ແລະຂອງຂວັນເຖິງເກາະຕ່າງໆ.	Do thời tiết cuối năm khắc nghiệt nên lực lượng làm nhiệm vụ phải tranh thời gian gửi hàng, quà ra đảo tốt nhất.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ທະຫານ ແລະປະຊາຊົນເມືອງເກາະເຈື່ອງຊາ ຕ້ອນຮັບຄະນະປະຕິບັດງານ.	Chiến sĩ và nhân dân đảo Trường Sa đón đoàn.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ສິນຄ້າ ແລະຂອງຂວັນບຸນເຕັດໄດ້ສົ່ງຂຶ້ນເກາະຢ່າງວ່ອງໄວ.	Hàng hóa và quà tặng của lễ hội nhanh chóng được chuyển đến hòn đảo.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ວຽກງານສົ່ງສິນຄ້າ ແລະຂອງຂວັນບຸນເຕັດໄດ້ດໍາເນີນຢ່າງຮີບດ່ວນ.	Việc phân phối quà tặng và quà tặng lễ hội được thực hiện như một vấn đề cấp bách.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໃນຈໍານວນສິນຄ້າ ແລະຂອງຂວັນ, ມີສິນຄ້າທີ່ເປັນເອກະລັກສະເພາະບາງປະເພດໂດຍບັນດາທ້ອງຖິ່ນໃນທົ່ວປະເທດມອບໃຫ້ທະຫານ ແລະປະຊາຊົນເມືອງເກາະເຈື່ອງຊາ.	Trong số hàng hóa, quà tặng, có một số sản phẩm độc đáo do địa phương trên cả nước gửi tặng bộ đội và nhân dân đảo Trường Sa.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ບັນຍາກາດຄຶກໂຄມໜາແໜ້ນຢູ່ທ່າກໍາປັ່ນ.	Không khí ở cảng rất sôi động.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ທະຫານ ແລະປະຊາຊົນໃນເກາະຕ່າງໆຂົນສົ່ງສິນຄ້າ ແລະຂອງຂວັນບຸນເຕັດເຖິງບັນດາກົມກອງດ້ວຍຫຼາຍພາຫະນະທີ່ແຕກຕ່າງກັນ.	Bộ đội và nhân dân trên các đảo đã vận chuyển hàng hóa, quà tặng cho các sở bằng nhiều phương tiện khác nhau.
ພາບ: qdnd.vn	Ảnh: qdnd.vn
ຫົວໜ້າຄະນະປະຕິບັດງານ ແລະຜູ້ຕາງໜ້າບັນດາໝູ່ຄະນະ, ບຸກຄົນມອບຂອງຂວັນ ແລະສົ່ງຄໍາອວຍພອນປີໃໝ່ປະຈໍາຊາດເຖິງທະຫານ ແລະປະຊາຊົນຢູ່ໃນເກາະ.	Trưởng đoàn và đại diện các đoàn, cá nhân tặng quà và gửi lời chúc Tết đến quân và dân trên đảo.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ວຽກງານກະກຽມຕ້ອນຮັບບຸນປີໃໝ່ປະຈໍາຊາດໄດ້ຮັບການຈັດຕັ້ງຢ່າງຮອບຄອບຖີ່ຖ້ວນ ແລະຮີບດ່ວນຢູ່ເກາະຕ່າງໆ.	Công tác chuẩn bị cho Tết dân tộc trên các đảo diễn ra rất công phu và khẩn trương.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໂດຍໄດ້ຮັບຄວາມເອົາໃຈໃສ່ຈາກພັກ, ລັດ, ກອງທັບ ແລະປະຊາຊົນໃນທົ່ວປະເທດ, ບຸນປີໃໝ່ປະຈໍາຊາດ 2020 ໃກ້ຈະມາຮອດທະຫານ ແລະປະຊາຊົນເມືອງເກາະເຈື່ອງຊາ.	Được sự đồng tình, ủng hộ của Đảng bộ, nhà nước, quân và dân cả nước, Tết Nguyên đán 2020 đang đến gần với quân và dân Trường Sa.
ພາບ: qdnd.vn.	Ảnh: qdnd.vn.
ໂດຍ: ທູຈາງ.	Bởi: Tu Zhang.
