ກປ.ອອນໄລ - ວັນທີ 4 ພະຈິກ, ໃນຂອບເຂດກອງປະຊຸມສຸດຍອດອາຊຽນ ຄັ້ງທີິ 35 ແລະບັນດາກອງປະຊຸມກ່ຽວຂ້ອງຢູ່ປະເທດໄທ, ທ່ານ ຫງວຽນຊວນຟຸກ ໄດ້ເຂົ້າຮ່ວມກອງປະຊຸມສຸດຍອດອາຊີຕາເວັນອອກ (EAS) ຄັ້ງທີ 14;	Free - tháng 5 và đỉnh ASEAN ở Thái Lan, EAS) vào ngày 14;
ກອງປະຊຸມສຸດຍອດອາຊຽນ + 3 ລະຫວ່າງອາຊຽນ ກັບຈີນ, ຍີ່ປຸ່ນ, ສ.	ASEAN + 3 Hội nghị thượng đỉnh giữa ASEAN và Trung Quốc, Nhật Bản, Lào
ເກົາຫຼີ;	Korea;
ບັນດາກອງປະຊຸມສຸດຍອດອາຊຽນ-ອາເມລິກາ ຄັ້ງທີ 7;	Hội nghị thượng đỉnh ASEAN 7 - Hoa Kỳ;
ກອງປະຊຸມສຸດຍອດອາຊຽນ-ຍີ່ປຸ່ນ ຄັ້ງທີ 22;	Hội nghị thượng đỉnh Asean 22 - Nhật Bản;
ກອງປະຊຸມສຸດຍອດແມ່ນ້ຳຂອງ-ຍີປຸ່ນ ຄັ້ງທີ 11;	Hội nghị thượng đỉnh Hương thứ 11;
ກອງປະຊຸມສຸດຍອດສັນຍາຄູ່ຮ່ວມມືເສດຖະກິດຮອບດ້ານພາກພື້ນ (RCEP) ຄັ້ງທີ 3.	Phiên họp hội nghị khu vực 3 của khu vực (RCEP)
ຍົກສູງການເຄົາລົບກົດໝາຍສາກົນ	Tăng cường tôn trọng luật pháp quốc tế
ທີ່ EAS 14, ບັນດາປະເທດຕີລາຄາວ່າ EAS ແມ່ນກົນໄກເຈລະຈາແຖວໜ້າກ່ຽວກັບຄວາມໝັ້ນຄົງ, ຍຸດທະສາດຢູ່ພາກພື້ນ;	Ở EAS 14, việc giải thích EAS là một phần của hàng trước, chiến lược;
ຕີລາຄາສະພາບການໂລກທີ່ມີການຜັນແປໄປຢ່າງສັບສົນ.	Giải thích điều kiện toàn cầu với chuyển đổi.
ບັນດາປະເທດໄດ້ສະຫງວນເວລາສ່ວນຫຼາຍເພື່ອປຶກສາຫາລືກ່ຽວກັບສະພາບການທະເລຕາເວັນອອກ.	Các quốc gia đã được bảo lưu chủ yếu là thời gian để thảo luận về điều kiện Biển Đông.
ສ່ວນຫຼາຍບັນດາປະເທດໄດ້ຮຽກຮ້ອງໃຫ້ລະງັບໃຈ, ບໍ່ເຮັດໃຫ້ສະພາບການຢູ່ທະເລຕາເວັນອອກສັບສົນຂຶ້ນຕື່ມ, ເຄົາລົບກົດໝາຍສາກົນ, ໃນນັ້ນມີສົນທິສັນຍາສະຫະປະຊາຊາດວ່າດ້ວຍກົດໝາຍທະເລ ປີ 1982 (UNCLOS 1982).	Hầu hết các quốc gia đã kêu gọi tâm trí, không làm cho tình huống ở Biển Đông, tôn trọng Luật Liên Hợp Quốc, trong luật năm 1982 (UNCLOS 1982).
ບັນດາປະເທດກໍ່ເນັ້ນໜັກເຖິງຄວາມສຳຄັນຂອງການຊຸກຍູ້ການປະຕິບັດຖະແຫຼງການວ່າດ້ວຍການປະພຶດຂອງບັນດາຝ່າຍຢູ່ທະເລຕາເວັນອອກ (DOC) ຢ່າງຄົບຖ້ວນ, ປະຕິບັດສຳເລັດການກໍ່ສ້າງກົດແຫ່ງການປະພຶດຢູ່ທະເລຕາເວັນອອກ (COC) ລະຫວ່າງອາຊຽນ ແລະຈີນ ໃຫ້ມີປະສິດທິພາບ, ປະສິດທິຜົນ, ສອດຄ່ອງກັບກົດໝາຍສາກົນໂດຍໄວ, ໃນນັ້ນມີ UNCLOS 1982.	Các quốc gia nhấn mạnh tầm quan trọng của việc khuyến khích thực hiện Biển Đông (COC), theo luật pháp quốc tế
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ເຂົ້າຮ່ວມກອງປະຊຸມສຸດຍອດ ອາຊຽນ + 3.	Thủ tướng Việt Nam Nguyễn Phú Tấn Phúc đã tham dự Hội nghị thượng đỉnh ASEAN + 3.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ຫງວຽນຊວນຟຸກ ເນັ້ນໜັກເຖິງຄວາມສຳຄັນຂອງ EAS, ສະໜັບສະໜູນ EAS ຍົກສູງການເຄົາລົບກົດໝາຍສາກົນ, ຊຸກຍູ້ການກໍ່ສ້າງບັນດາມາດ ຖານການປະພຶດ ແລະຂອບເຂດການພົວພັນອີງໃສ່ລະບຽບກົດໝາຍລະຫວ່າງບັນດາປະເທດໃນພາກພື້ນ.	Phát biểu tại cuộc họp, Nguyễn Xuân Phúc nhấn mạnh tầm quan trọng của EAS, hỗ trợ EAS nâng cao việc xây dựng luật pháp giữa các quốc gia trong khu vực.
