ກປ.ອອນໄລ - Telecom Asia Awards ຫາກໍປະກາດແຈ້ງການກ່ຽວກັບການສະເໜີເຂົ້າແຂ່ງຂັນຊິງລາງວັນ CEO ໂທລະຄົມມະນາຄົມຂອງປີ.	KR Online - Telecom Asia Awards vừa công bố đề cử CEO Viễn thông của năm.
ທົ່ວອາຊີ ມີຜູ້ສະເໜີເຂົ້າແຂ່ງຂັນ 7 ຄົນ, ໃນນັ້ນມີຜູ້ອໍານວຍການຝ່າຍບໍລິຫານສອງຄົນຂອງກຸ່ມບໍລິສັດອຸດສາຫະກໍາ-ໂທລະຄົມມະນາຄົມກອງທັບ (Viettel).	Trên toàn châu Á, có bảy nhà thầu, trong đó có hai giám đốc điều hành của Tập đoàn Công nghiệp-Viễn thông Quân đội (Viettel).
ທ່ານ ຫງວຽນແທງນາມ - CEO ຂອງບໍລິສັດ Mytel.	Ông Nguyễn Thành Nam - Giám đốc điều hành Mytel.
ພາບ: vov.vn	Ảnh: vov.vn
ຜູ້ສະເໜີເຂົ້າຊິງທີໜຶ່ງແມ່ນທ່ານ ຫງວຽນແທງນາມ, CEO ຂອງບໍລິສັດ Mytel (ເຄື່ອງໝາຍການຄ້າຂອງ Viettel ຢູ່ມຽນມາ) ໄລຍະແຕ່ປີ 2017-2018.	Người được đề cử đầu tiên là ông Nguyễn Thành Nam, Giám đốc điều hành Mytel (Viettel Trading tại Myanmar) từ năm 2017-2018.
ປັດຈຸບັນ, ທ່ານ ຫງວຽນແທງນາມ ແມ່ນຮອງຜູ້ອໍານວຍການໃຫຍ່ກຸ່ມບໍລິສັດ Viettel.	Nguyễn Thành Nam hiện là Phó Tổng Giám đốc Tập đoàn Viettel.
ໃນໄລຍະທີ່ທ່ານ ຫງວຽນແທງນາມ ນໍາພາດ້ວຍຖານະເປັນຜູ້ອໍານວຍການໃຫຍ່, Mytel ບັນລຸເປົ້າໝາຍລູກຄ້າໄດ້ 1 ລ້ານຄົນຢ່າງວ່ອງໄວພາຍຫຼັງມື້ເປີດການນໍາໃຊ້ 10 ວັນ.	Trong nhiệm kỳ CEO của ông Nguyễn Thành Nam, Mytel đã nhanh chóng cán đích 1 triệu khách hàng sau 10 ngày ra mắt.
ໃນຊ່ວງທີ່ສະໜອງການບໍລິການຢ່າງເປັນທາງການນັ້ນ ເຄືອຂ່າຍມືຖືນີ້ກໍ່ສືບຕໍ່ບັນລຸເປົ້າໝາຍລູກຄ້າໄດ້ 5 ລ້ານຄົນ ໃນຮອບເວລາພຽງແຕ່ 7 ເດືອນເທົ່ານັ້ນ - ເຊິ່ງແມ່ນຕົວເລກຍາກທີ່ຈະມີເຄືອຂ່າຍມືຖືໃດໃນໂລກບັນລຸໄດ້.	Vào thời điểm chính thức cho đặt trước, mạng di động này tiếp tục cán mốc 5 triệu thuê bao chỉ sau bảy tháng - một con số khó có mạng di động nào trên thế giới đạt được.
ທ່ານ ເຈິ່ນວັນບັ່ງ - ຜູ້ອໍານວຍການໃຫຍ່ Telemor (ເຄື່ອງໝາຍການຄ້າຂອງ Viettel ຢູ່ ຕີມໍຕາເວັນອອກ).	Ông Trần Văn Bang - Tổng Giám đốc Telemor (Sàn giao dịch của Viettel tại Đông Timor).
ພາບ: vov.vn	Ảnh: vov.vn
ຜູ້ສະເໜີເຂົ້າຊິງທີສອງ ແມ່ນທ່ານ ເຈິ່ນວັນບັ່ງ, ຜູ້ອໍານວຍການໃຫຍ່ Telemor (ເຄື່ອງໝາຍການຄ້າຂອງ Viettel ຢູ່ຕີມໍຕາເວັນອອກ).	Người được đề cử thứ hai là ông Trần Văn Bang, Tổng giám đốc Telemor (sàn giao dịch của Viettel tại Đông Timor).
ປັດຈຸບັນ, ການແຂ່ງຂັນຊິງລາງວັນ Telecom Asia Awards 2019 ກໍາລັງໄດ້ຮັບການໂຫວດທາງອອນລາຍ ແລະເວລາຂອງການໂຫວດ ຈະປິດຢ່າງເປັນທາງການໃນເວລາ 17 ໂມງ 00 ນາທີ ຂອງວັນທີ 18 ເມສາ 2019 (ຕາມເວລາຫວຽດນາມ).	Hiện tại, giải thưởng Telecom Asia Awards 2019 đang được bình chọn trực tuyến và thời gian bình chọn sẽ chính thức khép lại vào lúc 5h00 ngày 18/4/2019 (giờ Việt Nam).
ນີ້ແມ່ນຄັ້ງທໍາອິດທີ່ມີຄົນຫວຽດນາມເຂົ້າຮ່ວມການແຂ່ງຂັນຢູ່ໃນລະດັບພາກພື້ນເພື່ອເຊີດຊູກຳລັງຄວາມສາມາດຄຸ້ມຄອງໃນຂົງເຂດເຕັກໂນໂລຢີສູງ.	Đây là lần đầu tiên người Việt Nam tham gia các cuộc thi khu vực nhằm nâng cao kỹ năng quản lý trong lĩnh vực công nghệ cao.
ໂດຍ: ໄຊຊະນະ.	Bởi: Chiến thắng.
