ແຫຼ່ງ ຂ່າວ Sputnik ລາຍ ງານ ວ່າ ປະທານາທິບໍດີ ສ.	Các nguồn tin của Sputnik báo cáo rằng tổng thống
ອາ ເມ ຣິ ກາ ໂດ ນາ ລ ທຣຳ ຖະແຫຼງ ເມື່ອ ວັນ ທີ 5 ກຸມພາ ນີ້ ວ່າຖ້າ ຫາກ ບໍ່ ສາມາດ ສ້າງ ຮົ້ວ ຂຶ້ນ ມາ ໄດ້ ແລ້ວ ສ.	Hoa Kỳ đã nói trong một tuyên bố vào ngày 5 tháng 2 rằng nếu hàng rào không thể được xây dựng, nó sẽ không thể làm như vậy.
ອາ ເມ ຣິ ກາ ພ້ອມ ທີ່ ຈະ ສ້າງ “ກຳແພງ ມະນຸດ ຢູ່ ລຽບ ຕາມ ຊາຍ ແດນ ທີ່ ຕິດ ກັບ ປະເທດ ເມັກ ຊິກ.	Hoa Kỳ sẵn sàng xây dựng những "bức tường người" dọc biên giới với Mexico.
ປະທານາທິບໍດີ ທຣຳ ລົງ ພິມ ຂໍ້ຄວາມ ຜ່ານ ສື່ ສັງຄົມ Twitter ວ່າ: “ມີ ຄົນ ຈຳນວນ ຫຼາຍພວມ ເຂົ້າ ໄປ ໃນ ປະເທດ ເມັກ ຊິກ ດ້ວຍ ຄວາມ ຫວັງ ວ່າ ສາມາດທີ່ ຈະ ຂ້າມ ຊາຍ ແດນ ທາງ ທິດໃຕ້ຂອງ ພວກ ເຮົາ (ສ.	"Rất nhiều người đang đến Mexico với hy vọng có thể đi qua biên giới phía nam của chúng tôi", Tổng thống Trudeau viết trên Twitter.
ອາ ເມ ຣິ ກາ).	Châu Mỹ).
ພວກ ເຮົາ ໄດ້ ສົ່ງ ທະຫານ ເພີ່ມ ເຕີມ ແລະ ພ້ອມ ໃນ ການ ສ້າງ ກຳແພງມະນຸດຖ້າ ຫາ ກວ່າ ມີ ຄວາມ ເປັນ.	Chúng tôi đã gửi thêm quân và sẵn sàng xây dựng một bức tường người nếu có thể.
ຖ້າ ຫາກ ພວກ ເຮົາ ມີ ກຳແພງ ທີ່ ແຫ້ ຈິງ ແລ້ວກໍ່ ບໍ່ ຕ້ອງ ໄດ້ ເວົ້າ ເຖິງເລື່ອງ ນີ້.	Nếu chúng ta có một bức tường thực sự, chúng ta không cần phải nói về nó.
ພາບປະກອບຈາກ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Thông tấn xã Việt Nam
ຫຼ້າ ສຸດຂ່າວສານ AFP ລາຍ ງານ ວ່າໃນ ເວລາ ອ່ານ ຖະແຫຼງການ ທີ່ ມີ ອອກ ມາເມື່ອ ວັນ ທີ 5 ກຸມພາ ນີ້ ປະທານາທິບໍດີ ທຣຳ ໄດ້ ຢືນຢັນ ທີ່ ຈະ ສ້າງ ກຳແພງ ຊາຍ ແດນ ທີ່ ຕິດ ກັບ ປະເທດເມັກ ຊິກ ໂດຍ ບໍ່ ເອົາ ຫົວຊາ ຕໍ່ ສຽງ ຄັດຄ້ານ ຈາກ ຝ່າຍ ພັກ ເດ ໂມ ແກຣດ.	Hãng tin AFP mới đây đưa tin, sau khi đọc tuyên bố đưa ra ngày 5/2, Tổng thống Trudeau nhất quyết xây bức tường biên giới với Mexico, bất chấp sự phản đối của các đảng viên Đảng Dân chủ.
ຍິ່ງ ໄປ ກວ່າ ນັ້ນ, ທ່ານ ທຣຳ ຍັງ ໄດ້ ຊຸກຍູ້ໃຫ້ ສະພາ ແຫ່ງ ຊາດ ສ.	Ngoài ra, ông Trường còn động viên Quốc hội.
ອາ ເມ ຣິ ກາ “ເຮັດ ວຽກ ຮ່ວມ ກັນ ແລະກ້າວ ໄປ ສູ່ ການ ຕົກລົງກ່ຽວ ກັບ ບັນຫາຄວາມ ສະຫງົບ ຕາມ ຊາຍ ແດນ.	Hoa Kỳ “làm việc cùng nhau và tiến tới một thỏa thuận về an ninh biên giới.
ຂ່າວ: ວຽງຈັນໃໝ່.	Tin tức: Viêng Chăn.
