ກປ.	KP
ອອນໄລ - ຕອນບ່າຍວັນທີ 19 ກັນຍາ, ຢູ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຫງວຽນຊວນຟຸກ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Stephen Groff, ຮອງປະທານທະນາຄານພັດທະນາ ອາຊີ (ADB) ພວມຢ້ຽມຢາມ ແລະເຮັດວຽກຢູ່ ຫວຽດນາມ.	Chiều 19/9, tại Phủ Thủ tướng, Thủ tướng Chính phủ Nguyễn Xuân Phúc đã tiếp ông Stephen Groff, Phó Chủ tịch Ngân hàng Phát triển châu Á (ADB) đang có chuyến thăm và làm việc tại Việt Nam.
ທີ່ການຕ້ອນຮັບ, ທ່ານນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຢັ້ງຢືນວ່າ, ແຫຼ່ງທຶນກູ້ຢືມ, ໜູນຊ່ວຍດ້ານເຕັກນິກ ແລະໃຫ້ຄຳປຶກສາດ້ານນະໂຍບາຍຂອງ ADB ແມ່ນການໜູນຊ່ວຍອັນໃຫຍ່ຫຼວງ ແລະລໍ້າຄ່າຊ່ວຍໃຫ້ ຫວຽດນາມ ບັນລຸໄດ້ບັນດາຜົນງານກ່ຽວກັບການພັດທະນາເສດຖະກິດ - ສັງຄົມຄືໃນປະຈຸບັນ.	Tại buổi tiếp, Thủ tướng Nguyễn Xuân Phúc khẳng định nguồn vốn vay, hỗ trợ kỹ thuật và tư vấn chính sách của ADB là rất lớn và vô giá trong việc giúp Việt Nam đạt được những thành tựu kinh tế - xã hội như hiện nay.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫວຽດນາມ ຫງວຽນຊວນຟຸກ ຕ້ອນຮັບທ່ານ Stephen Groff ຮອງປະທານທະນາຄານພັດທະນາອາຊີ (ADB).	Thủ tướng Nguyễn Xuân Phúc tiếp ông Stephen Groff, Phó Chủ tịch Ngân hàng Phát triển châu Á (ADB).
ພາບ: vov.vn	Ảnh: vov.vn
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ປາດຖະໜາວ່າ, ໃນຖານະຕໍາແໜ່ງຂອງຕົນທ່ານ Stephen Groff ຈະຊີ້ນຳ, ເລັ່ງລັດບັນດາພາກສ່ວນວິຊາສະເພາະສົມທົບກັບບັນດາອົງການເຈົ້າຂອງໂຄງການຂອງຝ່າຍ ຫວຽດນາມ ຍູ້ໄວວຽກງານກະກຽມເພື່ອສຳເລັດການເຈລະຈາ, ເປັນຕົ້ນແມ່ນບັນດາໂຄງການທຶນກູ້ຢືມ ADF.	Thủ tướng Nguyễn Xuân Phúc mong muốn trên cương vị Thủ tướng Stephen Groff sẽ đôn đốc các sở, ngành liên quan làm việc với các chủ dự án của Việt Nam để đẩy nhanh công tác chuẩn bị đàm phán, trong đó có chương trình cho vay ADF.
ກ່ຽວກັບບັນຫາໜີ້ສາທາລະນະ, ທ່ານນາຍົກລັດຖະມົນຕີ ໃຫ້ຮູ້ວ່າ, ປະຈຸບັນ, ໜີ້ສາທາລະນະຂອງ ຫວຽດນາມ ແມ່ນໃກ້ຄຽງກັບມາດຖານກໍານົດທີ່ສະພາແຫ່ງຊາດໃຫ້ອະນຸຍາດ (65% GDP), ລັດຖະບານໄດ້ມອບໝາຍໃຫ້ກະຊວງແຜນການ ແລະການລົງທຶນເປັນເຈົ້າພາບ, ສົມທົບກັບກະຊວງການເງິນຕີລາຄາຜົນກະທົບຂອງບັນດາບ້ວງເງິນກູ້ຢືມ ODA ແລະທຶນກູ້ຢືມພິເສດ ກໍ່ຄືສະເໜີບັນດາວິທີການເພື່ອແກ້ໄຂ, ລາຍງານໃຫ້ລັດຖະບານກ່ອນວັນທີ 30 ກັນຍາ 2017.	Về vấn đề tài chính công, Thủ tướng cho biết, hiện nay tài chính công của Việt Nam đã gần đạt chỉ tiêu Quốc hội cho phép (65% GDP).
ທ່ານນາຍົກລັດຖະມົນຕີ ກໍ່ຫວັງວ່າ, ພາຍຫຼັງມີລາຍງານຕີລາຄານີ້, ບັນດາໂຄງການ ODA ແລະທຶນກູ້ຢືມພິເສດຈະໄດ້ສະດວກ, ອາດຈະເຈລະຈາຕາມແຜນການວາງອອກ.	Thủ tướng cũng hy vọng sau báo cáo đánh giá này, các chương trình ODA và vốn vay đặc biệt sẽ có thể tạo điều kiện đàm phán, theo đúng kế hoạch.
ທ່ານ Stephen Groff, ຮອງປະທານ ADB ໄດ້ຕີລາຄາສູງຄວາມມານະພະຍາຍາມຂອງລັດຖະບານ ຫວຽດນາມ ໃນການວາງອອກບັນດາມາດຕະການບໍລິຫານເສດຖະກິດ-ສັງຄົມ, ພິເສດແມ່ນທັງຕ້ອງປະຕິບັດການກຳນົດລະດັບກ່ຽວກັບມາດຖານກໍານົດໜີ້ສາທາລະນະຕາມການກຳນົດຂອງສະພາແຫ່ງຊາດ, ພ້ອມທັງຍັງຕ້ອງສືບຕໍ່ລະດົມບັນດາແຫຼ່ງທຶນເພື່ອພັດທະນາພື້ນຖານໂຄງລ່າງ, ຊຸກຍູ້ການເຕີບໂຕ, ນີ້ແມ່ນບັນຫາທີ່ຫຍຸ້ງຍາກ.	Ông Stephen Groff, Phó Chủ tịch ADB, biểu dương nỗ lực của Chính phủ Việt Nam trong việc thực hiện các biện pháp quản lý kinh tế - xã hội, đặc biệt là việc thực hiện các tiêu chí của Quốc hội về nợ công và tiếp tục huy động vốn để phát triển cơ sở hạ tầng.
ADB ຈະໜູນຊ່ວຍລັດຖະບານ ຫວຽດນາມ ຫຼາຍຢ່າງໃນບັນດາຂົງເຂດຄື: ປະຕິຮູບການບໍລິຫານສາທາລະນະ, ໃຫ້ກູ້ຢືມທຶນພິເສດ, ທ່ານ Stephen Groff ໃຫ້ຮູ້ວ່າ, ADB ຍາມໃດກໍ່ພ້ອມແລ້ວທີ່ຈະໜູນຊ່ວຍຫວຽດນາມ ໃນການໄຈ້ແຍກ, ຕີລາຄາບັນດາແຫຼ່ງທຶນຢ່າງມີປະສິດທິຜົນ, ຜ່ານນັ້ນຊ່ວຍໃຫ້ລັດຖະບານ ຫວຽດນາມ ມີການເລືອກເຟັ້ນເໝາະສົມ ເພື່ອນໍາໃຊ້ເຂົ້າໃນບັນດາເປົ້າໝາຍພັດທະນາໃຫ້ບັນລຸປະສິດທິຜົນສູງສຸດ.	Ông Stephen Groff cho biết ADB sẽ hỗ trợ chính phủ Việt Nam trong nhiều lĩnh vực như cải cách hành chính công và cho vay đặc biệt.
ແປໂດຍ: ເຈິ່ນຮວ່ຽນ.	Người dịch: Trần Huyền
