ກປ.	KP
ອອນໄລ - ຕອນຄໍ່າວັນທີ 16 ພະຈິກ, ຢູ່ນະຄອນຫຼວງ ຮ່າໂນ້ຍ ໄດ້ດໍາເນີນພິທີມອບລາງວັນຜູ້ມີຄວາມເກັ່ງກ້າສາມາດ ຫວຽດນາມ 2017.	Tối 16/11, Lễ trao giải Nhân tài Đất Việt 2017 được tổ chức tại Hà Nội.
ລາງວັນໂດຍສະມາຄົມສົ່ງເສີມການສຶກສາ ຫວຽດນາມ ລິເລີ່ມແຕ່ປີ 2005 ແລະໄດ້ຮ່ວມຈັດຕັ້ງໂດຍໜັງສືພິມເຢີນຈີ໋ ພ້ອມດ້ວຍກຸ່ມບໍລິສັດໄປສະນີໂທລະຄົມມະນາຄົມ ຫວຽດນາມ (VNPT).	Giải thưởng do Hội Khuyến học Việt Nam thành lập năm 2005, do Báo Yên Chi phối hợp cùng Tập đoàn Bưu chính Viễn thông Việt Nam (VNPT) tổ chức.
ມາຮອດປະຈຸບັນ, ລາງວັນຜູ້ມີຄວາມເກັ່ງກ້າສາມາດຫວຽດນາມ ໄດ້ກາຍເປັນລາງວັນທີ່ມີອິດທິພົນຊື່ສຽງລະດັບຊາດ.	Đến nay, Giải thưởng Nhân tài Đất Việt đã trở thành giải thưởng có tầm ảnh hưởng toàn quốc.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ພ້ອມກັບທ່ານລັດຖະມົນຕີກະຊວງຖະແຫຼງຂ່າວ ແລະສື່ສານຫວຽດນາມ ເຈືອງມິງຕ໋ວນ ມອບລາງວັນທີ 1 ໃຫ້ແກ່ກຸ່ມນັກປະພັນຍາດໄດ້ລາງວັນໃນຂົງເຂດເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານ.	Thủ tướng Nguyễn Xuân Phúc và Bộ trưởng Bộ Thông tin và Truyền thông Trương Minh Tuấn trao giải Nhất cho nhóm tác giả trong lĩnh vực công nghệ thông tin.
ພາບ: ວັນຟອງ	Ảnh: Bubble Day
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ເຂົ້າຮ່ວມ ແລະກ່າວຄໍາເຫັນທີ່ພິທີມອບລາງວັນ.	Thủ tướng Chính phủ Nguyễn Xuân Phúc phát biểu tại Lễ trao giải.
ພ້ອມກັນເຂົ້າຮ່ວມຍັງມີທ່ານ ຫວໍວັນເຖືອງ, ກໍາມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ, ຫົວໜ້າໂຄສະນາສຶກສາສູນກາງ;	Cùng có mặt có đồng chí Võ Văn Thưởng, Ủy viên Ban Chính trị, Bí thư Trung ương Đảng, Trưởng ban Dân vận Trung ương;
ທ່ານ ຫງວຽນທ້ຽນເຍີນ, ກໍາມະການກົມການເມືອງ, ເລຂາຄະນະພັກນະຄອນ ໂຮ່ຈິມິນ;	Đồng chí Nguyễn Thiện Nhân, Ủy viên Bộ Chính trị, Bí thư Thành ủy Thành phố Hồ Chí Minh;
ຜູ້ຕາງໜ້າການນໍາບັນດາກະຊວງ, ຂະແໜງການ, ທ້ອງຖິ່ນພ້ອມດ້ວຍນັກວິທະຍາສາດ, ນັກປັນຍາຊົນໜຸ່ມໃນທຸກຂົງເຂດຫຼາຍຮ້ອຍຄົນ.	Đại diện lãnh đạo các bộ, ban, ngành, địa phương cùng hàng trăm nhà khoa học, trí thức các tầng lớp nhân dân.
ທ່ານເລຂາທິການໃຫຍ່ ຫງວຽນຟຸຈ້ອງ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດ, ພ້ອມດ້ວຍບັນດາສະຫາຍການນໍາພັກ, ລັດ ໄດ້ຝາກກະເຊົ້າດອກໄມ້ອວຍພອນ.	Tổng Bí thư Nguyễn Phú Trọng, Chủ tịch Quốc hội Nguyễn Thị Kim Ngưng và các đồng chí lãnh đạo các Đảng đã đặt vòng hoa tại buổi tiệc.
ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ໄດ້ຝາກຈົດໝາຍອວຍພອນລາງວັນຜູ້ມີຄວາມເກັ່ງກ້າສາມາດຫວຽດນາມ.	Chủ tịch nước Trần Đại Quang chúc mừng Giải thưởng Nhân tài Đất Việt
ໃນຈົດໝາຍ, ທ່ານປະທານປະເທດ ເຈີ່ນດ້າຍກວາງ ອວຍພອນບັນດານັກວິທະຍາສາດ, ບັນດານັກສອບເສັງໄດ້ຮັບລາງວັນ ປີ 2017 ແລະຫວັງວ່າ, ບັນດາກິດຈະກໍາວິທະຍາສາດນໍາໃຊ້ກໍ່ຄືບັນດາຜະລິດຕະພັນຄວາມສາມາດບົ່ມຊ້ອນໄດ້ຮັບລາງວັນໃນຄັ້ງນີ້ຈະປະກອບສ່ວນຊຸກຍູ້ກໍາລັງຄວາມສາມາດຢ່າງມີຫົວຄິດປະດິດສ້າງ, ການຄົ້ນຄວ້າວິທະຍາສາດ, ນໍາໃຊ້ເຕັກໂນໂລຢີ, ຍົກສູງຄຸນນະພາບສິນຄ້າ, ການບໍລິການ, ອິດທິພົນຊື່ສຽງຂອງເຄື່ອງໝາຍການຄ້າ ຫວຽດນາມ ຢູ່ພາກພື້ນ ແລະໃນໂລກ.	Trong thư, Chủ tịch nước Trần Đại Quang chúc mừng các nhà khoa học, giám khảo nhận Giải thưởng năm 2017 và mong muốn các hoạt động khoa học ứng dụng cũng như các sản phẩm tiềm năng trong lĩnh vực này sẽ góp phần tạo nên thiên tài, sáng tạo, đổi mới, sáng tạo, đổi mới trong khoa học và Công nghệ.
ຕາມຄະນະຈັດຕັ້ງ, ປີ 2017, ດ້ວຍຫົວຂໍ້ “ເຕັກໂນໂລຢີຫົວຄິດປະດິດສ້າງ, ເຊື່ອມຕໍ່ສະຫຼາດ , ລາງວັນຜູ້ມີຄວາມເກັ່ງກ້າສາມາດຫວຽດນາມ ໄດ້ພ້ອມກັບບັນດານັກຊ່ຽວຊານທີ່ມາຈາກບັນດາກຸ່ມບໍລິສັດເຕັກໂນໂລຊີແຖວໜ້າທີ່ຢູ່ພາຍໃນປະເທດ ແລະໂລກຄື Microsoft, IBM, VNPT ໄດ້ຈັດຕັ້ງກອງປະຊຸມສໍາມະນາ “ປະຕິວັດອຸດສາຫະກໍາ 4.0 ກາລະໂອກາດໃດໃຫ້ແກ່ startup ຫວຽດ ປະສົບຜົນສໍາເລັດ.	Ban tổ chức cho biết, năm 2017, với chủ đề “Công nghệ đổi mới, kết nối thông minh, nhân tài đất Việt” cùng với các chuyên gia đến từ các tập đoàn công nghệ hàng đầu trong nước và trên thế giới như Microsoft, IBM, VNPT đã tổ chức hội thảo “Thành công các công ty khởi nghiệp ”.
ອາດຈະເວົ້າໄດ້ວ່າໃນຂົງເຂດເຕັກໂນໂລຢີຂໍ້ມູນຂ່າວສານປີນີ້, ຜູ້ມີຄວາມເກັ່ງກ້າສາມາດຫວຽດນາມ ແມ່ນການແຂ່ງຂັນຂອງບັນດາວິສາຫະກິດເລີ່ມທຸລະກິດໜຸ່ມທີ່ມີຄວາມເມົາມົວຫຼົງໄຫຼໃນຫົວຄິດປະດິດສ້າງ.	Có thể nói, ở lĩnh vực công nghệ thông tin, Nhân tài Đất Việt năm nay là cuộc tranh tài của những start-up trẻ đam mê đổi mới sáng tạo.
