ກປ.ອອນໄລ - ວັນທີ 7 ພຶດສະພາ, ທີ່ສຳນັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຫງວຽນຊວນຟຸກ ເຮັດວຽກກັບການນໍາ 6 ແຂວງ: ລາວກາຍ, ຮ່າຢາງ, ອຽນບ໋າຍ, ດ້ຽນບຽນ, ລາຍເຈົາ, ເຊີນລາ ກ່ຽວກັບໂຄງການພັດທະນາຊົນນະບົດຮັບມືກັບໄພພິບັດທຳມະຊາດ.	Giáo sư May, tại Thủ tướng Nguyễn Phú Tân Phú
ຜູ້ຕາງໜ້າບັນດາແຂວງ ລາຍງານກັບທ່ານນາຍົກລັດຖະມົນຕີ, ຕາມນັ້ນໂຄງການພັດທະນາຊົນນະບົດຮັບມືກັບໄພພິບັດທຳມະຊາດຢູ່ 6 ແຂວງ ເຂດພູດອຍພາກເໜືອ ມີ 78 ໂຄງການດ້ວຍຍອດຈຳນວນເງິນລົງທຶນແມ່ນກວ່າ 2.900 ຕື້ດົ່ງ.	Các báo cáo đại diện của tỉnh của Thủ tướng, có một thảm họa tự nhiên tại sáu chương trình phát triển núi phía bắc với 2,9 tỷ đô la.
ໂຄງການໄດ້ຮັບການກະກຽມໃນໄລຍະຍາວ, ແຕ່ປີ 2016.	Chương trình được chuẩn bị trong thời gian dài, kể từ năm 2016.
ມາຮອດປະຈຸບັນ, ວຽກງານກະກຽມໂຄງການໄດ້ປະຕິບັດສຳເລັດແລ້ວ.	Cho đến nay, công việc chuẩn bị dự án đã được hoàn thành.
ບັນດາແຂວງສະເໜີທ່ານນາຍົກລັດຖະມົນຕີ ເອົາໃຈໃສ່ພິຈາລະນາ, ອະນຸມັດຜ່ານບັນດາຂໍ້ສະເໜີໂຄງການເພື່ອຜັນຂະຫຍາຍບັນດາບາດກ້າວຕໍ່ໄປ.	Các tỉnh đề nghị xem xét Thủ tướng Chính phủ, được phê duyệt thông qua các ưu đãi dự án để thực hiện bước tiếp theo.
ທ່ານນາຍົກລັດຖະມົນຕີ ຫງວຽນຊວນຟຸກ ກ່າວຄຳເຫັນທີ່ການເຮັດວຽກ.	Thủ tướng Nguyễn Xuân Phúc cho biết công việc.
ພາບ: ສຳນັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
ກ່າວຄຳເຫັນທີ່ການເຮັດວຽກ, ທ່ານນາຍົກລັດຖະມົນຕີ ສະເໜີບັນດາແຂວງຮັບຜິດຊອບແມ່ນເຈົ້າຂອງລົງທຶນ, ຄວນກະກຽມການລົງທຶນຖືກຕາມຂໍ້ກຳນົດ.	Phát biểu tại nơi làm việc, Thủ tướng cung cấp phụ trách đầu tư, việc đầu tư nên được chuẩn bị.
ໂຄງການຄວນສຸມໃສ່ເຂົ້າໃນຂົງເຂດຊົນລະປະທານ, ຄົມມະນາຄົມ ເພື່ອຮັບປະກັນການຈໍລະຈອນສິນຄ້າ ແລະການໄປມາຫາສູ່ຂອງປະຊາຊົນ.	Dự án nên được tập trung vào tưới tiêu, thông tin liên lạc để đảm bảo giao thông hàng hóa và đến với người dân.
ກະຊວງການເງິນ ຄວນສືບຕໍ່ດຳເນີນການເຈລະຈາເພື່ອໃຫ້ໄດ້ລະດັບອັດຕາດອກເບ້ຍດີທີ່ສຸດ.	Bộ Tài chính sẽ tiếp tục đàm phán để đưa ra lãi suất tốt nhất.
ກະຊວງກະສິກຳແລະພັດທະນາ ຊົນນະບົດຮັບຜິດຊອບກະຕຸກຊຸກຍູ້, ກວດກາ, ຊຸກຍູ້ເພື່ອໃຫ້ໂຄງການປະສົບຜົນສຳເລັດ.	Bộ Nông nghiệp và Phát triển nông thôn phụ trách đáng khích lệ, kiểm tra, khuyến khích dự án.
ແປໂດຍ: ກວຽດເຕີມ.	Dịch bởi: acrony.
