ກປ.ອອນໄລ - ວັນທີ 31 ມັງກອນ, ທີ່ສໍານັກງານນາຍົກລັດຖະມົນຕີ, ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ໄດ້ໃຫ້ການຕ້ອນຮັບທ່ານ Nicolas Warnery ເອກອັກຄະລັດຖະທູດຝະລັ່ງ.	Ngày 31/1, Thủ tướng Nguyễn Xuân Phúc tiếp Đại sứ Pháp Nicolas Warnery tại Phủ Thủ tướng.
ທີ່ການຕ້ອນຮັບ, ທ່ານ ຫງວຽນຊວນຟຸກ ສະແດງຄວາມປິຕິຊົມຊື່ນຕໍ່ການພົວພັນອັນດີງາມລະຫວ່າງສອງປະເທດໃນໄລຍະຜ່ານມາ.	Tại buổi tiếp, ông Nguyễn Xuân Phúc bày tỏ cảm ơn về mối quan hệ tốt đẹp giữa hai nước trong thời gian qua.
ກ່ຽວກັບໂລກລະບາດ ເຊິ່ງທົ່ວໂລກພວມເອົາໃຈໃສ່ເຖິງແມ່ນພະຍາດອັກເສບປອດຍ້ອນເຊື້ອໄວຣັດ corona, ທ່ານ ຫງວຽນຊວນຟຸກ ໃຫ້ຮູ້ວ່າ, ລັດຖະບານຫວຽດນາມ ພວມຜັນຂະຫຍາຍບັນດາມາດຕະການຢ່າງຄົບຊຸດ ແລະຂ້ຽວຂາດເພື່ອແນໃສ່ຈຳກັດເຊື້ອພະຍາດດັ່ງກ່າວຢ່າງສຸດຂີດ.	Nguyễn Xuân Phúc cho biết, Chính phủ Việt Nam đang triển khai các biện pháp toàn diện để kiểm soát dịch bệnh mà trọng tâm của thế giới là bệnh viêm phổi do vi rút corona gây ra.
ບັນດາຂໍ້ມູນກ່ຽວກັບເຊື້ອພະຍາດໄດ້ເປີດເຜີຍ ແລະກະຈ່າງແຈ້ງ, ໂຄສະນາຂົນຂວາຍປະຊາຊົນໝົດທຸກຄົນຮ່ວມກັນປ້ອງກັນ ແລະຕ້ານໂລກລະບາດ.	Thông tin về căn bệnh này đã được công bố và làm rõ, và công chúng đang vận động để phòng chống dịch.
ໃນວິວັດການນີ້ໄດ້ມີແພດໝໍຫວຽດນາມຫຼາຍຄົນ ທີ່ຮໍ່າຮຽນ ແລະຄົ້ນຄວ້າຢູ່ຝະລັ່ງກໍ່ເຂົ້າຮ່ວມ.	Trong sự phát triển này, nhiều bác sĩ Việt Nam đang học tập và nghiên cứu tại Pháp đã tham gia.
ທ່ານ ຫງວຽນຊວນຟຸກ ນາຍົກລັດຖະມົນຕີຫວຽດນາມ ຕ້ອນຮັບທ່ານ Nicolas Warnery ເອກອັກຄະລັດຖະທູດຝະລັ່ງ.	Thủ tướng Nguyễn Xuân Phúc tiếp Đại sứ Pháp Nicolas Warnery.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ	Ảnh: Thông tấn xã Việt Nam
ເມື່ອຕີລາຄາການພົວພັນສອງປະເທດໃນໄລຍະຜ່ານມາ, ທ່ານ Nicolas Warnery ໃຫ້ຮູ້ວ່າ, ໜ້າທີ່ຂອງທ່ານໃນໄລຍະຈະມາເຖິງ ແມ່ນຊຸກຍູ້ການປະຕິບັດບັນດາຂໍ້ຕົກລົງລະຫວ່າງສອງປະເທດ.	Nhận định về quan hệ song phương trong thời gian qua, Nicolas Warnery cho rằng vai trò trong tương lai của ông là thúc đẩy việc thực hiện các thỏa thuận giữa hai nước.
ກ່ຽວກັບບັນຫາທະເລຕາເວັນອອກ, ທ່ານ Nicolas Warnery ຢັ້ງຢືນຄືນໃໝ່ທັດສະນະຂອງຝະລັ່ງ ກ່ຽວກັບການສະໜັບສະໜູນການປະຕິບັດກົດໝາຍສາກົນ, ໃນນັ້ນມີສົນທິສັນຍາສະຫະປະຊາຊາດກ່ຽວກັບກົດໝາຍວ່າດ້ວຍທະເລປີ 1982.	Về vấn đề Biển Đông, ông Nicolas Warnery tái khẳng định quan điểm của Pháp về việc hợp nhất luật pháp quốc tế, trong đó có Công ước Liên hợp quốc về Luật Biển năm 1982.
ທ່ານ Nicolas Warnery ກໍ່ໃຫ້ຮູ້ຕື່ມອີກວ່າ, ຝະລັ່ງ ສະໜັບສະໜູນເລື່ອງໃຫ້ສັດຕະຍາບັນສັນຍາການຄ້າເສລີ ຫວຽດນາມ-ອີຢູ (EVFTA) ແລະສັນຍາປົກປ້ອງການລົງທຶນ (EVIPA).	Ông Nicolas Warnery cho biết thêm, Pháp đang phê chuẩn Hiệp định Thương mại Tự do Việt Nam - Liên minh Châu Âu (EVFTA) và Hiệp định Bảo hộ Đầu tư (EVIPA).
ນອກຈາກນັ້ນ, ຝະລັ່ງ ຍັງປາດຖະໜາຢາກຮ່ວມມືກັບຫວຽດນາມໃນບັນດາຂົງເຂດ ຄື: ການປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບ, ການສຶກສາ, ສາທາລະນະສຸກ, ລັດຖະບານເອເລັກໂຕນິກ;	Ngoài ra, Pháp mong muốn hợp tác với Việt Nam trong các lĩnh vực quốc phòng, an ninh, giáo dục, y tế, chính phủ điện tử;
