ກປ.ອອນໄລ - ກ່ອນນີ້ 100 ປີ, ການປະຕິວັດເດືອນຕຸລາລັດ ເຊຍ ໂດຍ V.I.	Cách đây 100 năm, Cách mạng Tháng Mười Nga do V.I.
ເລນິນ ແລະພັກ Bonsevich ລັດເຊຍ ນຳພາ, ແມ່ນການປະຕິວັດກຳມະຊີບທຳອິດໃນປະຫວັດສາດໂລກ, ໄດ້ຍາດເອົາໄຊຊະນະ, ໂຄ່ນລົ້ມລະບອບເກົ່າ, ລະບອບຄົນຂູດຮີດຄົນ, ສ້າງຕັ້ງລັດກຳມະກອນ ແລະຊາວນາຂຶ້ນ, ໂດຍຊົນຊັ້ນກຳມະກອນກຳອຳນາດເພື່ອຈັດຕັ້ງການກໍ່ສ້າງລະບອບສັງຄົມໃໝ່ຂຶ້ນ.	Lê-nin và Đảng Bonsevich Nga, cuộc cách mạng chuyên nghiệp đầu tiên trong lịch sử thế giới, đã chinh phục, lật đổ chế độ cũ, bóc lột nhân dân, thành lập giai cấp công nhân và nông dân, do giai cấp công nhân thiết lập chế độ xã hội chủ nghĩa mới.
ການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ປີ 1917 ໄດ້ກ້າວເຂົ້າສູ່ປະຫວັດສາດຂອງມວນມະນຸດຄືເຫດການຍິງໃຫຍ່ໃນສະຕະວັດທີ XX ແລະມີຜົນສະທ້ອນຢ່າງເລິກເຊິ່ງ, ກ້ວາງຂວາງ, ກະທົບຮອບດ້ານ, ເລິກເຊິ່ງຕໍ່ວິວັດທະນາການພັດທະນາຂອງປະຫວັດສາດໂລກ.	Cách mạng Tháng Mười Nga năm 1917 đã đi vào lịch sử nhân loại như một sự kiện trọng đại trong thế kỷ XX và có ý nghĩa sâu sắc, sâu rộng, toàn diện và sâu sắc đối với sự phát triển của lịch sử thế giới.
ການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ໄດ້ເຮັດໃຫ້ໂລກສັ່ນສະເທືອນ, ຂີດໝາຍບາດລ້ຽວປະຫວັດສາດສຳຄັນທີ່ສຸດ.	Cách mạng Tháng Mười Nga làm rúng động thế giới, đánh dấu một bước ngoặt lớn của lịch sử.
ນີ້ກໍ່ແມ່ນເທື່ອທຳອິດພັນທະພາບກຳມະກອນ-ຊາວນາ-ນັກຮົບ, ພາຍໃຕ້ການນຳພາຂອງຊົນຊັ້ນກຳມະກອນ, ໄດ້ລຸກຮື້ຂຶ້ນໃນພາບດຽວໂຄ່ນລົ້ມລະບອບເຈົ້າຊາ ລັດເຊຍ, ສ້າງຕັ້ງລັດ ລັດເຊຍ ໂຊຫວຽດ ຂຶ້ນ, ລັດກຳມະກອນ-ຊາວນາ ທຳອິດໃນໂລກ.	Đây là lần đầu tiên giai cấp công nhân, nông dân, chiến sĩ, dưới sự lãnh đạo của giai cấp công nhân, đã vùng lên lật đổ chế độ quân chủ Nga, thành lập Liên bang Xô Viết, nhà nước công nông đầu tiên trên thế giới.
ຕ່າງຫາກກັບບັນດາການປະຕິວັດສັງຄົມເຄີຍໄດ້ດຳເນີນໃນປະຫວັດສາດ, ການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ແມ່ນການປະຕິວັດສັງຄົມທຳອິດປະຕິບັດໄດ້ເປົ້າໝາຍປົດປ່ອຍປະຊາຊົນຜູ້ອອກແຮງງານພົ້ນອອກຈາກການກົດຂີ່ຂູດຮີດ, ອະຍຸຕິທຳນຳປະຊາຊົນຜູ້ອອກແຮງງານຂຶ້ນຖານະເປັນເຈົ້າຂອງລະບອບສັງຄົມໃໝ່.	Khác với các cuộc cách mạng xã hội đã diễn ra trong suốt chiều dài lịch sử, Cách mạng Tháng Mười Nga là cuộc cách mạng xã hội đầu tiên thực hiện mục tiêu giải phóng nhân dân lao động khỏi áp bức, bất công, lấy nhân dân làm chủ của chế độ xã hội chủ nghĩa mới.
V.I.	V.I.
ເລນິນ - ຜູ້ນຳການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ທີ່ຍິ່ງໃຫຍ່.	Lê-nin - Lãnh tụ của Cách mạng Tháng Mười Nga vĩ đại.
ພາບ: ເອກະສານ	Ảnh: Tệp
ໄຊຊະນະຂອງການປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ ບໍ່ພຽງແຕ່ແມ່ນກຳລັງໜູນປຸກລະດົມບັນດາຊົນຊາດຫົວເມືອງຂຶ້ນລຸກຮຶ້ຂຶ້ນຕໍ່ສູ້ຕ້ານແອກກົດຂີ່ຂູດຮີດຂອງຊົນຊັ້ນສັກດີນາ, ນາຍທຶນ, ປົດປ່ອຍຕົນເອງຫາກຍັງແມ່ນກຳລັງໜູນຊຸກຍູ້ຂະບວນການປົດປ່ອຍຊາດ, ຂະບວນການກອມມູນິດ ແລະກຳມະກອນສາກົນພັດທະນາ;	Thắng lợi của Cách mạng Tháng Mười Nga không chỉ là động viên quần chúng thành thị vùng lên chống áp bức của giai cấp quý tộc, tư bản, tự giải phóng mình mà còn là động viên phong trào giải phóng dân tộc, phong trào cộng sản và quốc tế;
ຍ້ອນເຫດນັ້ນ, ຊົນຊັ້ນກຳມະຊີບຈຶ່ງເຊື່ອໝັ້ນຢ່າງແນ່ວແນ່ກ້າວຂຶ້ນເວທີການເມືອງດ້ວຍຖານະແມ່ນຊົນຊັ້ນໃຈກາງຂອງສະໄໝ.	Nhờ đó, giai cấp công nhân vững tin bước lên vũ đài chính trị với tư cách là trung tâm của đảng.
ຈາກພຶດຕິກຳຕົວຈິງຂອງປະຕິວັດເດືອນຕຸລາ ລັດເຊຍ, ທ່ານ V.I.	Từ hành vi thực tế của Cách mạng Tháng Mười Nga, ông V.I.
ເລນິນ ໄດ້ສະຫຼຸບ ແລະສັງລວມສ້າງເປັນບັນດາທິດສະດີສຳຄັນໃນທິດສະດີທັງໝົດຂອງເພິ່ນກ່ຽວກັບການປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມ.	Lê-nin đã tổng kết và biên soạn những học thuyết quan trọng nhất trong tất cả các học thuyết của mình về bảo vệ Tổ quốc xã hội chủ nghĩa.
ໃນນັ້ນ, ເລນິນ ໄດ້ຍົກອອກບັນດາບັນຫາພື້ນຖານ, ມີລັກສະນະຫຼັກການຕໍ່ພາລະກິດປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມ, ຄື: ເປົ້າໝາຍ, ໜ້າທີ່, ແບບວິທີ, ກຳລັງ ແລະກຳລັງແຮງປົກປັກຮັກສາປະເທດຊາດສັງຄົມນິຍົມ;	Trong đó, Lê-nin nêu lên những vấn đề cơ bản của nhiệm vụ bảo vệ Tổ quốc xã hội chủ nghĩa, như: mục tiêu, nhiệm vụ, phương pháp, lực lượng và lực lượng bảo vệ Tổ quốc xã hội chủ nghĩa;
ກ່ຽວກັບບົດບາດນຳພາຂອງພັກກອມມູນິດ ແລະບົດບາດຄຸ້ມຄອງຂອງລັດສັງຄົມນິຍົມ;	Về vai trò lãnh đạo của Đảng Cộng sản và vai trò quản lý của Nhà nước xã hội chủ nghĩa;
ກ່ຽວກັບການປົກປັກຮັກສາປະເທດຊາດ;	Về bảo vệ tổ quốc;
ການປ້ອງກັນປະເທດ;	Phòng thủ;
ການກໍ່ສ້າງ ແລະປັບປຸງຄວາມສາມາດປ້ອງກັນຊາດຂອງປະເທດຊາດ;	Xây dựng và nâng cao khả năng quốc phòng của quốc gia;
ເລື່ອງສ້າງຕັ້ງອົງການຈັດຕັ້ງການທະຫານ, ກໍ່ສ້າງກອງທັບແບບໃໝ່-ທະຫານແດງກຳມະກອນ-ຊາວນາເພື່ອປົກປັກຮັກສາປະເທດສັງຄົມນິຍົມ;	Việc thành lập tổ chức quân sự, thành lập Hồng quân, Công nhân - Nông dân ủng hộ để bảo vệ Tổ quốc xã hội chủ nghĩa;
ບັນຫາກຳລັງອາວຸດປົກປັກຮັກສາປະເທດສັງຄົມນິຍົມ;	Vấn đề lực lượng vũ trang bảo vệ Tổ quốc xã hội chủ nghĩa;
