WHO ໄດ້ຍົກອອກຄຳກ່າວເຕືອນຢ່າງໜ້ອຍສຸດແມ່ນສຳລັບ 6 ປະເທດອ້ອມຂ້າງ, ໃນນັ້ນ ມີ ເຊຍຣາເລອອນ ແລະ ລີເບເຣຍ.	WHO đã đưa ra ít nhất sáu cảnh báo cho sáu quốc gia xung quanh, bao gồm Sierra Leone và Liberia.
ຕາມຂໍ້ມູນທີ່ໄດ້ອັບເດດແລ້ວ, ກີເນ ໄດ້ຢັ້ງຢືນມີຜູ້ເສຍຊີວິດ 5 ຄົນ ຍ້ອນໂລກລະບາດດັ່ງກ່າວ ແລະ ກົງໂກ ກໍຢັ້ງຢືນມີ 3 ກໍລະນີຕິດເຊື້ອໃນການແຜ່ລະບາດຄັ້ງໃໝ່ນີ້.	Guinea đã xác nhận 5 trường hợp tử vong vì căn bệnh này và Congo đã xác nhận 3 đợt bùng phát trong đợt bùng phát mới nhất.
ການກວດກາອຸນຫະພຸມຂອງຜູ້ຖືກສົງໄສຕິດເຊື້ອໄວຣັດ Ebola ຢູ່ ກີເນ.	Kiểm tra nhiệt độ nơi nghi nhiễm virus Ebola ở Guinea.
ພາບປະກອບ:AFP/ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: AFP / Thông tấn xã Việt Nam
ອົງການອະນາໄມໂລກ (WHO) ໄດ້ກ່າວເຕືອນ 6 ປະເທດ ອາຟະລິກາ ຄວນຕິດຕາມບັນດາກໍລະນີຖືກສົງໄສວ່າຕິດເຊື້ອໄວຣັດ Ebola ພາຍຫຼັງແຜ່ລະບາດຄັ້ງໃໝ່ຢູ່ ກີເນ ແລະ ສາທາລະນະລັດ ກົງໂກ.	Tổ chức Y tế Thế giới (WHO) đã cảnh báo sáu quốc gia châu Phi theo dõi các trường hợp nghi nhiễm Ebola sau đợt bùng phát gần đây ở Guinea và Cộng hòa Congo.
ກີເນ ໄດ້ປະກາດວ່າ ໂລກລະບາດ Ebola ແຜ່ລະບາດຄັ້ງໃໝ່ໃນວັນທີ 14 ກຸມພາ, ໃນຂະນະນັ້ນ, ກົງໂກ ແຈ້ງໃຫ້ຊາບວ່າ ໂລກລະບາດດັ່ງກ່າວແຜ່ລະບາດຄືນໃໝ່ຢູ່ປະເທດນີ້ໃນວັນທີ 7 ກຸມພາ.	Guinea đã tuyên bố bùng phát dịch Ebola mới vào ngày 14/2, trong khi Cộng hòa Dân chủ Congo thông báo sẽ quay trở lại nước này vào ngày 7/2.
ກ່າວຄຳເຫັນໃນກອງປະຊຸມຖະແຫຼງຂ່າວເຊິ່ງດຳເນີນໃນວັນທີ 16 ກຸມພາ ຢູ່ ເຊີແນວ, ປະເທດສະວິດ, ທ່ານນາງ Margaret Harris ໂຄສົກອົງການ WHO ໃຫ້ຮູ້ວ່າ: WHO ໄດ້ຍົກອອກຄຳກ່າວເຕືອນຢ່າງໜ້ອຍສຸດແມ່ນສຳລັບ 6 ປະເທດອ້ອມຂ້າງ, ໃນນັ້ນມີ ເຊຍຣາເລອອນ ແລະ ລີເບເຣຍ.	Phát biểu tại cuộc họp báo ngày 16/2 tại Geneva, Thụy Sĩ, phát ngôn viên của WHO Margaret Harris cho biết: “WHO đã đưa ra cảnh báo tối thiểu đối với 6 quốc gia láng giềng, bao gồm Sierra Leone và Liberia.
ຕາມຂໍ້ມູນທີ່ໄດ້ອັບເດດແລ້ວ, ກີເນ ໄດ້ຢັ້ງຢືນມີຜູ້ເສຍຊີວິດ 5 ຄົນ ຍ້ອນໂລກລະບາດດັ່ງກ່າວ ແລະ ກົງໂກ ກໍຢັ້ງຢືນມີ 3 ກໍລະນີຕິດເຊື້ອໃນການແຜ່ລະບາດຄັ້ງໃໝ່ນີ້.	Guinea đã xác nhận 5 trường hợp tử vong vì căn bệnh này và Congo đã xác nhận 3 đợt bùng phát trong đợt bùng phát mới nhất.
ໃນສະພາບການທີ່ທົ່ວໂລກພວມປະເຊີນໜ້າກັບໂລກລະບາດໂຄວິດ- 19, ເບິ່ງຄືວ່າ ໂລກລະບາດ Ebola ໄດ້ແຜ່ລະບາດຢູ່ ອາຟະລິກາຕາເວັນຕົກອີກຄັ້ງໃໝ່.	Trong bối cảnh thế giới đang phải đối mặt với đại dịch Kowloon - 19, có vẻ như dịch Ebola đã bùng phát trở lại ở Tây Phi.
ເຖິງຢ່າງໃດກໍຕາມ, ລັດຖະບານບັນດາປະເທດ ແລະ ອົງການ WHO ຖືວ່າພາກພື້ນນີ້ໄດ້ມີການກະກຽມໄດ້ເປັນຢ່າງດີກວ່າ ເມື່ອທຽບໃສ່ໄລຍະ 5 ປີກ່ອນນີ້, ພິເສດແມ່ນຍ້ອນຄວາມກ້າວໜ້າໃນວຽກງານສັກວັກຊີນກັນພະຍາດໂດຍເຊື້ອໄວຣັດ Ebola ກໍ່ຂຶ້ນ.	Tuy nhiên, các chính phủ và Tổ chức Y tế Thế giới (WHO) cho biết khu vực này đã chuẩn bị tốt hơn so với cách đây 5 năm, đặc biệt là do những tiến bộ trong tiêm chủng Ebola.
ແຫຼ່ງຄັດຈາກ: vovworld.vn.	Nguồn: vovworld.vn.
