ກປ.ອອນໄລ - ຕອນບ່າຍວັນທີ 8 ກໍລະກົດ, ຄະນະບໍລິຫານງານສູນກາງພັກ ເຮັດວຽກທີ່ຫໍປະຊຸມ.	Chiều 8/7, Ban Chấp hành Trung ương Đảng họp tại hội trường.
ທ່ານ ຫງວຽນຊວນຟຸກ ກຳມະການກົມການເມືຶອງ, ປະທານປະເທດ ຕາງໜ້າກົມການເມືອງ ແຈ້ງເນື້ອໃນກອງປະຊຸມ.	Đồng chí Nguyễn Xuân Phúc, Chính ủy, Chủ nhiệm Tổng cục Chính trị thông báo nội dung buổi làm việc.
ທ່ານນາງ ເຈືອງທິມາຍ, ກຳມະການກົມການເມືອງ, ເລຂາທິການສູນກາງພັກ, ຫົວໜ້າຄະນະຈັດຕັ້ງສູນກາງ ຕາງໜ້າກົມການເມືອງ ອ່ານບົດລາຍງານຮັບເອົາ, ອະພິປາຍຂອງກົມການເມືອງກ່ຽວກັບບັນຫາສູນກາງ ປຶກສາຫາລືໂຄງປະກອບກົງຈັກລັດ ແລະວິທີການແນະນຳບຸກຄະລາກອນເພີ່ມເຕີມໃຫ້ດຳລົງຕຳແໜ່ງການນຳອົງການຂອງລັດ ຊຸດທີ XV, ອາຍຸການ 2021-2026.	Bà Trương Thị Mai, Ủy viên Ban Chính trị, Bí thư Trung ương Đảng Cộng sản Việt Nam, Trưởng Ban Tổ chức Trung ương thay mặt Cục Chính trị
ຄະນະບໍລິຫານງານສູນກາງພັກ ຈົດຊື່ແນະນຳບຸກຄະລາກອນບັນດາຕຳແໜ່ງການນຳບັນດາອົງການຂອງລັດ ຊຸດທີ XV, ອາຍຸການ 2021-2026;	Ủy ban Trung ương Đảng Cộng sản Trung Quốc (CPC) đã ban hành danh sách hướng dẫn nhân sự các cơ quan lãnh đạo của cơ quan lập pháp khóa 15, nhiệm kỳ 2021-2026;
ປ່ອນບັດເລືອກຕັ້ງກຳມະການຄະນະກຳມະການກວດກາສູນກາງ ຊຸດທີ XIII ຕື່ມອີກ 2 ຄົນ.	Bỏ phiếu bầu bổ sung hai Ủy viên Ủy ban Kiểm tra Trung ương khóa 13.
ທ່ານ ຫງວຽນຝູຈ້ອງ ເລຂາທິການໃຫຍ່ຄະນະບໍລິຫານງານສູນກາງພັກກອມມູນິດຫວຽດນາມ ກ່າວຄຳເຫັນອັດກອງປະຊຸມ.	Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam phát biểu bế mạc Đại hội.
ພາບ: ເຍີດຈູງ.	Ảnh: Nhat Chong
ຫຼັງຈາກນັ້ນ, ຄະນະບໍລິຫານງານສູນກາງພັກ ປະຊຸມວາລະອັດກອງປະຊຸມ.	Sau đó, Ban Chấp hành Trung ương Đảng đã triệu tập chương trình làm việc.
ທ່ານ ຫງວຽນຊວນຟຸກ ຕາງໜ້າກົມການເມືອງ ເປັນປະທານກອງປະຊຸມ.	Đồng chí Nguyễn Xuân Phúc, Thứ trưởng Bộ Chính trị chủ trì buổi làm việc.
ທ່ານ ຟ້າມມິງຈິ໊ງ, ກຳມະການກົມການເມືອງ, ນາຍົກລັດຖະມົນຕີ ຕາງໜ້າກົມການເມືອງ ອ່ານບົດລາຍງານຮັບເອົາ, ອະພິປາຍຂອງກົມການເມືອງ ກ່ຽວກັບບັນຫາທີ່ສູນກາງປຶກສາຫາລືກ່ຽວກັບສະພາບການ, ໝາກຜົນການປະຕິບັດແຜນພັດທະນາເສດຖະກິດ-ສັງຄົມ, ການເງິນແຫ່ງຊາດ, ການລົງທຶນພາກລັດໃນໄລຍະກາງ 5 ປີ 2016-2020 ແລະຄາດຄະເນແຜນການ 5 ປີ 2021-2025.	Đồng chí Phạm Minh Cảnh, Ủy viên Bộ Chính trị, Thủ tướng Chính phủ thay mặt Cục Chính trị đọc báo cáo của Cục Chính trị về những vấn đề được thảo luận tại Trung tâm thảo luận về tình hình, tình hình thực hiện phát triển kinh tế - xã hội. kế hoạch, tài chính quốc gia, đầu tư công trong giai đoạn 5-2020 giai đoạn 20-2020 2016-2020.
ທ່ານ ຫວໍວັນເຖືອງ, ກຳມະການກົມການເມືອງ, ຜູ້ປະຈຳການຄະນະເລຂາທິການ ຕາງໜ້າກົມການເມືອງອ່ານບົດລາຍງານຮັບເອົາ, ອະພິປາຍຂອງກົມການເມືອງ ກ່ຽວກັບບັນດາຄຳເຫັນຂອງສູນກາງ ປຶກສາຫາລື ເຊັ່ນ: ຮ່າງກົດລະບຽບການເຮັດວຽກຂອງຄະນະບໍລິຫານງານສູນກາງພັກ, ກົມການເມືອງ ແລະຄະນະເລຂາທິການ ສະໄໝທີ XIII;	Đồng chí Võ Văn Thưởng, Ủy viên Cục Chính trị, Ủy viên Ban Bí thư thay mặt Cục Chính trị đọc báo cáo của Cục Chính trị về các ý kiến góp ý của Trung ương, như dự thảo Quy chế thủ tục của Ban Chấp hành Trung ương Đảng. , Cục Chính trị và Ban Bí thư khóa XII;
