ນັກຂ່າວ: ເອກະສານທັດສະນະອາຊຽນ ກ່ຽວກັບມະຫາສະໝຸດອິນເດຍ - ປາຊີຟິກ ໄດ້ຮັບການຮັບຮອງເອົາແລ້ວ.	Nhà báo: Quan điểm ASEAN trên Ấn Độ Dương - Thái Bình Dương đã được thông qua.
ຂໍທ່ານໃຫ້ຮູ້ຄວາມໝາຍ ຂອງເລື່ອງນີ້?	Bạn có thể biết ý nghĩa của câu chuyện này?
ທ່ານ ຫງວຽນກ໊ວກຢູງ ຮອງລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ: ກອງປະຊຸມຄັ້ງນີ້ໄດ້ຮັບຮອງເອົາເອກະສານ 4 ສະບັບ: ຖະແຫຼງການວິໄສທັດຂອງບັນດາການນໍາວ່າດ້ວຍການພັດທະນາແບບຍືນຍົງ;	Bộ trưởng Ngoại giao Việt Nam Nguyễn Tấn Dũng thông qua 4 Bộ trưởng Ngoại giao: Cuộc họp của Bộ trưởng Ngoại giao Việt Nam: Cuộc họp của Bộ trưởng Ngoại giao
ຖະແຫຼງການວ່າດ້ວຍການຕ້ານຂີ້ເຫຍື້ອ;	Tuyên bố chống spam;
ຖະແຫຼງການວ່າດ້ວຍເລືອກເຟັ້ນ ປີ 2019 ແມ່ນປີວັດທະນະທຳ ອາຊຽນ ແລະເອກະສານທັດສະນະຂອງ ອາຊຽນ ກ່ຽວກັບມະຫາສະໝຸດອິນເດຍ - ປາຊີຟິກ.	Tuyên bố văn hóa ASEAN và văn hóa ASEAN và ASEAN quan điểm về Ấn Độ Dương - Thái Bình Dương.
ໃນສະພາບການສາກົນ ແລະພາກພື້ນມີຄວາມສັບສົນ, ປະຈຸບັນເອກະສານສະບັບນີ້ມີຄວາມໝາຍສຳຄັນທີ່ສຸດ.	Trong điều kiện quốc tế và khu vực, hiện tại tài liệu này có ý nghĩa quan trọng nhất.
ກ່ອນອື່ນໝົດ, ເອກະສານສະບັບນີ້ຢັ້ງຢືນຄວາມສາມາດບົ່ມຊ້ອນໃນການຮ່ວມມື, ເຫັນດີເປັນເອກະພາບ, ຄວາມສາມັກຄີຂອງ ອາຊຽນ ໃນການຮັບມືກັບການປ່ຽນແປງ ແລະສິ່ງທ້າທາຍຕ່າງໆຢູ່ພາຍນອກ.	Đầu tiên, tài liệu này xác nhận khả năng hợp tác hợp tác, thỏa thuận, sự thống nhất ASEAN để đối phó và thách thức bên ngoài.
ຄຽງຂ້າງນັ້ນຍັງແມ່ນສານຂອງ ອາຊຽນ ຕໍ່ກັບໂລກ, ປາດຖະໜາວ່າພາກພື້ນມະຫາສະໝຸດອິນເດຍ - ປາຊີຟິກ ມີສັນຕິພາບ, ສະຖຽນລະພາບ ແລະພັດທະນາວັດທະນາຖາວອນ.	Bên cạnh đó là tòa án của ASEAN, chúc khu vực Ấn Độ Dương, sự bình định, ổn định và phát triển vĩnh viễn.
ນອກຈາກນັ້ນ, ນີ້ກໍ່ແມ່ນການກຳນົດທິດໃຫ້ແກ່ການປະພຶດຂອງ ອາຊຽນ ຕໍ່ກັບບັນດາຍຸດທະສາດ, ຂໍ້ລິເລີ່ມຮ່ວມມືໃນພາກພື້ນຂອງບັນດາປະເທດໃຫຍ່.	Ngoài ra, đây cũng là hướng dẫn của hành vi ASEAN đối với các chiến lược, các sáng kiến hợp tác khu vực.
ຕາມຂ້າພະເຈົ້າ, ເອກະສານສະບັບນີ້ຈະສ້າງປະຖົມປັດໄຈ ເພື່ອໃຫ້ ອາຊຽນ ເສີມຂະຫຍາຍບົດບາດໃຈກາງ, ເປັນເຈົ້າພາທາງ, ຊັກຈູງການຮ່ວມມືໃນພາກພື້ນມະຫາສະໝຸດອິນເດຍ - ປາຊີຟິກ.	Theo tôi, tài liệu này sẽ tạo ra các giảng viên cơ bản, khi bạn dẫn đến trung tâm của khu vực Ấn Độ-Thái Bình Dương.
ນັກຂ່າວ: ຂໍທ່ານຮອງລັດຖະມົນຕີໃຫ້ຮູ້ຈຸດໃໝ່ທີ່ກ່ຽວຂ້ອງເຖິງການເຈລະຈາ RCEP?	Nhà báo: Hebwwing để biết các điểm mới liên quan đến đàm phán RCEP?
ທ່ານ ຫງວຽນກ໊ວກຢູງ ຮອງລັດຖະມົນຕີການຕ່າງປະເທດຫວຽດນາມ: ການເຈລະຈາ RCEP ບໍ່ສາມາດສິ້ນສຸດຕາມແຜນກຳນົດໃນປີກາຍໄດ້, ສິ່ງດັ່ງກ່າວສະແດງໃຫ້ເຫັນວ່າມີຄວາມຫຍຸ້ງຍາກຕ່າງໆຍ້ອນຜົນປະໂຫຍດຂອງບັນດາປະເທດແຕກຕ່າງກັນ.	Phó Bộ trưởng Ngoại giao Nguyễn Tấn Dũng: Các cuộc đàm phán RCCEP không thể kết thúc vào năm của năm, những điều như vậy cho thấy nhiều khó khăn hơn do lợi ích của các quốc gia khác nhau.
