ກປ.ອອນໄລ - ວັນທີ 28 ເມສາ, ສະພາຄວາມໝັ້ນຄົງສະຫະປະຊາຊາດ (ສປຊ) ໄດ້ດຳເນີນກອງປະຊຸມທາງໄກກ່ຽວກັບສະພາບການຢູ່ Abyei, ເຂດມີການຂັດແຍ້ງກັນລະຫວ່າງຊູດັງ ແລະຊູດັງໃຕ້ ກໍ່ຄືການເຄື່ອນໄຫວຂອງກໍາລັງປ້ອງກັນຄວາມສະຫງົບຊົ່ວຄາວຂອງ ສປຊ ຢູ່ທີ່ນີ້ (UNISFA).	Hội đồng Bảo an Liên hợp quốc kêu gọi chấm dứt ngay lập tức các hành động thù địch ở Abyei
ທີ່ກອງປະຊຸມ, ບັນດາສະມາຊິກຂອງສະພາຄວາມໝັ້ນຄົງ ສປຊ ໄດ້ແບ່ງປັນຄວາມວິຕົກກັງວົນກ່ຽວກັບສະພາບການຄວາມໝັ້ນຄົງຢູ່ Abyei ໃນໄລຍະມໍ່ໆມານີ້, ຮຽກຮ້ອງໃຫ້ຊູດັງ ແລະຊູດັງໃຕ້ ຊອກຫາມາດຕະການສັນຕິພາບໃຫ້ແກ່ບັນຫາ Abyei ໂດຍໄວ ຄືໄດ້ໃຫ້ຄຳໝັ້ນສັນຍາໃນຂໍ້ຕົກລົງເມື່ອວັນທີ 20 ມິຖຸນາ 2011 ລະຫວ່າງສອງປະເທດ;	Tại cuộc họp, các thành viên Hội đồng Bảo an Liên hợp quốc chia sẻ quan ngại về tình hình an ninh gần đây ở Abyei, kêu gọi Sudan và Nam Sudan tìm kiếm các giải pháp hòa bình cho vấn đề Abyei càng sớm càng tốt;
ຕີລາຄາສູງຄວາມມານະພະຍາຍາມຂອງ UNISFA ແລະການປະກອບສ່ວນຂອງເອທິໂອເປຍ ເຊິ່ງແມ່ນປະເທດປະກອບພົນທະຫານຕົ້ນຕໍໃຫ້ UNISFA;	Đánh giá cao những nỗ lực của UNISFA và sự đóng góp của Ethiopia, một nước có đóng góp lớn cho UNISFA;
ແລະສະໜັບສະໜູນຂໍ້ສະເໜີແນະຂອງທ່ານເລຂາທິການໃຫຍ່ ສປຊ ກ່ຽວກັບເລື່ອງຕໍ່ກຳນົດເວລາ UNISFA ຕື່ມ 6 ເດືອນຈົນຮອດວັນທີ 15 ພະຈິກ 2020.	Và để bổ sung các khuyến nghị của Tổng thư ký LHQ về việc gia hạn 6 tháng của UNISFA đến ngày 15/11/2020.
ກໍາລັງຮັກສາສັນຕິພາບ ສປຊ ລາດຕະເວນຢູ່ເທດສະບານເມືອງ Abyei, ຊູດັງ.	Lực lượng gìn giữ hòa bình Liên hợp quốc tuần tra thị trấn Abyei, Sudan.
ພາບ: AFP/ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: AFP / Thông tấn xã Việt Nam
ກ່າວຄຳເຫັນທີ່ກອງປະຊຸມ, ທ່ານ ດັ້ງດິ່ງກຸ໊ຍ ເອກອັກຄະລັດຖະທູດ, ຫົວໜ້າຄະນະຜູ້ຕາງໜ້າຫວຽດນາມ ປະຈຳ ສປຊ, ໄດ້ຕີລາຄາສູງຄວາມຄືບໜ້າທີ່ຕັ້ງໜ້າໃນໄລຍະຜ່ານມາ ຢູ່ຊູດັງ ແລະຊູດັງໃຕ້;	Phát biểu tại buổi tiếp, Đại sứ Đặng Đình Quý, Trưởng Phái đoàn Việt Nam tại Liên hợp quốc, biểu dương những tiến bộ đạt được trong thời gian qua của Sudan và Nam Sudan;
ປາດຖະໜາວ່າ ລັດຖະບານສອງປະເທດຈະແກ້ໄຂ ບັນຫາຜ່ານມາດຕະການສັນຕິພາບໂດຍໄວ, ບົນພື້ນຖານເຄົາລົບກົດໝາຍສາກົນ, ກົດບັດຂອງ ສປຊ ແລະຂໍ້ຕົກລົງໃນວັນທີ 20 ມິຖຸນາ 2011.	Ông mong muốn Chính phủ hai nước giải quyết vấn đề bằng các biện pháp hòa bình càng sớm càng tốt, trên cơ sở tôn trọng luật pháp quốc tế, Hiến chương Liên hợp quốc và thỏa thuận ngày 20/6/2011.
ທ່ານ ດັ້ງດິ່ງກຸ໊ຍ ກໍ່ຮຽກຮ້ອງໃຫ້ສອງປະເທດເພີ່ມທະວີການສົມທົບກັບ UNISFA ໃນການຮັບມືກັບພະຍາດໂຄວິດ-19 ແລະຊົມເຊີຍຄວາມມານະພະຍາຍາມຂອງ ສປຊ;	Ông cũng kêu gọi hai nước tăng cường hợp tác với UNISFA trong việc giải quyết đại dịch 19 bệnh và khen ngợi những nỗ lực của Liên hợp quốc.
ບັນດາອົງການຈັດຕັ້ງ ແລະບັນດາປະເທດໃນພາກພື້ນ, ໃນນັ້ນມີສະຫະພັນອາຟະລິກາ (AU) ແລະເອທິໂອເປຍ ແນໃສ່ໜູນຊ່ວຍ ຊູດັງ ແລະຊູດັງໃຕ້ ແກ້ໄຂບັນຫາ Abyei, ພ້ອມທັງຕີລາຄາສູງຄວາມມານະພະຍາຍາມຂອງ UNISFA, ພິເສດແມ່ນການເຂົ້າຮ່ວມຂອງກຳລັງແມ່ຍິງຂອງ UNISFA ໃນການປົກປ້ອງສາມັນຊົນ ແລະສະໜັບສະໜູນການຕໍ່ກຳນົດເວລາ UNISFA ຕາມຂໍ້ສະເໜີແນະຂອງທ່ານເລຂາທິການໃຫຍ່ ສປຊ.	Các tổ chức và quốc gia trong khu vực, bao gồm Liên minh châu Phi (AU) và Ethiopia, nhằm giúp Sudan và Nam Sudan giải quyết vấn đề Abyei, cũng như các nỗ lực của UNISFA, đặc biệt là sự tham gia của các lực lượng phụ nữ UNISFA trong việc bảo vệ đất nước.
ໂດຍ: ເຈິ່ນຮວ່ຽນ.	Bởi: Trần Huyền
