ການຮ່ວມມືໃນຂົງເຂດປ້ອງກັນຊາດ, ປ້ອງກັນຄວາມສະຫງົບລະຫວ່າງສອງຝ່າຍບັນລຸໄດ້ຄວາມຄືບໜ້າຢ່າງແທດຈິງ.	Hợp tác trong lĩnh vực quốc phòng, ngăn chặn sự bình yên giữa hai bên đạt được tiến bộ thực tế.
ລັດຖະບານຍີ່ປຸ່ນ ໄດ້ໜູນຊ່ວຍຫວຽດນາມ ໃນການແກ້ໄຂຜົນຮ້າຍຢ້ອນຫຼັງຈາກສົງຄາມ, ໜູນຊ່ວຍຜູ້ຖືກເຄາະຮ້າຍຈາກທາດພິດສີສົ້ມ, ການຮ່ວມມືໃນການບຳລຸງສ້າງດ້ານປ້ອງກັນຊາດ, ໜູນຊ່ວຍໃນການຝຶກແອບກູ້ຊີບ, ກູ້ໄພ, ເຂົ້າຮ່ວມກຳລັງຮັກສາສັນຕິພາບສະຫະປະຊາຊາດ.	Chính phủ Nhật Bản đã giúp Việt Nam giải quyết vụ tai nạn sau chiến tranh, hỗ trợ các lực lượng an ninh của Hoa Kỳ và Universal.
ບັນດາກຳປັ່ນຂອງທະຫານເຮືອຍີ່ປຸ່ນ ກໍ່ມາຢ້ຽມຢາມ, ພົບປະແລກປ່ຽນໄມຕີຈິດມິດຕະພາບກັບທ່າກຳປັ່ນຕ່າງໆຂອງຫວຽດນາມ ຢ່າງເປັນປະຈຳ...	Những cánh buồm của lính Nhật Bản đã đến thăm, tình bạn thân thiện với vị trí của Việt Nam thường xuyên ...
ສຳລັບດ້ານເສດຖະກິດ, ຍີ່ປຸ່ນ ແມ່ນຄູ່ຮ່ວມມືສຳຄັນແຖວໜ້າຂອງຫວຽດນາມ ໃນການລົງທຶນ, ການຄ້າ, ການທ່ອງທ່ຽວ ແມ່ນປະເທດສະໜອງທຶນກູ້ຢືມ ODA ໃຫຍ່ທີ່ສຸດໃຫ້ຫວຽດນາມ.	Đối với kinh tế, Nhật Bản là một đối tác quan trọng của Việt Nam về đầu tư, giao dịch, du lịch là khoản vay lớn nhất ODA.
ບັນດາກິດຈະການປະຕິບັດດ້ວຍແຫຼ່ງທຶນກູ້ຢືມ ODA ແລະບັນດາໂຄງການລົງທຶນຂອງ ຍີ່ປຸ່ນ ໄດ້ປະກົດຂຶ້ນຢູ່ບັນດາແຂວງ, ນະຄອນຂອງຫວຽດນາມ ເກືອບທັງໝົດ ແລະໃນຫຼາຍຂົງເຂດແຕກຕ່າງກັນ, ປະກອບສ່ວນສຳຄັນໃນການປະຕິບັດ 3 ບຸກທະລຸຍຸດທະສາດຂອງ ຫວຽດນາມ, ຊຸກຍູ້ການພັດທະນາເສດຖະກິດ-ສັງຄົມ, ຫັນປ່ຽນໂຄງປະກອບເສດຖະກິດ, ພັດທະນາແບບຍືນຍົງ, ຍີ່ປຸ່ນ ແມ່ນນັກລົງທຶນຢືນອັນດັບໜຶ່ງຂອງຫວຽດນາມໃນ ປີ 2017 ແລະ 2018.	Nguồn đầu tư của Nhật Bản và các chương trình đầu tư của Nhật Bản, Việt Nam xây dựng năm 2017 và 2018 nhà đầu tư.
ໄປຄຽງຄູ່ກັບການຮ່ວມມືສອງຝ່າຍ, ສອງຝ່າຍກໍ່ໄດ້ຮ່ວມມືຢ່າງຕັ້ງໜ້າໃນບັນດາເວທີປາໄສຫຼາຍຝ່າຍຂອງສາກົນ ແລະພາກພື້ນ, ຄື: ສະຫະປະຊາຊາດ, ສະມາຄົມປະຊາຊາດອາຊີຕາເວັນອອກສ່ຽງໃຕ້ (ອາຊຽນ), ເວທີປາໄສຮ່ວມມືເສດຖະກິດ ອາຊີ - ປາຊີຟິກ (APEC), ເວທີປາໄສຮ່ວມມື ອາຊີ - ເອີລົບ (ASEM)...	Đi cùng với các diễn đàn hợp tác hai bên, hai bên, Liên Hợp Quốc và ASEC (ASEC), Asm của Châu Á
ປະກອບສ່ວນໃຫ້ສັນຕິພາບ, ສະຖຽນລະພາບ, ການຮ່ວມມື ແລະພັດທະນາ.	Góp phần hòa bình, ổn định, hợp tác và phát triển.
ສອງຝ່າຍໄດ້ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນ ເພື່ອພ້ອມກັນຊຸກຍູ້ການລົງນາມ, ໃຫ້ສັດຕະຍາບັນ ແລະກຳລັງຮ່ວມມືຜັນຂະຫຍາຍສັນຍາຄູ່ຮ່ວມມືຮອບດ້ານ ແລະກ້າວໜ້າຂ້າມປາຊີຟິກ (CPTPP) ໃຫ້ມີປະສິດທິຜົນ.	Hai bên đã mạnh mẽ hỗ trợ dấu hiệu, và sự hợp tác của thỏa thuận hợp tác toàn diện và hợp tác.
ເຊິ່ງແມ່ນປະເທດປະສານງານໃນການພົວພັນ ອາຊຽນ - ຍີ່ປຸ່ນ ໄລຍະ 2018-2021, ເປັນກຳມະການບໍ່ປະຈຳການສະພາຄວາມໝ້ັນຄົງສະຫະປະຊາຊາດອາຍຸການ ປີ 2020-2021 ແລະປະທານອາຊຽນ ປີ 2020, ຫວຽດນາມ ພວມເສີມຂະຫຍາຍບົດບາດຊຸກຍູ້ການພົວພັນຮ່ວມມືລະຫວ່າງ ອາຊຽນ ແລະພາກພື້ນແມ່ນ້ຳຂອງກັບ ຍີ່ປຸ່ນ ຢ່າງແຮງກວ່າອີກ, ລວມມີທັງຂອບເຂດການຮ່ວມມືອະນຸພາກພື້ນແມ່ນ້ຳຂອງເປີດກວ້າງ (GMS), ກໍ່ຄືພ້ອມກັບຍີ່ປຸ່ນ ສົມທົບກັນຢ່າງແໜ້ນແຟ້ນໃນບັນດາເວທີປາໄສສາກົນ ແລະພາກພື້ນ.	Quốc gia phối hợp Asean-Nhật Bản, thành viên ASEAN của ASEAN
ພວກຂ້າພະເຈົ້າ ປາດຖະໜາຢາກ ຍີ່ປຸ່ນ ຖື ຫວຽດນາມ ແມ່ນຄູ່ຮ່ວມມືບຸລິມະສິດຂອງໂຄງການ “ຄູ່ຮ່ວມມືພື້ນຖານໂຄງລ່າງທີ່ມີຄຸນນະພາບ ແລະ“ຂໍ້ລິເລີ່ມເຊື່ອມຕໍ່ແມ່ນ້ຳຂອງ - ຍີ່ປຸ່ນ.	Chúng tôi muốn Nhật Bản nắm giữ hợp tác ưu tiên của Việt Nam "Cơ sở hạ tầng chất lượng và" các sáng kiến của Nhật Bản kết nối Mekong.
ໃນໄລຍະຈະມາເຖິງ, ດ້ວຍຄວາມມານະພະຍາຍາມ, ຮ່ວມແຮງຮ່ວມໃຈ ແລະນະໂຍບາຍຖືກຕ້ອງຂອງທັງສອງຝ່າຍ, ຂ້າພະເຈົ້າເຊື່ອໝັ້ນວ່າການພົວພັນ “ຄູ່ຮ່ວມມືຍຸດທະສາດເລິກເຊິ່ງ, ກວ້າງຂວາງເພື່ອສັນຕິພາບ ແລະວັດທະນາຖາວອນຢູ່ ອາຊີ ລະຫວ່າງຫວຽດນາມ - ຍີ່ປຸ່ນ ຈະກ້າວເຂົ້າສູ່ໄລຍະພັດທະນາໃໝ່ທີ່ດີງາມທີ່ສຸດ.	Thời gian đến, với những người giỏi nhất, Nhật Bản sẽ được cam kết với người tốt nhất, Nhật Bản
