ກປ.ອອນໄລ - ກອງປະຊຸມສູນກາງພັກຄັ້ງທີ 7, ຊຸດທີ XII ໄດ້ປະສົບຜົນສໍາເລັດຢ່າງຈົບງາມ.	Hội nghị Trung ương Đảng lần thứ 7, Sê-ri XII đã thành công thành công.
ທີ່ກອງປະຊຸມຄັ້ງນີ້, ສູນກາງໄດ້ສຸມໃສ່ປຶກສາຫາລື, ລົງມະຕິ 3 ແຜນຮ່າງສໍາຄັນ: ສ້າງຖັນແຖວພະນັກງານ;	Tại hội nghị này, trung tâm tập trung vào tư vấn, xuống 3 kế hoạch dự thảo: Tạo một cột nhân viên;
ປະຕິຮູບນະໂຍບາຍເງິນເດືອນ;	Cải cách chính sách hàng tháng;
ປະຕິຮູບນະໂຍບາຍປະກັນສັງຄົມ.	Cải cách chính sách an sinh xã hội.
ທີ່ກອງປະຊຸມ, ສູນກາງກໍ່ໄດ້ປະກອບຄໍາເຫັນໃສ່ບົດລາຍງານສຳຫຼວດກວດຄືນການຊີ້ນໍາ, ນໍາພາຂອງກົມການເມືອງ, ຄະນະເລຂາປີ 2017;	Tại hội nghị, trung tâm đã đưa ra nhận xét về báo cáo đánh giá khảo sát, dẫn đến sự cân bằng chính trị, 2017
ດໍາເນີນການບູລະນະ ແລະເລືອກຕັ້ງບຸກຄະລາກອນຂັ້ນສູງເພີ່ມເຕີມ;	Tiến hành một nhân viên và bầu cử tiên tiến hơn;
ພິຈາລະນາ, ຕັດສິນການປະຕິບັດວິໄນພັກ...	Hãy xem xét, Thẩm phán Đảng Kỷ luật ...
ບັນດາບັນຫາ, ເນື້ອໃນຂອງກອງປະຊຸມສູນກາງພັກຄັ້ງທີ 7 ແມ່ນສໍາຄັນທີ່ສຸດ, ຈໍາເປັນ, ກ່ຽວຂ້ອງໂດຍກົງເຖິງວຽກງານກໍ່ສ້າງ, ປັບປຸງພັກ;	Vấn đề, nội dung của Hội nghị Trung ương số 7 là quan trọng nhất, cần thiết, liên quan trực tiếp đến công việc xây dựng;
ສ້າງຖັນແຖວພະນັກງານ, ສ້າງລະບົບການເມືອງ, ເບິ່ງແຍງດູແລຊີວິດການເປັນຢູ່ຂອງພະນັກງານ, ພາລະກອນ, ລັດຖະກອນ, ກຳລັງປະກອບອາວຸດ ແລະຜູ້ອອກແຮງງານ ແລະຮັບປະກັນຊີວິດສັງຄົມ...	Tạo một cột nhân viên, tạo một hệ thống chính trị, chăm sóc công việc của nhân viên, ngôn ngữ, nền văn minh và công nhân và an sinh xã hội ...
ບັນຍາກາດທີ່ວາລະອັດກອງປະຊຸມສູນກາງພັກຄັ້ງທີ 7, ຊຸດທີ XII.	Bầu không khí mà Bên Trung tâm Bên thứ 7, Sê-ri XII.
ພາບ: ສໍານັກຂ່າວສານຫວຽດນາມ.	Ảnh: Tin tức VNA.
