ກປ.ອອນໄລ - ວັນທີ 19 ກັນຍາ, ຢູ່ຮ່າໂນ້ຍ ໄດ້ໄຂຂຶ້ນກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດແນວໂຮມປະເທດຊາດຫວຽດນາມ ຄັ້ງທີ IX, ອາຍຸການ 2019-2024.	Sở Sở, Hà Nội, đại diện của IX, 2019-2024.
ກອງປະຊຸມໃຫຍ່ຄັ້ງນີ້ ແມ່ນການດໍາເນີນຊີວິດດ້ານການເມືອງທີ່ເລິກເຊິ່ງກວ້າງຂວາງ, ເປັນຂີດໝາຍສໍາຄັນໃນພາລະກິດມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດພາຍໃຕ້ການນໍາພາຂອງພັກ.	Hội nghị là một sinh kế chính trị cao, sứ mệnh của đảng.
ມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດແມ່ນແນວທາງຍຸດທະສາດຂອງການປະຕິວັດຫວຽດນາມ, ແມ່ນກໍາລັງໜູນ ແລະແຫຼ່ງກໍາລັງອັນໃຫຍ່ຫຼວງໃນການສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດ.	Đại học Nationalland là một chiến lược về cách mạng, và củng cố nguồn sáng tạo và bảo vệ toàn quốc hào phóng.
ໃນຊຸມປີຜ່ານມາ, ສະພາບການຂອງໂລກ ແລະພາກພື້ນມີການສັບສົນຫຼາຍຢ່າງ.	Trong những năm gần đây, bối cảnh của thế giới và khu vực rất phức tạp.
ພາຍໃຕ້ການນໍາພາຂອງພັກ, ຍ້ອນມີການເຕົ້າໂຮມ, ເສີມຂະຫຍາຍກໍາລັງແຮງມະຫາສາມັກຄີຂອງຊາດ, ຊີວິດການເປັນຢູ່ຂອງປະຊາຊົນໄດ້ຮັບການປັບປຸງຢ່າງບໍ່ຢຸດຢັ້ງ, ຈິດໃຈຊົນຊາດ, ນໍ້າໃຈຮັກຊາດໄດ້ປຸກລຸກຢ່າງແຮງ;	Dưới sự lãnh đạo của Đảng, do sự tập hợp, sự hiệp nhất của mọi người, tâm trí, tâm trí, tâm trí, yêu nước
ກຸ່ມກ້ອນມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດ, ສາຍພົວພັນສະໜິດຕິດພັນ ແລະຄວາມເຊື່ອໝັ້ນຂອງປະຊາຊົນຕໍ່ພັກ, ລັດໄດ້ຮັບການປັບປຸງ;	Liên quan đến mọi người, cả cộng đồng quốc gia và sự tự tin của những người trong bữa tiệc, Nhà nước đã được cải thiện;
ປະຊາຊົນທຸກຊັ້ນວັນນະເສີມຂະຫຍາຍສິດເປັນເຈົ້າຂອງ, ສາມັກຄີແຂ່ງຂັນກັນສ້າງສາ ແລະປົກປັກຮັກສາປະເທດຊາດຢ່າງບໍ່ຢຸດຢັ້ງ.	Tất cả những người đã tham gia quyền, đoàn kết, năng lực cạnh tranh và bảo tồn.
ບັນຍາກາດທີ່ກອງປະຊຸມໃຫຍ່ຜູ້ແທນທົ່ວປະເທດແນວໂຮມປະເທດຊາດຫວຽດນາມ ຄັ້ງທີ IX.	Khí quyển, Đại hội Quốc hội IX
ພາບ: qdnd.vn.	Ảnh: QĐND.VN.
ໃນອາຍຸການຜ່ານມາ, ແນວໂຮມປະເທດຊາດຫວຽດນາມ ແລະບັນດາອົງການຈັດຕັ້ງມະຫາຊົນ ໄດ້ຕັ້ງໜ້າປ່ຽນແປງໃໝ່ກ່ຽວກັບເນື້ອໃນ ແລະວິທີການເຄື່ອນໄຫວ;	Ở độ tuổi trước, quốc gia Việt Nam và các tổ chức đoàn thể đã thay đổi lại nội dung và phong trào;
ເສີມຂະຫຍາຍບົດບາດເຕົ້າໂຮມ, ກໍ່ສ້າງກຸ່ມກ້ອມມະຫາສາມັກຄີທົ່ວປວງຊົນທັງຊາດໄດ້ດີກວ່າເກົ່າ;	Bổ sung, một nhóm thuốc tốt hơn là tốt hơn;
