ກປ.ອອນໄລ - ໃນຕອນບ່າຍວັນດຽວກັນ, ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ມີການພົບປະເຈລະຈາກັບທ່ານ ຫຼີສຽນຫຼົງ (Lee Hsien Loong) ນາຍົກລັດຖະມົນຕີສິງກະໂປ.	Chiều cùng ngày, Chủ tịch Quốc hội Nguyễn Thị Kim Ngen hội kiến Thủ tướng Singapore Lý Hiển Long.
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ສະແດງຄວາມຂອບໃຈຕໍ່ທ່ານນາຍົກລັດຖະມົນຕີທີ່ໄດ້ນໍາໜ້າຄະນະຜູ້ແທນຂັ້ນສູງສິງກະໂປ ເຂົ້າຮ່ວມສັບປະດາຂັ້ນສູງ APEC ຢູ່ ນະຄອນ ດ່າໜັ້ງ.	Bà Nguyễn Thị Kim Ngưng cảm ơn Thủ tướng Chính phủ đã dẫn đầu Đoàn đại biểu cấp cao Singapore tham dự Hội nghị Cấp cao APEC tại Đà Nẵng.
ຫວຽດນາມ ຕີລາຄາສູງການສະໜັບສະໜູນຂອງທ່ານນາຍົກລັດຖະມົນຕີສິງກະໂປ ສໍາລັບວິວັດການສ້າງສັນຍາ CPTPP, ເຊິ່ງແນ່ນຂີດໝາຍໃໝ່ໃນການສ້າງເປັນຂອບເຂດການຮ່ວມມື “ຮອບດ້ານ ແລະ ກ້າວໜ້າ , ເພື່ອຜົນປະໂຫຍດລວມຂອງບັນດາສະມາຊິກ ແລະເພື່ອສັນຕິພາບ, ຄວາມວັດທະນາຖາວອນຢູ່ພາກພື້ນອາຊີ - ປາຊີຟິກ.	Việt Nam đánh giá cao sự ủng hộ của Thủ tướng Singapore đối với sự phát triển của CPTPP, nhằm thiết lập “một khuôn khổ hợp tác toàn diện và tiến bộ, vì lợi ích chung của tất cả các thành viên và vì hòa bình, thịnh vượng và phát triển ở khu vực Châu Á - Thái Bình Dương .
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ປະທານສະພາແຫ່ງຊາດຫວຽດນາມ ໄດ້ມີການພົບປະເຈລະຈາກັບທ່ານ ຫຼີສຽນຫຼົງ ນາຍົກລັດຖະມົນຕີສິງກະໂປ.	Chủ tịch Quốc hội Nguyễn Thị Kim Ngen hội kiến Thủ tướng Singapore Lý Hiển Long.
ພາບ: ຈູງແທ່ງ-ດຶກຖ້ວນ	Ảnh: Chong Thanh-Duc Thuan
ທ່ານນາງ ຫງວຽນທິກິມເງິນ ເວົ້າວ່າ, ຫວຽດນາມ ແລະສິງກະໂປ ໄດ້ສົມທົບກັນ ແລະຮ່ວມມືຢ່າງແໜ້ນແຟ້ນທີ່ບັນດາເວທີປາໄສໃນພາກພື້ນ ແລະສາກົນ, ເປັນຕົ້ນແມ່ນໃນຂອບເຂດອາຊຽນ.	Theo bà Nguyễn Thị Kim Ngên, Việt Nam và Singapore đã hợp tác chặt chẽ tại các diễn đàn khu vực và quốc tế, đặc biệt là trong khối ASEAN.
ຫວຽດນາມ ສະໜັບສະໜູນ ແລະຈະຕັ້ງໜ້າຮ່ວມມືຊຸກຍູ້ການພັດທະນາປະຊາຄົມອາຊຽນ ແລະການພົວພັນ ອາຊຽນ-ຈີນ.	Việt Nam ủng hộ và sẽ thiết lập hợp tác để thúc đẩy sự phát triển của Cộng đồng ASEAN và quan hệ ASEAN-Trung Quốc.
ດ້ວຍບົດບາດເປັນປະທານອາຊຽນ, ສິງກະໂປ ຈະປະກອບສ່ວນສໍາຄັນເຂົ້າໃນການເພີ່ມທະວີຄວາມສາມັກຄີ, ເປັນເອກະພາບພາຍໃນກຸ່ມ ແລະເສີມຂະຫຍາຍບົດບາດໃຈກາງຂອງ ອາຊຽນ ໃນການຮ່ວມມືຢູ່ພາກພື້ນ.	Với vai trò chủ tịch ASEAN, Singapore sẽ đóng góp đáng kể vào việc tăng cường đoàn kết, thống nhất trong khối và tăng cường vai trò trung tâm của ASEAN trong hợp tác khu vực.
ທ່ານ ຫຼີສຽນຫຼົງ ຊີ້ແຈ້ງວ່າ, ສິງກະໂປ ຈະໃກ້ຊິດຕິດແທດເລື່ອງປະຕິບັດວິວັດທະນາການ ແລະສ້າງເນື້ອແທ້ COC.	Li Xianlong nói rằng Singapore sẽ tham gia chặt chẽ vào việc thực hiện quá trình phát triển và thành lập COC.
ເພື່ອແກ້ໄຂບັນຫານີ້ໃຫ້ໄດ້, ຈຳເປັນຕ້ອງມີຄວາມເຫັນດີເຫັນພ້ອມຂອງບັນດາປະເທດອາຊຽນ.	Để giải quyết vấn đề này, rất cần sự đồng thuận của các nước ASEAN.
ທ່ານ ຫຼີສຽນຫຼົງ ສະແດງຄວາມຂອບໃຈຕໍ່ລັດຖະບານ ແລະອຳນາດການປົກຄອງບັນດາທ້ອງຖິ່ນຂອງຫວຽດນາມ ໄດ້ໜູນຊ່ວຍບັນດາວິສາຫະກິດຂອງ ສິງກະໂປ ຢ່າງຕັ້ງໜ້າ;	Li Xianlong cảm ơn sự hỗ trợ của Chính phủ và chính quyền địa phương Việt Nam đối với các doanh nghiệp Singapore;
ຕີລາຄາສູງຕໍ່ເລື່ອງນະຄອນ ດ່າໜັ້ງ ລົງນາມໃນບົດບັນທຶກຂໍ້ຕົກລົງຮ່ວມມືກັບ SMF;	Đánh giá cao việc thành phố Đạ Pheng ký kết Biên bản ghi nhớ với SMF;
ແລະສະເໜີໃນໄລຍະຈະມາເຖິງຄວນເປີດບັນດາສາຍການບິນໂດຍກົງຕື່ມອີກເພື່ອຊຸກຍູ້ການຮ່ວມມືດ້ານເສດຖະກິດ, ການຄ້າ, ພ້ອມທັງປະຕິບັດບັນດາຄໍາໝັ້ນສັນຍາ, ຂໍ້ຕົກລົງທີ່ໄດ້ລົງນາມແລ້ວຢ່າງຄົບຖ້ວນ ແລະມີປະສິດທິຜົນ.	Sắp tới, các đường bay thẳng cần được mở thêm để thúc đẩy hợp tác kinh tế thương mại, thực hiện đầy đủ và hiệu quả các cam kết, thỏa thuận đã ký kết.
ແປໂດຍ: ທູຈາງ.	Dịch bởi: Tu Zhang.
